scope,record_index,system,component,material_family,tier,action_class,meaning,recommended_action,logical_present,mappable_present,primary_t1
primary,6,Ens. Stowage latéral,cuir,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
all,6,Ens. Stowage latéral,cuir,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
primary,7,lightning,lightning,electronics_cots,T4,accepted_do_not_infer_cots,T4 non inféré pour COTS/électronique.,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,Thales
primary,7,lightning,lightning,electronics_cots,T3,accepted_do_not_infer_cots,T3 non inféré pour COTS/électronique.,T3: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,Thales
all,7,lightning,lightning,electronics_cots,T4,accepted_do_not_infer_cots,T4 non inféré pour COTS/électronique.,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,Thales
all,7,lightning,lightning,electronics_cots,T3,accepted_do_not_infer_cots,T3 non inféré pour COTS/électronique.,T3: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,Thales
primary,9,Stowage assemblé avec porte,Silicone,rubber_silicone,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: Shin-Etsu / silicone raw chemistry source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
all,9,Stowage assemblé avec porte,Silicone,rubber_silicone,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: Shin-Etsu / silicone raw chemistry source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,MGA Villeneuve St Lot
primary,10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,T4,accepted_do_not_infer_cots,T4 non inféré pour COTS/électronique.,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,Thales
all,10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,T4,accepted_do_not_infer_cots,T4 non inféré pour COTS/électronique.,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte. / Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu. (low),False,False,Thales
primary,11,Coussin ottoman,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
all,11,Coussin ottoman,tissu,textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ETS Gattefin
primary,13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,T4,requires_material_certificate,T4 matière/transformateur non activable sans certificat ou routing.,"T4 le plus probable: fournisseur matiere primaire a choisir via certificat matiere, candidats: Saarstahl / ArcelorMittal / Tata Steel / China Baowu steel source. / Garder en candidat non actif tant que le certificat matiere ou l'achat ne donne pas le producteur/site exact. (medium)",False,False,SUMPAR
primary,14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,T4,requires_material_certificate,T4 matière/transformateur non activable sans certificat ou routing.,"T4 le plus probable: fournisseur matiere primaire a choisir via certificat matiere, candidats: Saarstahl / ArcelorMittal / Tata Steel / China Baowu steel source. / Garder en candidat non actif tant que le certificat matiere ou l'achat ne donne pas le producteur/site exact. (medium)",False,False,SUMPAR
all,14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,T4,requires_material_certificate,T4 producteur matière primaire absent pour famille steel.,"Demander certificat matière, mill exact, pays, site et allocation avant d'activer un producteur.",False,False,ETS Gattefin
primary,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,T3,requires_material_certificate,T3 matière/transformateur non activable sans certificat ou routing.,"T3 le plus probable: un transformateur matiere deja present dans la supply, candidats: thyssenkrupp Materials France / Aubert & Duval / Euralliage. / Prioriser le candidat deja utilise sur la meme famille matiere; activer seulement avec traceabilite grade/site. (medium)",False,False,ETS Gattefin
primary,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ETS Gattefin). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ETS Gattefin
all,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,T4,requires_material_certificate,T4 producteur matière primaire absent pour famille steel.,"Demander certificat matière, mill exact, pays, site et allocation avant d'activer un producteur.",False,False,ETS Gattefin
all,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,T3,requires_material_certificate,T3 matière/transformateur non activable sans certificat ou routing.,"T3 le plus probable: un transformateur matiere deja present dans la supply, candidats: thyssenkrupp Materials France / Aubert & Duval / Euralliage. / Prioriser le candidat deja utilise sur la meme famille matiere; activer seulement avec traceabilite grade/site. (medium)",False,False,ETS Gattefin
all,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ETS Gattefin). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ETS Gattefin
primary,29,Accoudoir allée,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,29,Accoudoir allée,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,30,Bumper version porte,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,30,Bumper version porte,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ESPACE
primary,32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,T3,accepted_present_but_unpositioned,T3 existe dans le modèle mais n'est pas cartographiable: site_unknown_requires_material_grade_or_supplier_proof.,Garder hors carte ou renseigner le site exact; ne pas créer un faux point.,True,False,ESPACE
all,32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,T4,accepted_upstream_family_unknown,T4 amont de famille matière inconnu.,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source. / Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue. (medium)",False,False,ESPACE
primary,33,Ens. Structure fauteuil,4140 (acier),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,33,Ens. Structure fauteuil,4140 (acier),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,36,Manchette équipée,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,36,Manchette équipée,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,37,Renfort tubulaire,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,37,Renfort tubulaire,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,40,Support écran,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,40,Support écran,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,41,Support équipé,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,41,Support équipé,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,42,Support manchette équipée,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,42,Support manchette équipée,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,43,Support NFC,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
all,43,Support NFC,A5086 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,ESPACE
primary,44,Renfort tubulaire,A6060 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Groupe Segnere / SEGNERE Ade). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Groupe Segnere / SEGNERE Ade
all,44,Renfort tubulaire,A6060 - Aluminium,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Groupe Segnere / SEGNERE Ade). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Groupe Segnere / SEGNERE Ade
primary,50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,T4,requires_material_certificate,T4 producteur matière primaire absent pour famille steel.,"Demander certificat matière, mill exact, pays, site et allocation avant d'activer un producteur.",False,False,Senior Aerospace Thailand
primary,51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,T3,requires_material_certificate,T3 matière/transformateur non activable sans certificat ou routing.,"T3 le plus probable: un transformateur matiere deja present dans la supply, candidats: thyssenkrupp Materials France / Aubert & Duval / Euralliage. / Prioriser le candidat deja utilise sur la meme famille matiere; activer seulement avec traceabilite grade/site. (medium)",False,False,Senior Aerospace Thailand
primary,51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
all,51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,T4,requires_material_certificate,T4 producteur matière primaire absent pour famille steel.,"Demander certificat matière, mill exact, pays, site et allocation avant d'activer un producteur.",False,False,Senior Aerospace Thailand
all,51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,T3,requires_material_certificate,T3 matière/transformateur non activable sans certificat ou routing.,"T3 le plus probable: un transformateur matiere deja present dans la supply, candidats: thyssenkrupp Materials France / Aubert & Duval / Euralliage. / Prioriser le candidat deja utilise sur la meme famille matiere; activer seulement avec traceabilite grade/site. (medium)",False,False,Senior Aerospace Thailand
all,51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,Senior Aerospace Thailand
primary,66,Accoudoir allée,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,66,Accoudoir allée,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
primary,67,Ens. Palette optimisée,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
all,67,Ens. Palette optimisée,Alu,aluminium,T2,accepted_internalized_process,T2 absent comme fournisseur externe car le procédé est probablement internalisé chez le T1.,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR). / Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite. (medium_high),False,False,SUMPAR
