site_uid,supplier_ids,site_ids,roles,name,location,country_code,lat,lon,source_confidence,site_quality,path_count,allocated_mass_kg
"ensinger_-_material_intermediate_sourcing__tier3_first_transformation@@ensinger_-_material_intermediate_sourcing__tier3_first_transformation@48.5010122,8.8201999",ensinger_-_material_intermediate_sourcing__tier3_first_transformation,"ensinger_-_material_intermediate_sourcing__tier3_first_transformation@48.5010122,8.8201999",T3,Ensinger - material intermediate sourcing,Germany,DE,48.5010122,8.8201999,,unknown_or_legacy,2,0.014993
"henkel@@henkel@50.9878,13.8463",henkel,"henkel@50.9878,13.8463",T3,Henkel,Germany,DE,50.987772,13.8462669,,unknown_or_legacy,1,0.488
"krohne@@krohne@51.1498,13.7978",krohne,"krohne@51.1498,13.7978",T2,Krohne,Germany,DE,51.1498261,13.7978466,,unknown_or_legacy,4,3.878
"kronotex_gmbh_co@@kronotex_gmbh_co@53.1472,12.3793",kronotex_gmbh_co,"kronotex_gmbh_co@53.1472,12.3793",T3,Kronotex GmbH & Co,Germany,DE,53.1471628,12.3793247,,unknown_or_legacy,1,0.95
"krupp@@krupp@51.335,7.5747",krupp,"krupp@51.335,7.5747",T3,Krupp,Germany,DE,51.3350109,7.5747349,,unknown_or_legacy,1,0.047835
"liebherr_aerospace_tier1@@liebherr_aerospace_tier1@47.5963892,9.8653206",liebherr_aerospace_tier1,"liebherr_aerospace_tier1@47.5963892,9.8653206",T1,Liebherr Aerospace,"Lindenberg im Allgau, Germany",DE,47.5963892,9.8653206,medium_high,source_backed_or_medium_high,1,0.75
"liebherr_aerospace_cots_electronics_component_market_basket_tier4_raw_material@@liebherr_aerospace_cots_electronics_component_market_basket_tier4_raw_material@47.5963892,9.8653206",liebherr_aerospace_cots_electronics_component_market_basket_tier4_raw_material,"liebherr_aerospace_cots_electronics_component_market_basket_tier4_raw_material@47.5963892,9.8653206",T4,Liebherr Aerospace - COTS electronics component market basket,"Lindenberg im Allgau, Germany",DE,47.5963892,9.8653206,medium_high,source_backed_or_medium_high,1,0.75
"liebherr_aerospace_cots_electronics_subassembly_pcb_package_tier3_first_transformation@@liebherr_aerospace_cots_electronics_subassembly_pcb_package_tier3_first_transformation@47.5963892,9.8653206",liebherr_aerospace_cots_electronics_subassembly_pcb_package_tier3_first_transformation,"liebherr_aerospace_cots_electronics_subassembly_pcb_package_tier3_first_transformation@47.5963892,9.8653206",T3,Liebherr Aerospace - COTS electronics subassembly/PCB package,"Lindenberg im Allgau, Germany",DE,47.5963892,9.8653206,medium_high,source_backed_or_medium_high,1,0.75
"liebherr_aerospace_electronics_routing_ems_package_tier2_second_transformation@@liebherr_aerospace_electronics_routing_ems_package_tier2_second_transformation@47.5963892,9.8653206",liebherr_aerospace_electronics_routing_ems_package_tier2_second_transformation,"liebherr_aerospace_electronics_routing_ems_package_tier2_second_transformation@47.5963892,9.8653206",T2,Liebherr Aerospace - electronics routing/EMS package,"Lindenberg im Allgau, Germany",DE,47.5963892,9.8653206,medium_high,source_backed_or_medium_high,1,0.75
"saarstahl@@saarstahl@49.3594,7.1715",saarstahl,"saarstahl@49.3594,7.1715",T4,Saarstahl,Germany,DE,49.3593951,7.1714727,,unknown_or_legacy,33,8.341183
"saarstahl__tier4_raw_material@@saarstahl__tier4_raw_material@49.3593951,7.1714727",saarstahl__tier4_raw_material,"saarstahl__tier4_raw_material@49.3593951,7.1714727",T4,Saarstahl,Germany,DE,49.3593951,7.1714727,,unknown_or_legacy,4,2.114743
"ach@@ach@46.5802,0.3404",ach,"ach@46.5802,0.3404",T1,ACH,France,FR,46.5802,0.3404,high,source_backed_or_medium_high,7,0.102
"arcelormittal_tier4_raw_material@@arcelormittal_tier4_raw_material@46.7897099,4.4493912",arcelormittal_tier4_raw_material,"arcelormittal_tier4_raw_material@46.7897099,4.4493912",T4,ArcelorMittal,"Le Creusot, France",FR,46.7897099,4.4493912,medium_high,source_backed_or_medium_high,3,1.229677
"aubert_&_duval__tier3_first_transformation@@aubert_&_duval__tier3_first_transformation@45.9235016,2.8415731",aubert_&_duval__tier3_first_transformation,"aubert_&_duval__tier3_first_transformation@45.9235016,2.8415731",T3,Aubert & Duval,"Les Ancizes-Comps, France",FR,45.9235016,2.8415731,medium_high,source_backed_or_medium_high,3,1.454
"aubert_duval@@aubert_duval@45.7772,3.087",aubert_duval,"aubert_duval@45.7772,3.087",T3,Aubert & Duval,"Les Ancizes-Comps, France",FR,45.9235016,2.8415731,medium_high,source_backed_or_medium_high,33,8.341183
"collins@@collins@43.2965,5.3716",collins,"collins@43.2965,5.3716",T1,COLLINS,France,FR,43.2964623,5.3715778,,unknown_or_legacy,6,0.0
"celso_sas@@celso_sas@43.9363,1.3228",celso_sas,"celso_sas@43.9363,1.3228",T1,Celso SAS,France,FR,43.9363,1.3228,high,source_backed_or_medium_high,2,0.95
"epodex@@epodex@48.8456,2.3249",epodex,"epodex@48.8456,2.3249",T3,EPODEX,France,FR,48.845562,2.3249361,,unknown_or_legacy,1,0.392
"espace@@espace@44.7776,-0.6475",espace,"espace@44.7776,-0.6475",T1,ESPACE,France,FR,44.7776436,-0.6475364,,unknown_or_legacy,44,23.783524
"espace_-_internal_machining/forming_process__tier2_second_transformation@@espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364",espace_-_internal_machining/forming_process__tier2_second_transformation,"espace_-_internal_machining/forming_process__tier2_second_transformation@44.7776436,-0.6475364",T2,ESPACE - internal machining/forming process,France,FR,44.7776436,-0.6475364,,unknown_or_legacy,15,12.003005
"ets_gattefin@@ets_gattefin@47.1426,2.2372",ets_gattefin,"ets_gattefin@47.1426,2.2372",T1,ETS Gattefin,France,FR,47.1426393,2.2372016,high,source_backed_or_medium_high,15,2.5527
"ets_gattefin_tier1@@ets_gattefin_tier1@47.1426393,2.2372016",ets_gattefin_tier1,"ets_gattefin_tier1@47.1426393,2.2372016",T1,ETS Gattefin,France,FR,47.1426393,2.2372016,high,source_backed_or_medium_high,6,9.2615
"ets_gattefin_-_internal_machining/forming_process__tier2_second_transformation@@ets_gattefin_-_internal_machining/forming_process__tier2_second_transformation@47.1426393,2.2372016",ets_gattefin_-_internal_machining/forming_process__tier2_second_transformation,"ets_gattefin_-_internal_machining/forming_process__tier2_second_transformation@47.1426393,2.2372016",T2,ETS Gattefin - internal machining/forming process,France,FR,47.1426393,2.2372016,high,source_backed_or_medium_high,1,0.008
"ets_gattefin_internal_machining_forming_process_tier2_second_transformation@@ets_gattefin_internal_machining_forming_process_tier2_second_transformation@47.1426393,2.2372016",ets_gattefin_internal_machining_forming_process_tier2_second_transformation,"ets_gattefin_internal_machining_forming_process_tier2_second_transformation@47.1426393,2.2372016",T2,ETS Gattefin - internal machining/forming process,France,FR,47.1426393,2.2372016,high,source_backed_or_medium_high,6,9.2615
"euralliage_ile_de_france@@euralliage_ile_de_france@48.986,2.449",euralliage_ile_de_france,"euralliage_ile_de_france@48.986,2.449",T3,Euralliage Ile de France,France,FR,48.986,2.449,high,source_backed_or_medium_high,7,26.770833
"groupe_segnere_segnere_ade@@groupe_segnere_segnere_ade@43.1576,-0.0191",groupe_segnere_segnere_ade,"groupe_segnere_segnere_ade@43.1576,-0.0191",T1,Groupe Segnere / SEGNERE Ade,France,FR,43.1576,-0.0191,medium_high,source_backed_or_medium_high,1,0.404
"groupe_segnere_/_segnere_ade_-_internal_machining/forming_process__tier2_second_transformation@@groupe_segnere_/_segnere_ade_-_internal_machining/forming_process__tier2_second_transformation@43.1576,-0.0191",groupe_segnere_/_segnere_ade_-_internal_machining/forming_process__tier2_second_transformation,"groupe_segnere_/_segnere_ade_-_internal_machining/forming_process__tier2_second_transformation@43.1576,-0.0191",T2,Groupe Segnere / SEGNERE Ade - internal machining/forming process,France,FR,43.1576,-0.0191,medium_high,source_backed_or_medium_high,1,0.404
"lelievre_paris@@lelievre_paris@48.8666,2.3391",lelievre_paris,"lelievre_paris@48.8666,2.3391",T2,Lelièvre Paris,France,FR,48.8666,2.3391,,unknown_or_legacy,1,0.008
"mga_villeneuve_st_lot@@mga_villeneuve_st_lot@44.3975,0.7317",mga_villeneuve_st_lot,"mga_villeneuve_st_lot@44.3975,0.7317",T1,MGA Villeneuve St Lot,France,FR,44.3974711,0.7316929,,unknown_or_legacy,8,0.6647
"mga_villeneuve_st_lot_tier1@@mga_villeneuve_st_lot_tier1@44.3974711,0.7316929",mga_villeneuve_st_lot_tier1,"mga_villeneuve_st_lot_tier1@44.3974711,0.7316929",T1,MGA Villeneuve St Lot,France,FR,44.3974711,0.7316929,medium,unknown_or_legacy,5,3.774216
"mga_villeneuve_st_lot_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@@mga_villeneuve_st_lot_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@44.3974711,0.7316929",mga_villeneuve_st_lot_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation,"mga_villeneuve_st_lot_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@44.3974711,0.7316929",T3,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,France,FR,44.3974711,0.7316929,medium,unknown_or_legacy,1,0.016
"mga_villeneuve_st_lot_internal_frmc55_integration_process_tier2_second_transformation@@mga_villeneuve_st_lot_internal_frmc55_integration_process_tier2_second_transformation@44.3974711,0.7316929",mga_villeneuve_st_lot_internal_frmc55_integration_process_tier2_second_transformation,"mga_villeneuve_st_lot_internal_frmc55_integration_process_tier2_second_transformation@44.3974711,0.7316929",T2,MGA Villeneuve St Lot - internal FRMC55 integration process,France,FR,44.3974711,0.7316929,medium,unknown_or_legacy,1,0.016
"mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@@mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929",mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation,"mga_villeneuve_st_lot_-_internal_machining/forming_process__tier2_second_transformation@44.3974711,0.7316929",T2,MGA Villeneuve St Lot - internal machining/forming process,France,FR,44.3974711,0.7316929,,unknown_or_legacy,2,0.051
"mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@@mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@44.3974711,0.7316929",mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation,"mga_villeneuve_st_lot_internal_machining_forming_process_tier2_second_transformation@44.3974711,0.7316929",T2,MGA Villeneuve St Lot - internal machining/forming process,France,FR,44.3974711,0.7316929,medium,unknown_or_legacy,4,3.758216
"maison_fichet@@maison_fichet@48.8706,2.3634",maison_fichet,"maison_fichet@48.8706,2.3634",T2,Maison Fichet,France,FR,48.8706283,2.3633735,,unknown_or_legacy,3,0.211
"sumpar@@sumpar@49.3893,1.2086",sumpar,"sumpar@49.3893,1.2086",T1,SUMPAR,France,FR,49.3892868,1.2085766,high,source_backed_or_medium_high,15,26.851098
"sumpar_tier1@@sumpar_tier1@49.3892868,1.2085766",sumpar_tier1,"sumpar_tier1@49.3892868,1.2085766",T1,SUMPAR,France,FR,49.3892868,1.2085766,high,source_backed_or_medium_high,7,16.352677
"sumpar_-_internal_machining/forming_process__tier2_second_transformation@@sumpar_-_internal_machining/forming_process__tier2_second_transformation@49.3892868,1.2085766",sumpar_-_internal_machining/forming_process__tier2_second_transformation,"sumpar_-_internal_machining/forming_process__tier2_second_transformation@49.3892868,1.2085766",T2,SUMPAR - internal machining/forming process,France,FR,49.3892868,1.2085766,high,source_backed_or_medium_high,8,26.803832
"sumpar_internal_machining_forming_process_tier2_second_transformation@@sumpar_internal_machining_forming_process_tier2_second_transformation@49.3892868,1.2085766",sumpar_internal_machining_forming_process_tier2_second_transformation,"sumpar_internal_machining_forming_process_tier2_second_transformation@49.3892868,1.2085766",T2,SUMPAR - internal machining/forming process,France,FR,49.3892868,1.2085766,high,source_backed_or_medium_high,7,16.352677
"safran_seats_safran_internal_group@@safran_seats_safran_internal_group@48.8125,1.9495",safran_seats_safran_internal_group,"safran_seats_safran_internal_group@48.8125,1.9495",OEM,Safran Seats / Safran internal group,France,FR,48.8125,1.9495,high,source_backed_or_medium_high,172,129.949472
"saint_gobain@@saint_gobain@49.5967,3.3759",saint_gobain,"saint_gobain@49.5967,3.3759",T3,Saint-Gobain,France,FR,49.5967,3.3759,,unknown_or_legacy,2,0.0014
"te_connectivity_tier1@@te_connectivity_tier1@49.0253,1.1858",te_connectivity_tier1,"te_connectivity_tier1@49.0253,1.1858",T1,TE Connectivity,"Évreux, France",FR,49.0253,1.1858,medium,source_backed_or_medium_high,1,3.365
"te_connectivity_cots_electronics_component_market_basket_tier4_raw_material@@te_connectivity_cots_electronics_component_market_basket_tier4_raw_material@49.0253,1.1858",te_connectivity_cots_electronics_component_market_basket_tier4_raw_material,"te_connectivity_cots_electronics_component_market_basket_tier4_raw_material@49.0253,1.1858",T4,TE Connectivity - COTS electronics component market basket,"Évreux, France",FR,49.0253,1.1858,medium,unknown_or_legacy,1,3.365
"te_connectivity_cots_electronics_subassembly_pcb_package_tier3_first_transformation@@te_connectivity_cots_electronics_subassembly_pcb_package_tier3_first_transformation@49.0253,1.1858",te_connectivity_cots_electronics_subassembly_pcb_package_tier3_first_transformation,"te_connectivity_cots_electronics_subassembly_pcb_package_tier3_first_transformation@49.0253,1.1858",T3,TE Connectivity - COTS electronics subassembly/PCB package,"Évreux, France",FR,49.0253,1.1858,medium,unknown_or_legacy,1,3.365
"te_connectivity_electronics_routing_ems_package_tier2_second_transformation@@te_connectivity_electronics_routing_ems_package_tier2_second_transformation@49.0253,1.1858",te_connectivity_electronics_routing_ems_package_tier2_second_transformation,"te_connectivity_electronics_routing_ems_package_tier2_second_transformation@49.0253,1.1858",T2,TE Connectivity - electronics routing/EMS package,"Évreux, France",FR,49.0253,1.1858,medium,unknown_or_legacy,1,3.365
"thales@@thales@43.5639,1.3821",thales,"thales@43.5639,1.3821",T1,Thales,France,FR,43.5638842,1.3821146,,unknown_or_legacy,3,2.37
"thales__tier1@@thales__tier1@43.5638842,1.3821146",thales__tier1,"thales__tier1@43.5638842,1.3821146",T1,Thales,France,FR,43.5638842,1.3821146,,unknown_or_legacy,5,4.078
"thales_cots_electronics_component_market_basket_tier4_raw_material@@thales_cots_electronics_component_market_basket_tier4_raw_material@43.5638842,1.3821146",thales_cots_electronics_component_market_basket_tier4_raw_material,"thales_cots_electronics_component_market_basket_tier4_raw_material@43.5638842,1.3821146",T4,Thales - COTS electronics component market basket,France,FR,43.5638842,1.3821146,medium,unknown_or_legacy,6,5.578
"thales_cots_electronics_subassembly_pcb_package_tier3_first_transformation@@thales_cots_electronics_subassembly_pcb_package_tier3_first_transformation@43.5638842,1.3821146",thales_cots_electronics_subassembly_pcb_package_tier3_first_transformation,"thales_cots_electronics_subassembly_pcb_package_tier3_first_transformation@43.5638842,1.3821146",T3,Thales - COTS electronics subassembly/PCB package,France,FR,43.5638842,1.3821146,medium,unknown_or_legacy,6,5.578
"thyssenkrupp_materials_france_tier3_first_transformation@@thyssenkrupp_materials_france_tier3_first_transformation@48.758488,1.925304",thyssenkrupp_materials_france_tier3_first_transformation,"thyssenkrupp_materials_france_tier3_first_transformation@48.758488,1.925304",T3,thyssenkrupp Materials France,France,FR,48.758488,1.925304,high,source_backed_or_medium_high,3,1.229677
"mgr_foamtex_ltd@@mgr_foamtex_ltd@51.7396,-0.9665",mgr_foamtex_ltd,"mgr_foamtex_ltd@51.7396,-0.9665",T2,MGR Foamtex Ltd,United Kingdom,GB,51.739561,-0.966526,high,source_backed_or_medium_high,3,0.078
"mgr_foamtex_ltd_tier1@@mgr_foamtex_ltd_tier1@51.739561,-0.966526",mgr_foamtex_ltd_tier1,"mgr_foamtex_ltd_tier1@51.739561,-0.966526",T1,MGR Foamtex Ltd,United Kingdom,GB,51.739561,-0.966526,high,source_backed_or_medium_high,2,0.078
"mgr_foamtex_ltd_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@@mgr_foamtex_ltd_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@51.739561,-0.966526",mgr_foamtex_ltd_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation,"mgr_foamtex_ltd_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@51.739561,-0.966526",T3,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,United Kingdom,GB,51.739561,-0.966526,high,source_backed_or_medium_high,2,0.078
"mgr_foamtex_ltd_internal_foam_upholstery_process_tier2_second_transformation@@mgr_foamtex_ltd_internal_foam_upholstery_process_tier2_second_transformation@51.739561,-0.966526",mgr_foamtex_ltd_internal_foam_upholstery_process_tier2_second_transformation,"mgr_foamtex_ltd_internal_foam_upholstery_process_tier2_second_transformation@51.739561,-0.966526",T2,MGR Foamtex Ltd - internal foam/upholstery process,United Kingdom,GB,51.739561,-0.966526,high,source_backed_or_medium_high,2,0.078
"silicone_engineering@@silicone_engineering@53.7486,-2.4875",silicone_engineering,"silicone_engineering@53.7486,-2.4875",T2,Silicone Engineering,"Blackburn, United Kingdom",GB,53.7559111,-2.4483932,medium_high,source_backed_or_medium_high,2,0.0014
"gruppo_mastrotto@@gruppo_mastrotto@45.556,11.341",gruppo_mastrotto,"gruppo_mastrotto@45.556,11.341",T3,Gruppo Mastrotto,Italy,IT,45.556,11.341,,unknown_or_legacy,3,0.211
"gruppo_mastrotto_-_hide/raw_leather_source_assumption__tier4_raw_material@@gruppo_mastrotto_-_hide/raw_leather_source_assumption__tier4_raw_material@45.556,11.341",gruppo_mastrotto_-_hide/raw_leather_source_assumption__tier4_raw_material,"gruppo_mastrotto_-_hide/raw_leather_source_assumption__tier4_raw_material@45.556,11.341",T4,Gruppo Mastrotto - hide/raw leather source assumption,Italy,IT,45.556,11.341,,unknown_or_legacy,3,0.211
"jamco_aircraft_interiors_-_niigata__tier1@@jamco_aircraft_interiors_-_niigata__tier1@38.0218,139.4275",jamco_aircraft_interiors_-_niigata__tier1,"jamco_aircraft_interiors_-_niigata__tier1@38.0218,139.4275",T1,JAMCO Aircraft Interiors - Niigata,Japan,JP,38.0218,139.4275,high,source_backed_or_medium_high,8,9.078
"jamco_aircraft_interiors_niigata@@jamco_aircraft_interiors_niigata@38.0218,139.4275",jamco_aircraft_interiors_niigata,"jamco_aircraft_interiors_niigata@38.0218,139.4275",T1,JAMCO Aircraft Interiors - Niigata,Japan,JP,38.0218,139.4275,high,source_backed_or_medium_high,6,0.0
"jamco_aircraft_interiors_-_niigata_-_internal_machining/forming_process__tier2_second_transformation@@jamco_aircraft_interiors_-_niigata_-_internal_machining/forming_process__tier2_second_transformation@38.0218,139.4275",jamco_aircraft_interiors_-_niigata_-_internal_machining/forming_process__tier2_second_transformation,"jamco_aircraft_interiors_-_niigata_-_internal_machining/forming_process__tier2_second_transformation@38.0218,139.4275",T2,JAMCO Aircraft Interiors - Niigata - internal machining/forming process,Japan,JP,38.0218,139.4275,high,source_backed_or_medium_high,1,0.0
"jamco_aircraft_interiors_-_niigata_-_thermoforming/finishing_process__tier2_second_transformation@@jamco_aircraft_interiors_-_niigata_-_thermoforming/finishing_process__tier2_second_transformation@38.0218,139.4275",jamco_aircraft_interiors_-_niigata_-_thermoforming/finishing_process__tier2_second_transformation,"jamco_aircraft_interiors_-_niigata_-_thermoforming/finishing_process__tier2_second_transformation@38.0218,139.4275",T2,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,Japan,JP,38.0218,139.4275,high,source_backed_or_medium_high,1,0.151
"shin-etsu_silicones__tier4_raw_material@@shin-etsu_silicones__tier4_raw_material@36.2983921,138.8497966",shin-etsu_silicones__tier4_raw_material,"shin-etsu_silicones__tier4_raw_material@36.2983921,138.8497966",T4,Shin-Etsu Silicones,"Annaka / Gunma, Japan",JP,36.2983921,138.8497966,medium_high,source_backed_or_medium_high,2,0.0014
"toray_industries@@toray_industries@35.6866,139.7746",toray_industries,"toray_industries@35.6866,139.7746",T2|T3,Toray Industries,"Nagoya / Aichi, Japan",JP,35.08880103081,136.90424935333,medium_high,source_backed_or_medium_high,34,13.716567
"toray_industries_-_carbon_fiber_upstream_source_assumption__tier4_raw_material@@toray_industries_-_carbon_fiber_upstream_source_assumption__tier4_raw_material@35.08880103081,136.90424935333",toray_industries_-_carbon_fiber_upstream_source_assumption__tier4_raw_material,"toray_industries_-_carbon_fiber_upstream_source_assumption__tier4_raw_material@35.08880103081,136.90424935333",T4,Toray Industries - carbon fiber upstream source assumption,"Nagoya / Aichi, Japan",JP,35.08880103081,136.90424935333,medium_high,source_backed_or_medium_high,2,0.0
"ultrafabrics@@ultrafabrics@36.65,138.18",ultrafabrics,"ultrafabrics@36.65,138.18",T3,Ultrafabrics,Japan,JP,36.65,138.18,,unknown_or_legacy,1,0.0
"yamazaki_velvet_co.__tier3_first_transformation@@yamazaki_velvet_co.__tier3_first_transformation@35.88946,136.17723",yamazaki_velvet_co.__tier3_first_transformation,"yamazaki_velvet_co.__tier3_first_transformation@35.88946,136.17723",T3,Yamazaki Velvet Co.,Japan,JP,35.88946,136.17723,,unknown_or_legacy,1,0.008
"franklin@@franklin@51.8215,20.5269",franklin,"franklin@51.8215,20.5269",T2,FRANKLIN,Poland,PL,51.8215327,20.5268712,,unknown_or_legacy,6,0.099
"franklin_tier1@@franklin_tier1@51.8215327,20.5268712",franklin_tier1,"franklin_tier1@51.8215327,20.5268712",T1,FRANKLIN,Poland,PL,51.8215327,20.5268712,medium,unknown_or_legacy,5,3.942
"franklin_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@@franklin_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@51.8215327,20.5268712",franklin_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation,"franklin_frmc55_certified_foam_fabric_sourcing_package_tier3_first_transformation@51.8215327,20.5268712",T3,FRANKLIN - FRMC55 certified foam/fabric sourcing package,Poland,PL,51.8215327,20.5268712,medium,unknown_or_legacy,5,3.942
