lever_id,lever_label,activity_name,exchange_name,exchange_type,database,location,unit,formula,baseline_amount,scenario_amount,delta_amount,abs_delta_amount,relative_delta_pct,parameter_count_in_formula,label
aluminium_material,Aluminium matiere +10%,Ensemble tablette cocktail,"treatment of aluminium scrap, new, at remelter",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,ETC_m_al_2017+ETC_eol_al_2024,63.848,70.228,6.38,6.38,9.9925,1,"Ensemble tablette cocktail / treatment of aluminium scrap, new, at remelter"
end_of_life,Fin de vie / recyclage +10%,ENS Structure fauteuil,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,m_al_2024_SF+m_al_5086_SF+m_al_alu_SF+m_al_2017_SF- eol_al_2017_SF- eol_al_2024_SF- eol_alu_SF- eol_al_5086_SF,14.5063474,9.30694404,-5.19940336,5.19940336,-35.8423,4,"ENS Structure fauteuil / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,ENS Structure fauteuil,"treatment of aluminium scrap, new, at remelter",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,eol_al_2017_SF+eol_al_2024_SF+eol_al_5086_SF+eol_alu_SF,51.9940336,57.19343696,5.19940336,5.19940336,10.0,4,"ENS Structure fauteuil / treatment of aluminium scrap, new, at remelter"
end_of_life,Fin de vie / recyclage +10%,Ensemble tablette cocktail,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,ETC_m_al_2017+ETC_m_al_2024-ETC_eol_al_2017- ETC_eol_al_2024,15.885,11.0802,-4.8048,4.8048,-30.2474,2,"Ensemble tablette cocktail / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Recyclage siege,"market group for heat, central or small-scale, natural gas",technosphere,ecoinvent-3.10-cutoff,RER,megajoule,-recy_inc_heat_wool-recy_inc_heat_plast-recy_inc_heat_dee+recy_heat_washing_plast+recy_heat_washing_dee,-44.157954,-48.5737494,-4.4157954,4.4157954,10.0,5,"Recyclage siege / market group for heat, central or small-scale, natural gas"
aluminium_material,Aluminium matiere +10%,Ensemble tablette repas,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,etr_m_alu2017+etr_m_alu2024-etr_eol_alu2017- etr_eol_alu2024+etr_m_alu2075-etr_eol_alu2075,6.9731,11.32773,4.35463,4.35463,62.449,3,"Ensemble tablette repas / market for aluminium, primary, ingot"
packaging,Packaging +10%,packaging fauteuil,plywood production,technosphere,ecoinvent-3.10-cutoff,RER,kilogram,pf_ply_pack,40.0,44.0,4.0,4.0,10.0,1,packaging fauteuil / plywood production
end_of_life,Fin de vie / recyclage +10%,Recyclage siege,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,-recy_alucu4-recy_almg-recy_alu_ingot-recy_alu_dee-recy_copper_sheet,-38.47655,-42.324205,-3.847655,3.847655,10.0,5,"Recyclage siege / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Recyclage siege,"treatment of aluminium scrap, new, at refiner",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,recy_alucu4+recy_almg+recy_alu_ingot+recy_alu_dee+recy_copper_sheet,38.47655,42.324205,3.847655,3.847655,10.0,5,"Recyclage siege / treatment of aluminium scrap, new, at refiner"
end_of_life,Fin de vie / recyclage +10%,Ensemble tablette repas,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,etr_m_alu2017+etr_m_alu2024-etr_eol_alu2017- etr_eol_alu2024+etr_m_alu2075-etr_eol_alu2075,6.9731,3.31578,-3.65732,3.65732,-52.449,3,"Ensemble tablette repas / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Ensemble tablette repas,"treatment of aluminium scrap, new, at remelter",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,etr_eol_alu2017+etr_eol_alu2024+etr_eol_alu2075,36.5732,40.23052,3.65732,3.65732,10.0,3,"Ensemble tablette repas / treatment of aluminium scrap, new, at remelter"
packaging,Packaging +10%,ecran seat,"market for transport, freight, aircraft, medium haul",technosphere,ecoinvent-3.10-cutoff,GLO,ton kilometer,ecran_plane_pack,35.0,38.5,3.5,3.5,10.0,1,"ecran seat / market for transport, freight, aircraft, medium haul"
transport,Transport foreground +10%,ecran seat,"market for transport, freight, aircraft, medium haul",technosphere,ecoinvent-3.10-cutoff,GLO,ton kilometer,ecran_plane_pack,35.0,38.5,3.5,3.5,10.0,1,"ecran seat / market for transport, freight, aircraft, medium haul"
aluminium_material,Aluminium matiere +10%,Ensemble structure fixe,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,esfi_m_alu-esfi_eol_alu,3.8,5.66,1.86,1.86,48.9474,1,"Ensemble structure fixe / market for aluminium, primary, ingot"
aluminium_material,Aluminium matiere +10%,Support ecran assemble,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,sea_m_alu2017+sea_m_alu5086-sea_eol_alu2017-sea_eol_alu5086,2.3073,4.1156,1.8083,1.8083,78.373,2,"Support ecran assemble / market for aluminium, primary, ingot"
packaging,Packaging +10%,Ensemble palette optimisee,"market for transport, freight, lorry 16-32 metric ton, EURO6",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,epo_truck_pack,15.8,17.38,1.58,1.58,10.0,1,"Ensemble palette optimisee / market for transport, freight, lorry 16-32 metric ton, EURO6"
transport,Transport foreground +10%,Ensemble palette optimisee,"market for transport, freight, lorry 16-32 metric ton, EURO6",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,epo_truck_pack,15.8,17.38,1.58,1.58,10.0,1,"Ensemble palette optimisee / market for transport, freight, lorry 16-32 metric ton, EURO6"
end_of_life,Fin de vie / recyclage +10%,Support ecran assemble,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,sea_m_alu2017+sea_m_alu5086-sea_eol_alu2017-sea_eol_alu5086,2.3073,0.72973,-1.57757,1.57757,-68.373,2,"Support ecran assemble / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Support ecran assemble,"treatment of aluminium scrap, new, at remelter",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,sea_eol_alu2017+sea_eol_alu5086,15.7757,17.35327,1.57757,1.57757,10.0,2,"Support ecran assemble / treatment of aluminium scrap, new, at remelter"
end_of_life,Fin de vie / recyclage +10%,Ensemble structure fixe,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,esfi_m_alu-esfi_eol_alu,3.8,2.32,-1.48,1.48,-38.9474,1,"Ensemble structure fixe / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Ensemble structure fixe,"treatment of aluminium scrap, new, at remelter",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,esfi_eol_alu,14.8,16.28,1.48,1.48,10.0,1,"Ensemble structure fixe / treatment of aluminium scrap, new, at remelter"
aluminium_material,Aluminium matiere +10%,Accoudoir allee,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,aa_m_alu2017+aa_m_alu2024-aa_eol_alu2017- aa_eol_alu2024+aa_m_alu5086+aa_m_alu-aa_eol_alu5086-aa_eol_alu,3.2159,4.5851,1.3692,1.3692,42.576,4,"Accoudoir allee / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Accoudoir allee,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,aa_m_alu2017+aa_m_alu2024-aa_eol_alu2017- aa_eol_alu2024+aa_m_alu5086+aa_m_alu-aa_eol_alu5086-aa_eol_alu,3.2159,2.16829,-1.04761,1.04761,-32.576,4,"Accoudoir allee / market for aluminium, primary, ingot"
end_of_life,Fin de vie / recyclage +10%,Accoudoir allee,"treatment of aluminium scrap, new, at remelter",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,aa_eol_alu2017+aa_eol_alu2024,10.4174,11.45914,1.04174,1.04174,10.0,2,"Accoudoir allee / treatment of aluminium scrap, new, at remelter"
packaging,Packaging +10%,packaging fauteuil,folding boxboard carton production,technosphere,ecoinvent-3.10-cutoff,RoW,kilogram,pf_box_pack,10.0,11.0,1.0,1.0,10.0,1,packaging fauteuil / folding boxboard carton production
packaging,Packaging +10%,transport vers Hambourg,market for folding boxboard carton,technosphere,ecoinvent-3.10-cutoff,RER,kilogram,tham_box,10.0,11.0,1.0,1.0,10.0,1,transport vers Hambourg / market for folding boxboard carton
electricity,Electricite process +10%,Ensemble coque,"market for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,FR,kilowatt hour,elec_peau_EC+elec_nida_EC,9.76,10.736,0.976,0.976,10.0,2,"Ensemble coque / market for electricity, low voltage"
packaging,Packaging +10%,Ensemble equipement lateral,"market for transport, freight, lorry 16-32 metric ton, EURO5",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,eel_truc_pack,9.54,10.494,0.954,0.954,10.0,1,"Ensemble equipement lateral / market for transport, freight, lorry 16-32 metric ton, EURO5"
packaging,Packaging +10%,Ceinture de securite,"market for transport, freight, aircraft, medium haul",technosphere,ecoinvent-3.10-cutoff,GLO,ton kilometer,ceint_plane_pack,8.71,9.581,0.871,0.871,10.0,1,"Ceinture de securite / market for transport, freight, aircraft, medium haul"
transport,Transport foreground +10%,Ceinture de securite,"market for transport, freight, aircraft, medium haul",technosphere,ecoinvent-3.10-cutoff,GLO,ton kilometer,ceint_plane_pack,8.71,9.581,0.871,0.871,10.0,1,"Ceinture de securite / market for transport, freight, aircraft, medium haul"
packaging,Packaging +10%,Ensemble porte,"market for transport, freight, lorry 16-32 metric ton, EURO5",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,eporte_truck_pack,7.73,8.503,0.773,0.773,10.0,1,"Ensemble porte / market for transport, freight, lorry 16-32 metric ton, EURO5"
transport,Transport foreground +10%,Ensemble porte,"market for transport, freight, lorry 16-32 metric ton, EURO5",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,eporte_truck_pack,7.73,8.503,0.773,0.773,10.0,1,"Ensemble porte / market for transport, freight, lorry 16-32 metric ton, EURO5"
aluminium_material,Aluminium matiere +10%,Ensemble porte,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,eporte_m_alu-eporte_eol_alu,6.884,7.639,0.755,0.755,10.9675,1,"Ensemble porte / market for aluminium, primary, ingot"
electricity,Electricite process +10%,Ensemble palette optimisee,"market for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,FR,kilowatt hour,epo_elec_alu2017/3.6+epo_elec_alu/3.6+epo_elec_air_alu/3.6+epo_elec_inox/3.6+epo_elec_35nc6/3.6+epo_elec_acier/3.6+epo_elec_nylon/3.6+epo_elec_pp/3.6,7.441888888889,8.186077777778,0.744188888889,0.744188888889,10.0,8,"Ensemble palette optimisee / market for electricity, low voltage"
transport,Transport foreground +10%,Ensemble coque,"market for transport, freight, lorry 16-32 metric ton, EURO5",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,truck_facette_EC+truck_coque_EC,7.438,8.1818,0.7438,0.7438,10.0,2,"Ensemble coque / market for transport, freight, lorry 16-32 metric ton, EURO5"
end_of_life,Fin de vie / recyclage +10%,Recyclage siege,market for scrap steel,technosphere,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,recy_steel_tin+recy_stainless_steel,7.255,7.9805,0.7255,0.7255,10.0,2,Recyclage siege / market for scrap steel
steel_inox,Acier / inox +10%,Recyclage siege,market for scrap steel,technosphere,ecoinvent-3.10-cutoff,Europe without Switzerland,kilogram,recy_steel_tin+recy_stainless_steel,7.255,7.9805,0.7255,0.7255,10.0,2,Recyclage siege / market for scrap steel
end_of_life,Fin de vie / recyclage +10%,Recyclage siege,"steel production, converter, low-alloyed",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,-recy_stainless_steel-recy_ptfe_dee,-7.08144,-7.789584,-0.708144,0.708144,10.0,2,"Recyclage siege / steel production, converter, low-alloyed"
steel_inox,Acier / inox +10%,Recyclage siege,"steel production, converter, low-alloyed",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,-recy_stainless_steel-recy_ptfe_dee,-7.08144,-7.78944,-0.708,0.708,9.998,1,"Recyclage siege / steel production, converter, low-alloyed"
packaging,Packaging +10%,SFCU,"market for transport, freight, aircraft, medium haul",technosphere,ecoinvent-3.10-cutoff,GLO,ton kilometer,SFCU_plane_pack,6.9,7.59,0.69,0.69,10.0,1,"SFCU / market for transport, freight, aircraft, medium haul"
transport,Transport foreground +10%,SFCU,"market for transport, freight, aircraft, medium haul",technosphere,ecoinvent-3.10-cutoff,GLO,ton kilometer,SFCU_plane_pack,6.9,7.59,0.69,0.69,10.0,1,"SFCU / market for transport, freight, aircraft, medium haul"
packaging,Packaging +10%,Manchette equipee,"transport, freight, aircraft, belly-freight, medium haul",technosphere,ecoinvent-3.10-cutoff,GLO,ton kilometer,me_plane_pack,6.83,7.513,0.683,0.683,10.0,1,"Manchette equipee / transport, freight, aircraft, belly-freight, medium haul"
transport,Transport foreground +10%,Manchette equipee,"transport, freight, aircraft, belly-freight, medium haul",technosphere,ecoinvent-3.10-cutoff,GLO,ton kilometer,me_plane_pack,6.83,7.513,0.683,0.683,10.0,1,"Manchette equipee / transport, freight, aircraft, belly-freight, medium haul"
electricity,Electricite process +10%,ENS Structure fauteuil,"market for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,FR,kilowatt hour,elec_30nc6_SF/ 3.6+elec_ertalon_SF/3.6+elec_alu_SF/ 3.6+elec_f6_SF/3.6+inc_nylon_SF / 3.6+inc_f6_SF/3.6+inc_ertalon_SF/3.6+elec_al_2017_SF/ 3.6+elec_al_2024_SF/ 3.6+elec_al_5086_SF/ 3.6+elec_air_5086_SF / 3.6+elec_30ncd_SF/ 3.6+elec_inox_SF/ 3.6+elec_acier_SF/ 3.6+elec_nylon_SF/ 3.6+elec_z15_SF/ 3.6+elec_z10_SF/ 3.6,6.447553055556,7.090666694444,0.643113638889,0.643113638889,9.9745,14,"ENS Structure fauteuil / market for electricity, low voltage"
electricity,Electricite process +10%,Stowage assemblé avec porte,"market for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,FR,kilowatt hour,sto_elec_alu2056/3.6+sto_elec_air_alu2056/3.6+sto_elec_alu2017/3.6+sto_elec_35NC / 3.6+sto_elec_inox/3.6+sto_elec_nylon/3.6+sto_elec_ert/3.6+sto_elec_sili/3.6+sto_elec_acier/3.6,6.317744444444,6.949518888889,0.631774444444,0.631774444444,10.0,9,"Stowage assemblé avec porte / market for electricity, low voltage"
end_of_life,Fin de vie / recyclage +10%,Recyclage siege,"treatment of inert waste, sanitary landfill",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,recy_inert_landfill_peau+recy_landfill_washing_plast+recy_landfill_dee,6.0365,6.64015,0.60365,0.60365,10.0,3,"Recyclage siege / treatment of inert waste, sanitary landfill"
end_of_life,Fin de vie / recyclage +10%,Recyclage siege,"treatment of sewage sludge, 70% water, WWT-SLF, municipal solid waste, municipal incineration",technosphere,ecoinvent-3.10-cutoff,GLO,megajoule,recy_inc_heat_wool,5.87,6.457,0.587,0.587,10.0,1,"Recyclage siege / treatment of sewage sludge, 70% water, WWT-SLF, municipal solid waste, municipal incineration"
electricity,Electricite process +10%,Ensemble tablette cocktail,"market for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,FR,kilowatt hour,ETC_elec_nylon/3.6+ETC_inc_elec_nylon/ 3.6+etc_elec_acier/ 3.6+ETC_elec_al_2017/ 3.6+ETC_elec_al_2024/ 3.6+ETC_elec_inox/ 3.6,5.613955555556,6.175351111111,0.561395555556,0.561395555556,10.0,6,"Ensemble tablette cocktail / market for electricity, low voltage"
electricity,Electricite process +10%,Recyclage siege,"market group for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,RER,kilowatt hour,recy_elec_washing_plast/3.6+recy_elec_washing_dee/3.6+recy_elec_peau/3.6-recy_inc_elec_wool/3.6-recy_inc_elec_plast/3.6-recy_inc_elec_dee/3.6,5.244674305556,5.769141736111,0.524467430556,0.524467430556,10.0,6,"Recyclage siege / market group for electricity, low voltage"
end_of_life,Fin de vie / recyclage +10%,Recyclage siege,"market group for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,RER,kilowatt hour,recy_elec_washing_plast/3.6+recy_elec_washing_dee/3.6+recy_elec_peau/3.6-recy_inc_elec_wool/3.6-recy_inc_elec_plast/3.6-recy_inc_elec_dee/3.6,5.244674305556,5.769141736111,0.524467430556,0.524467430556,10.0,6,"Recyclage siege / market group for electricity, low voltage"
packaging,Packaging +10%,Ensemble coque,folding boxboard carton production,technosphere,ecoinvent-3.10-cutoff,RER,kilogram,m_box_pack_EC+m_box_facette_EC,4.99,5.489,0.499,0.499,10.0,2,Ensemble coque / folding boxboard carton production
packaging,Packaging +10%,Coussin Ottoman,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,c_ott_truck_pack,4.79,5.269,0.479,0.479,10.0,1,"Coussin Ottoman / market for transport, freight, lorry 16-32 metric ton, EURO4"
transport,Transport foreground +10%,Coussin Ottoman,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,c_ott_truck_pack,4.79,5.269,0.479,0.479,10.0,1,"Coussin Ottoman / market for transport, freight, lorry 16-32 metric ton, EURO4"
packaging,Packaging +10%,Ensemble coussin dossier,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,ecdo_truck_pack,4.74,5.214,0.474,0.474,10.0,1,"Ensemble coussin dossier / market for transport, freight, lorry 16-32 metric ton, EURO4"
transport,Transport foreground +10%,Ensemble coussin dossier,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,ecdo_truck_pack,4.74,5.214,0.474,0.474,10.0,1,"Ensemble coussin dossier / market for transport, freight, lorry 16-32 metric ton, EURO4"
packaging,Packaging +10%,Ensemble coussin dossier version tetiere,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,ecdvt_truck_pack,4.32,4.752,0.432,0.432,10.0,1,"Ensemble coussin dossier version tetiere / market for transport, freight, lorry 16-32 metric ton, EURO4"
transport,Transport foreground +10%,Ensemble coussin dossier version tetiere,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,ecdvt_truck_pack,4.32,4.752,0.432,0.432,10.0,1,"Ensemble coussin dossier version tetiere / market for transport, freight, lorry 16-32 metric ton, EURO4"
aluminium_material,Aluminium matiere +10%,Ensemble equipement lateral,"market for aluminium, primary, ingot",technosphere,ecoinvent-3.10-cutoff,"IAI Area, EU27 & EFTA",kilogram,eel_m_alu5086-eel_eol_alu5086,3.646,4.065,0.419,0.419,11.492,1,"Ensemble equipement lateral / market for aluminium, primary, ingot"
steel_inox,Acier / inox +10%,Ensemble tablette cocktail,"steel production, converter, low-alloyed",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,m_ss_z1_SF+m_steel_30nc6_SF+m_ss_z15_SF-ETC_eol_inox-etc_scrap_steel+m_steel_30ncd_SF,3.96721,4.361291,0.394081,0.394081,9.9335,5,"Ensemble tablette cocktail / steel production, converter, low-alloyed"
packaging,Packaging +10%,Accoudoir allee,"market for transport, freight, lorry 16-32 metric ton, EURO5",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,aa_truck_pack,3.89,4.279,0.389,0.389,10.0,1,"Accoudoir allee / market for transport, freight, lorry 16-32 metric ton, EURO5"
transport,Transport foreground +10%,Accoudoir allee,"market for transport, freight, lorry 16-32 metric ton, EURO5",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,aa_truck_pack,3.89,4.279,0.389,0.389,10.0,1,"Accoudoir allee / market for transport, freight, lorry 16-32 metric ton, EURO5"
polymer_textile,Polymere / textile +10%,Ensemble coque,"market for polyether polyols, short chain",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,m_pether_peau_EC+m_pether_NIDA_EC,3.85,4.235,0.385,0.385,10.0,2,"Ensemble coque / market for polyether polyols, short chain"
steel_inox,Acier / inox +10%,ENS Structure fauteuil,"steel production, converter, low-alloyed",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,m_ss_z1_SF+m_steel_30nc6_SF+m_ss_z15_SF-eol_z10_SF-eol_z15_SF-eol_30cn_SF-eol_acier_SF-eol_inox_SF-eol_steel_30ncd_SF+m_steel_30ncd_SF,2.94002,3.304382,0.364362,0.364362,12.3932,8,"ENS Structure fauteuil / steel production, converter, low-alloyed"
packaging,Packaging +10%,Ensemble coussin assise,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,ecas_truck_pack,3.63,3.993,0.363,0.363,10.0,1,"Ensemble coussin assise / market for transport, freight, lorry 16-32 metric ton, EURO4"
transport,Transport foreground +10%,Ensemble coussin assise,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,ecas_truck_pack,3.63,3.993,0.363,0.363,10.0,1,"Ensemble coussin assise / market for transport, freight, lorry 16-32 metric ton, EURO4"
electricity,Electricite process +10%,Ensemble tablette repas,"market for electricity, low voltage",technosphere,ecoinvent-3.10-cutoff,FR,kilowatt hour,etr_elec_alu2017/3.6+etr_elec_alu2024/3.6+etr_elec_alu2075/3.6+etr_elec_inox/3.6+etr_elec_acier/3.6+etr_elec_nylon/3.6+etr_elec_ert/3.6+etr_elec_sili/3.6,3.597897222222,3.957686944444,0.359789722222,0.359789722222,10.0,8,"Ensemble tablette repas / market for electricity, low voltage"
packaging,Packaging +10%,Stowage assemblé avec porte,"market for transport, freight, lorry 16-32 metric ton, EURO6",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,sto_truck_pack,3.59,3.949,0.359,0.359,10.0,1,"Stowage assemblé avec porte / market for transport, freight, lorry 16-32 metric ton, EURO6"
transport,Transport foreground +10%,Stowage assemblé avec porte,"market for transport, freight, lorry 16-32 metric ton, EURO6",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,sto_truck_pack,3.59,3.949,0.359,0.359,10.0,1,"Stowage assemblé avec porte / market for transport, freight, lorry 16-32 metric ton, EURO6"
packaging,Packaging +10%,Padding,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,pad_truck_pack,3.06,3.366,0.306,0.306,10.0,1,"Padding / market for transport, freight, lorry 16-32 metric ton, EURO4"
transport,Transport foreground +10%,Padding,"market for transport, freight, lorry 16-32 metric ton, EURO4",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,pad_truck_pack,3.06,3.366,0.306,0.306,10.0,1,"Padding / market for transport, freight, lorry 16-32 metric ton, EURO4"
packaging,Packaging +10%,transport vers Hambourg,"packaging film production, low density polyethylene",technosphere,ecoinvent-3.10-cutoff,RER,kilogram,tham_pe,3.0,3.3,0.3,0.3,10.0,1,"transport vers Hambourg / packaging film production, low density polyethylene"
packaging,Packaging +10%,Ensemble structure fixe,"market for transport, freight, lorry 16-32 metric ton, EURO5",technosphere,ecoinvent-3.10-cutoff,RER,ton kilometer,esfi_truck_pack,2.97,3.267,0.297,0.297,10.0,1,"Ensemble structure fixe / market for transport, freight, lorry 16-32 metric ton, EURO5"
