activity_name,exchange_name,exchange_category,label,exact_delta_kgco2e,allocated_delta_kgco2e,exact_minus_allocated_kgco2e,quantity_delta_abs,exchange_unit,mapping_status,row_count,value
Structure Ottoman horizontale,"market for compressed air, 1000 kPa gauge",energy,"Structure Ottoman horizontale -> market for compressed air, 1000 kPa gauge",10.081406421,1.473910811,8.60749561,52.07443474,cubic meter,mapped_exchange,480,10.081406421
Structure Ottoman horizontale,"market for electricity, low voltage",energy,"Structure Ottoman horizontale -> market for electricity, low voltage",9.541654544,3.007636162,6.534018382,106.262164177,kilowatt hour,mapped_exchange,480,9.541654544
Ensemble equipement lateral,"market for compressed air, 1000 kPa gauge",energy,"Ensemble equipement lateral -> market for compressed air, 1000 kPa gauge",9.383401865,2.19196616,7.191435705,48.468966308,cubic meter,mapped_exchange,473,9.383401865
Ensemble equipement lateral,"market for electricity, low voltage",energy,"Ensemble equipement lateral -> market for electricity, low voltage",8.877075709,4.470900248,4.406175461,98.860975572,kilowatt hour,mapped_exchange,473,8.877075709
Ensemble stowage lateral,"market for electricity, low voltage",energy,"Ensemble stowage lateral -> market for electricity, low voltage",6.311853867,65.561879875,-59.250026008,70.292971616,kilowatt hour,mapped_exchange,480,6.311853867
Ceinture de securite,"market for electricity, low voltage",energy,"Ceinture de securite -> market for electricity, low voltage",5.916506535,74.699349615,-68.78284308,65.890122814,kilowatt hour,mapped_exchange,720,5.916506535
Ensemble palette optimisee,"market for transport, freight, aircraft, medium haul (virtual SDD)",transport,"Ensemble palette optimisee -> market for transport, freight, aircraft, medium haul (virtual SDD)",5.013109892,5.026374093,-0.013264201,6.129724504,ton kilometer,virtual_exchange_proxy,11,5.013109892
Ensemble stowage lateral,"market for compressed air, 1000 kPa gauge",energy,"Ensemble stowage lateral -> market for compressed air, 1000 kPa gauge",4.939398256,23.796713312,-18.857315056,25.513937318,cubic meter,mapped_exchange,480,4.939398256
Ensemble tetiere,"market for electricity, low voltage",energy,"Ensemble tetiere -> market for electricity, low voltage",4.608908544,0.63232926,3.976579284,51.327848116,kilowatt hour,mapped_exchange,720,4.608908544
Padding,"market for transport, freight, aircraft, medium haul (virtual SDD)",transport,"Padding -> market for transport, freight, aircraft, medium haul (virtual SDD)",4.561725198,4.573795078,-0.01206988,5.577798874,ton kilometer,virtual_exchange_proxy,11,4.561725198
Habillage sous fauteuil,"compressed air production, 700 kPa gauge, >30kW, average generation",energy,"Habillage sous fauteuil -> compressed air production, 700 kPa gauge, >30kW, average generation",4.329168837,0.719765743,3.609403094,24.3834291,cubic meter,mapped_exchange,475,4.329168837
Ensemble palette optimisee,"compressed air production, 700 kPa gauge, >30kW, average generation",energy,"Ensemble palette optimisee -> compressed air production, 700 kPa gauge, >30kW, average generation",4.047075834,1.552772006,2.494303828,22.794580255,cubic meter,mapped_exchange,480,4.047075834
Renfort tubulaire,"market for compressed air, 1000 kPa gauge",energy,"Renfort tubulaire -> market for compressed air, 1000 kPa gauge",3.449737203,0.065960342,3.383776861,17.819251294,cubic meter,mapped_exchange,473,3.449737203
Renfort tubulaire,"market for electricity, low voltage",energy,"Renfort tubulaire -> market for electricity, low voltage",3.272117166,0.134889266,3.1372279,36.440457023,kilowatt hour,mapped_exchange,473,3.272117166
Ensemble coque,"market for transport, freight, aircraft, medium haul (virtual SDD)",transport,"Ensemble coque -> market for transport, freight, aircraft, medium haul (virtual SDD)",3.120479143,3.128735626,-0.008256483,3.815531251,ton kilometer,virtual_exchange_proxy,2,3.120479143
Ensemble porte,"market for transport, freight, aircraft, medium haul (virtual SDD)",transport,"Ensemble porte -> market for transport, freight, aircraft, medium haul (virtual SDD)",1.980251341,1.985490894,-0.005239553,2.421330357,ton kilometer,virtual_exchange_proxy,5,1.980251341
Habillage sous fauteuil,"market for electricity, low voltage",energy,"Habillage sous fauteuil -> market for electricity, low voltage",1.803821016,0.592986483,1.210834533,20.088541624,kilowatt hour,mapped_exchange,475,1.803821016
Manchette equipee,"compressed air production, 1000 kPa gauge, <30kW, average generation",energy,"Manchette equipee -> compressed air production, 1000 kPa gauge, <30kW, average generation",1.67953645,1.668794142,0.010742308,6.447755347,cubic meter,mapped_exchange,480,1.67953645
Ensemble structure fixe,"market for transport, freight, aircraft, medium haul (virtual SDD)",transport,"Ensemble structure fixe -> market for transport, freight, aircraft, medium haul (virtual SDD)",1.286468481,1.289872351,-0.00340387,1.573015063,ton kilometer,virtual_exchange_proxy,6,1.286468481
Support et clamps,"market for transport, freight, aircraft, medium haul (virtual SDD)",transport,"Support et clamps -> market for transport, freight, aircraft, medium haul (virtual SDD)",1.015438159,1.018124909,-0.00268675,1.241615742,ton kilometer,virtual_exchange_proxy,3,1.015438159
Support manchette equipee,"compressed air production, 1000 kPa gauge, <30kW, average generation",energy,"Support manchette equipee -> compressed air production, 1000 kPa gauge, <30kW, average generation",0.813542856,0.205291556,0.6082513,3.123198234,cubic meter,mapped_exchange,473,0.813542856
Manchette equipee,"market for electricity, low voltage",energy,"Manchette equipee -> market for electricity, low voltage",0.788287335,2.272132931,-1.483845596,8.778888256,kilowatt hour,mapped_exchange,480,0.788287335
Support manchette equipee,"market for electricity, low voltage",energy,"Support manchette equipee -> market for electricity, low voltage",0.542668074,0.397247085,0.145420989,6.043510001,kilowatt hour,mapped_exchange,473,0.542668074
Stowage assemblé avec porte,market for lubricating oil,maintenance_consumable,Stowage assemblé avec porte -> market for lubricating oil,0.417138776,3.16576234,-2.748623564,0.222246472,kilogram,mapped_exchange,240,0.417138776
Manchette acc mobile,"compressed air production, 1000 kPa gauge, <30kW, average generation",energy,"Manchette acc mobile -> compressed air production, 1000 kPa gauge, <30kW, average generation",0.405961472,2.497512982,-2.09155151,1.558489701,cubic meter,mapped_exchange,480,0.405961472
ENS Structure fauteuil,"market for transport, freight, aircraft, medium haul (virtual SDD)",transport,"ENS Structure fauteuil -> market for transport, freight, aircraft, medium haul (virtual SDD)",0.377886617,0.378886467,-0.00099985,0.462056668,ton kilometer,virtual_exchange_proxy,3,0.377886617
