activity_name,exchange_name,exchange_category,label,value,delta_kgco2e,abs_delta_amount,exchange_unit,mapping_status,row_count
Coussin Ottoman,SDD scrap replacement production calibrated by component intensity,scrap_rework,Coussin Ottoman -> SDD scrap replacement production calibrated by component intensity,99.946711856,99.946711856,7.944401125,kg replacement component output,virtual_exchange_proxy,6716
ecran seat,site electricity/gas capacity proxy,proxy_unmapped,ecran seat -> site electricity/gas capacity proxy,88.1518697,88.1518697,103.708082,kg output supported by capacity boost,proxy_unmapped,862
commande actionnement ECU,SDD scrap replacement production calibrated by component intensity,scrap_rework,commande actionnement ECU -> SDD scrap replacement production calibrated by component intensity,87.698107871,87.698107871,1.051413528,kg replacement component output,virtual_exchange_proxy,235
Accoudoir allee,"compressed air production, 1000 kPa gauge, <30kW, optimised generation",energy,"Accoudoir allee -> compressed air production, 1000 kPa gauge, <30kW, optimised generation",81.172497217,81.172497217,123.889711619,cubic meter,mapped_exchange,53107
systeme IFE boitier,SDD avoided virgin material credit calibrated by family profile,recycling_credit,systeme IFE boitier -> SDD avoided virgin material credit calibrated by family profile,-80.196492428,-80.196492428,2.811761718,kg scrap recovered,virtual_exchange_proxy,285
Ensemble palette optimisee,market for lubricating oil,maintenance_consumable,Ensemble palette optimisee -> market for lubricating oil,79.176387391,79.176387391,0.024240369,kilogram,mapped_exchange,7717
ecran seat,SDD avoided virgin material credit calibrated by family profile,recycling_credit,ecran seat -> SDD avoided virgin material credit calibrated by family profile,-75.725485005,-75.725485005,4.435084687,kg scrap recovered,virtual_exchange_proxy,873
Ceinture de securite,"market for electricity, low voltage",energy,"Ceinture de securite -> market for electricity, low voltage",74.699349615,74.699349615,65.890122814,kilowatt hour,mapped_exchange,8475
systeme IFE boitier,site electricity/gas capacity proxy,proxy_unmapped,systeme IFE boitier -> site electricity/gas capacity proxy,72.64638985,72.64638985,85.466341,kg output supported by capacity boost,proxy_unmapped,551
Ensemble stowage lateral,"market for electricity, low voltage",energy,"Ensemble stowage lateral -> market for electricity, low voltage",65.561879875,65.561879875,70.292971616,kilowatt hour,mapped_exchange,13439
Brackets set,site electricity/gas capacity proxy,proxy_unmapped,Brackets set -> site electricity/gas capacity proxy,61.6471136,61.6471136,72.526016,kg output supported by capacity boost,proxy_unmapped,223
