month_index,classical_kgCO2e,td_dlca_kgCO2e,sdd_kgCO2e,surimpact_total,backup_material,premium_transport,scrap_rework,capacity_energy,maintenance,backlog_penalty,backup_output_kg,premium_output_kg,oem_backlog_kg,max_path_backlog_kg,avg_oem_service_level,avg_path_disruption_index,affected_path_count
45,1296.747542,1318.953682,1843.654746,524.701064,442.573188,0.0,20.179821,44.11237,17.779638,0.056046,35.638792,0.0,0.0,0.0,1.0,0.7092,172
46,1296.747542,1318.457397,1810.787403,492.330006,413.79802,0.0,22.235463,40.396034,15.89521,0.00528,31.904972,0.0,0.0,0.0,1.0,0.6786,172
47,1296.747542,1314.617565,1545.014934,230.397369,163.401431,0.0,17.139104,36.242704,13.490644,0.123485,14.418001,0.0,0.0,0.0,1.0,0.5824,172
48,1296.747542,1317.40581,1531.54342,214.137611,143.489043,0.0,16.680582,39.812891,13.931443,0.223651,12.369072,0.0,3.978367,0.502812,0.9694,0.6351,172
49,1296.747542,1323.907322,1706.363358,382.456036,278.04342,0.0,19.282644,62.264935,22.836601,0.028437,19.255614,0.0,0.0,0.0,1.0,0.7959,172
50,1296.747542,1320.409572,1547.589528,227.179956,127.745118,0.0,13.911028,63.241273,22.274576,0.007961,10.491681,0.0,0.0,0.0,1.0,0.7128,172
51,1296.747542,1325.070814,1451.014155,125.943341,48.721395,0.0,10.570512,48.433835,18.157407,0.060192,5.09692,0.0,0.0,0.0,1.0,0.874,172
52,1296.747542,1314.063945,1400.264366,86.20042,28.245635,0.0,8.371268,36.460385,13.104997,0.018135,1.986382,0.0,0.0,0.0,1.0,0.5523,172
53,1296.747542,1315.667277,1400.493325,84.826048,25.495363,0.0,15.767831,31.249798,12.206861,0.106195,2.111236,0.0,0.0,0.0,1.0,0.5966,172
54,1296.747542,1315.430161,1495.654455,180.224295,107.690432,0.0,30.044705,30.409481,12.067301,0.012376,9.070168,0.0,0.0,0.0,1.0,0.5652,172
55,1296.747542,1319.094429,1554.192993,235.098564,151.901656,0.0,32.949163,35.211563,14.967251,0.068931,11.980854,0.0,0.0,0.0,1.0,0.6708,172
56,1296.747542,1315.652212,1687.562584,371.910372,319.42613,0.017111,10.822992,28.191152,13.440268,0.01272,26.63031,0.003604,0.0,0.0,1.0,0.5876,172
57,1296.747542,1323.247129,1810.071601,486.824471,402.632765,0.0,13.623281,51.372035,19.10202,0.094371,34.661273,0.0,1.669205,0.16079,0.9872,0.8046,172
58,1296.747542,1325.161997,1916.942132,591.780135,491.661885,0.0,19.353195,57.884222,22.879798,0.001036,40.118356,0.0,0.0,0.0,1.0,0.8532,172
59,1296.747542,1325.833599,1622.414376,296.580777,189.502403,0.0,16.452807,67.540965,23.007352,0.077251,15.078892,0.0,0.0,0.0,1.0,0.8972,172
60,1296.747542,1325.498371,1620.125084,294.626712,194.161031,0.0,20.867205,57.768177,21.793026,0.037273,15.794332,0.0,0.0,0.0,1.0,0.8877,172
61,1296.747542,1320.108493,1502.710588,182.602095,104.643344,0.0,19.397791,41.099279,17.423954,0.037727,10.717465,0.0,0.0,0.0,1.0,0.748,172
62,1296.747542,1318.187527,1536.477582,218.290056,136.927629,0.0,28.393717,37.155258,15.69176,0.121692,11.562914,0.0,0.0,0.0,1.0,0.6725,172
63,1296.747542,1318.032471,1492.982219,174.949748,99.329912,0.0,23.944127,37.4507,14.118874,0.106135,7.444495,0.0,0.0,0.0,1.0,0.647,172
64,1296.747542,1311.407513,1428.7746,117.367087,73.835808,0.0,10.448892,23.701749,9.368213,0.012424,6.267634,0.0,0.0,0.0,1.0,0.4582,172
65,1296.747542,1310.695157,1433.61967,122.924514,87.790641,0.0,8.671357,17.035384,9.272776,0.154356,6.644801,0.0,1.442439,0.141648,0.9889,0.4193,172
66,1296.747542,1319.544991,1503.871356,184.326365,110.188275,0.0,12.709764,43.228072,18.17486,0.025394,8.835679,0.0,0.0,0.0,1.0,0.6769,172
67,1296.747542,1319.441728,1459.652299,140.210571,27.813188,0.0,27.021408,63.245015,22.121515,0.009444,3.95197,0.0,0.0,0.0,1.0,0.7097,172
68,1296.747542,1323.492148,1655.218699,331.726551,237.979328,0.0,19.427342,53.892715,20.424326,0.00284,20.7286,0.0,0.0,0.0,1.0,0.8358,172
69,1296.747542,1317.695816,1757.044629,439.348813,343.546559,0.0,19.457138,57.251241,19.088868,0.005005,30.53234,0.0,0.0,0.0,1.0,0.6779,172
70,1296.747542,1318.43629,1823.700748,505.264458,419.694098,0.0,20.911356,47.261632,17.39686,0.000512,32.068565,0.0,0.0,0.0,1.0,0.675,172
71,1296.747542,1317.791969,1606.641805,288.849836,221.315405,0.0,15.004489,38.107784,14.307459,0.114698,18.423815,0.0,0.0,0.0,1.0,0.6615,172
72,1296.747542,1315.43971,1421.36798,105.928271,54.134044,0.0,7.772081,31.421547,12.395539,0.205059,4.510416,0.0,0.0,0.0,1.0,0.5751,172
73,1296.747542,1309.647616,1493.354778,183.707162,140.589559,0.0,14.671283,19.051284,9.220966,0.174069,10.629654,0.0,2.347527,0.343716,0.9819,0.4166,172
74,1296.747542,1316.061714,1504.083171,188.021457,111.220212,0.0,21.37873,39.966833,15.432896,0.022787,10.132397,0.0,0.0,0.0,1.0,0.579,172
75,1296.747542,1320.479732,1475.674327,155.194594,66.769002,0.0,18.837038,49.60613,19.79576,0.186665,7.265004,0.0,3.531882,0.346832,0.9728,0.7178,172
76,1296.747542,1322.904003,1688.811164,365.907161,263.563032,0.0,28.755761,52.890178,20.662612,0.035578,20.756021,0.0,0.0,0.0,1.0,0.8096,172
77,1296.747542,1320.338313,1426.185039,105.846727,34.954058,0.0,9.750625,43.960819,17.077781,0.103444,2.632496,0.0,0.0,0.0,1.0,0.7251,172
78,1296.747542,1313.970405,1510.167032,196.196626,118.680001,0.0,30.324883,33.349945,13.758689,0.083109,9.240644,0.0,0.0,0.0,1.0,0.5502,172
79,1296.747542,1317.142644,1485.620281,168.477636,49.517918,0.0,57.76509,44.938462,16.215344,0.040823,4.717789,0.0,0.0,0.0,1.0,0.6357,172
80,1296.747542,1317.281919,1537.278659,219.99674,131.859101,0.0,35.241914,37.750742,14.95867,0.186314,12.007535,0.0,0.0,0.0,1.0,0.6552,172
81,1296.747542,1315.38252,1859.196469,543.813949,467.95544,0.0,18.670242,41.602404,15.585284,0.000579,39.21779,0.0,0.0,0.0,1.0,0.6162,172
82,1296.747542,1317.619365,1623.55722,305.937856,222.786637,0.0,21.315394,47.208117,14.615762,0.011945,20.182791,0.0,0.0,0.0,1.0,0.6462,152
83,1296.747542,1322.430842,1670.415449,347.984607,244.328446,9.478554,20.358014,53.624234,19.987513,0.207846,20.053954,1.212034,3.913643,0.479317,0.9699,0.7651,172
84,1296.747542,1318.14747,1439.087553,120.940083,36.045576,0.0,6.303222,58.637507,19.926901,0.026878,3.227475,0.0,0.0,0.0,1.0,0.6452,172
85,1296.747542,1323.002228,1403.501443,80.499216,11.346344,0.0,6.258323,45.290317,17.541295,0.062937,1.221188,0.0,0.0,0.0,1.0,0.8103,172
86,1296.747542,1313.72065,1407.835177,94.114526,30.95228,0.0,11.414474,38.017941,13.718359,0.011472,2.582679,0.0,0.0,0.0,1.0,0.5464,172
87,1296.747542,1316.135664,1414.95532,98.819656,31.807052,0.0,17.848872,35.337486,13.669568,0.156679,2.258408,0.0,0.0,0.0,1.0,0.6067,172
88,1296.747542,1314.580913,1442.762268,128.181355,68.428116,0.0,19.48188,29.768293,10.492677,0.01039,6.1649,0.0,0.0,0.0,1.0,0.5591,172
89,1296.747542,1317.057428,1416.54009,99.482662,40.366692,1e-06,18.080331,29.440114,11.482309,0.113215,4.254947,0.0,0.0,0.0,1.0,0.6377,172
90,1296.747542,1313.150414,1462.821624,149.67121,97.528843,0.0,18.832283,23.51354,9.688459,0.108084,8.974493,0.0,1.975232,0.193969,0.9848,0.5154,172
91,1296.747542,1318.241377,1531.740142,213.498766,114.719611,0.0,36.973133,44.682822,17.088716,0.034483,9.641156,0.0,0.0,0.0,1.0,0.6536,172
92,1296.747542,1322.733868,1600.618295,277.884427,178.401646,0.0,22.934777,55.096687,21.404921,0.046395,17.230065,0.0,0.0,0.0,1.0,0.7878,172
93,1296.747542,1323.480114,1729.438344,405.95823,296.506943,0.0,17.50299,68.941133,22.973609,0.033555,25.863998,0.0,0.0,0.0,1.0,0.8383,172
94,1296.747542,1321.080153,1737.03537,415.955217,316.355623,0.0,20.700215,58.461756,20.41614,0.021483,24.974128,0.0,0.0,0.0,1.0,0.7548,172
95,1296.747542,1317.730155,1665.022811,347.292655,275.966448,0.0,14.57096,40.802283,15.816882,0.136082,20.753199,0.0,0.0,0.0,1.0,0.6611,172
96,1296.747542,1318.779248,1470.628882,151.849634,91.078197,0.0,10.762214,36.677794,13.117311,0.214118,6.668254,0.0,0.0,0.0,1.0,0.6847,172
97,1296.747542,1318.757715,1567.685411,248.927697,173.939853,0.0,19.412829,39.204463,16.209101,0.16145,13.056257,0.0,0.0,0.0,1.0,0.6853,172
98,1296.747542,1311.984993,1434.373943,122.38895,59.217664,0.0,10.189111,38.701133,14.252275,0.028768,4.869442,0.0,0.0,0.0,1.0,0.4723,172
99,1296.747542,1313.300882,1386.047087,72.746205,19.814039,0.0,8.973072,31.993268,11.834627,0.1312,2.446535,0.0,2.351621,0.23093,0.9819,0.4933,172
100,1296.747542,1318.721969,1415.843352,97.121383,33.411661,0.0,7.999994,40.654784,14.999579,0.055366,2.874929,0.0,0.0,0.0,1.0,0.6384,156
101,1296.747542,1316.769631,1420.585167,103.815536,30.545013,0.0,7.570596,47.415717,18.273102,0.011108,3.067966,0.0,0.0,0.0,1.0,0.6028,172
102,1296.747542,1323.035676,1438.642502,115.606826,35.985871,0.000404,14.736069,46.892711,17.95342,0.038352,4.117463,5.2e-05,0.0,0.0,1.0,0.8131,172
103,1296.747542,1318.441636,1524.098132,205.656496,85.406926,0.0,55.012593,47.835824,17.3984,0.002753,9.460711,0.0,0.0,0.0,1.0,0.6733,172
104,1296.747542,1319.166725,1551.354417,232.187692,148.776509,0.0,24.40722,42.77011,16.15646,0.077393,14.228644,0.0,0.0,0.0,1.0,0.7181,172
105,1296.747542,1317.60593,1880.887658,563.281728,483.664669,0.0,24.467324,38.654703,16.490907,0.004126,37.261823,0.0,0.0,0.0,1.0,0.6727,172
106,1296.747542,1317.181129,1816.54513,499.364,421.388655,0.0,20.546633,41.423818,15.990603,0.014291,33.768863,0.0,0.0,0.0,1.0,0.6384,172
107,1296.747542,1313.255095,1672.175213,358.920118,307.484594,0.0,15.130942,24.8921,11.253357,0.159125,24.555583,0.0,1.897263,0.186312,0.9854,0.5199,172
108,1296.747542,1319.225705,1593.670818,274.445113,208.983482,0.0,6.629594,43.177856,15.613112,0.041069,16.811848,0.0,0.0,0.0,1.0,0.659,172
109,1296.747542,1324.536124,1713.45525,388.919126,298.326527,0.0,7.560084,60.319888,22.688996,0.023632,22.128939,0.0,0.0,0.0,1.0,0.8263,172
110,1296.747542,1326.776129,1636.156126,309.379997,206.091916,0.0,17.746569,62.759338,22.768073,0.014102,17.448329,0.0,0.0,0.0,1.0,0.9275,172
111,1296.747542,1322.474859,1587.897926,265.423068,161.648638,0.0,28.443922,54.828963,20.460412,0.041132,12.505922,0.0,0.0,0.0,1.0,0.7973,172
112,1296.747542,1314.427582,1395.620133,81.19255,22.198566,0.0,10.874834,35.254963,12.810845,0.053341,1.635233,0.0,0.0,0.0,1.0,0.5578,172
113,1296.747542,1315.409232,1400.767546,85.358313,41.657288,0.0,8.865481,24.796126,10.000857,0.038562,4.107915,0.0,0.0,0.0,1.0,0.588,172
114,1296.747542,1317.095897,1444.671354,127.575457,54.599782,1.718462,26.738723,32.735144,11.783219,0.000128,5.010777,0.281811,0.0,0.0,1.0,0.6299,172
115,1296.747542,1315.611844,1469.386905,153.775062,55.891889,0.0,50.522871,35.066034,12.276335,0.017932,6.389165,0.0,0.0,0.0,1.0,0.5729,172
116,1296.747542,1318.578272,1607.707911,289.129639,210.988261,0.0,36.420987,28.981093,12.732295,0.007004,19.277316,0.0,0.0,0.0,1.0,0.6446,156
117,1296.747542,1324.215774,1675.146421,350.930647,257.834504,0.0,18.985084,53.97772,20.118978,0.014361,23.74687,0.0,0.0,0.0,1.0,0.8246,157
118,1296.747542,1322.408569,1787.048407,464.639839,353.744627,0.0,20.186801,66.995888,23.70904,0.003483,28.948068,0.0,0.0,0.0,1.0,0.7815,172
119,1296.747542,1325.204515,1704.170754,378.966239,290.019456,0.0,12.336345,55.577492,21.002621,0.030325,23.011047,0.0,0.0,0.0,1.0,0.8759,172
120,1296.747542,1316.283747,1516.923342,200.639594,131.123364,0.0,4.815609,48.556128,16.088761,0.055732,9.874656,0.0,0.0,0.0,1.0,0.6215,172
121,1296.747542,1317.413385,1443.840566,126.427181,69.688987,0.0,8.846291,34.462704,13.397315,0.031884,6.496326,0.0,0.0,0.0,1.0,0.6526,172
122,1296.747542,1314.356476,1439.752727,125.396251,51.008433,0.0,27.820244,34.592803,11.966356,0.008415,4.932667,0.0,0.0,0.0,1.0,0.5555,172
123,1296.747542,1315.785826,1409.063374,93.277548,34.563771,0.0,13.897206,32.621629,12.134074,0.060868,4.686223,0.0,0.0,0.0,1.0,0.611,172
124,1296.747542,1313.220224,1467.494783,154.27456,99.869709,0.0,20.541439,24.289128,9.454377,0.119905,9.010644,0.0,1.598379,0.156962,0.9877,0.5205,172
125,1296.747542,1318.223904,1523.969995,205.74609,134.166825,0.0,16.803854,38.568933,16.191317,0.015161,10.952425,0.0,0.0,0.0,1.0,0.6385,172
126,1296.747542,1319.245697,1537.971835,218.726139,140.084493,0.0,19.678588,40.921141,18.011196,0.030721,11.811829,0.0,0.0,0.0,1.0,0.6628,172
127,1296.747542,1321.983914,1499.368384,177.38447,62.470714,0.0,37.728977,56.63042,20.526101,0.028259,6.076375,0.0,0.0,0.0,1.0,0.7776,172
128,1296.747542,1321.242009,1487.65034,166.40833,81.041156,0.0,17.261017,49.90234,18.20104,0.002777,7.60939,0.0,0.0,0.0,1.0,0.7654,172
129,1296.747542,1316.80202,1608.608861,291.806841,211.113995,0.0,22.110084,42.531802,15.900103,0.150857,18.22978,0.0,0.0,0.0,1.0,0.6338,172
130,1296.747542,1318.180822,1916.013452,597.83263,521.357512,0.0,22.088921,38.19281,16.180921,0.012465,39.963518,0.0,0.0,0.0,1.0,0.6776,172
131,1296.747542,1318.483196,1722.630899,404.147703,330.774995,0.18541,19.688504,37.526735,15.934144,0.037915,27.40729,0.03944,0.0,0.0,1.0,0.6764,172
132,1296.747542,1313.385995,1445.197556,131.811561,83.305338,0.0,8.910443,28.002193,11.381994,0.211594,5.839524,0.0,0.0,0.0,1.0,0.5155,172
133,1296.747542,1312.146701,1388.248103,76.101402,34.599854,0.0,3.395014,28.036365,9.982491,0.087677,2.899439,0.0,0.337869,0.033179,0.9974,0.4815,172
134,1296.747542,1319.075879,1422.907877,103.831998,43.035514,0.0,6.115993,39.588409,15.071442,0.02064,3.596674,0.0,0.0,0.0,1.0,0.6522,172
135,1296.747542,1316.951935,1427.537114,110.585179,28.68131,0.0,11.750025,50.857235,19.270368,0.026241,3.639165,0.0,0.0,0.0,1.0,0.6106,172
136,1296.747542,1322.810327,1438.785976,115.975649,22.526882,0.0,26.933493,48.91794,17.570845,0.026489,3.059289,0.0,0.0,0.0,1.0,0.8054,172
137,1296.747542,1313.282072,1408.01361,94.731539,39.333817,0.0,9.743014,32.979507,12.652351,0.022849,4.213098,0.0,0.0,0.0,1.0,0.553,172
138,1296.747542,1324.565125,1528.229151,203.664026,83.697871,0.001914,56.611063,46.276716,17.036264,0.040198,6.620246,0.000246,0.0,0.0,1.0,0.8291,172
139,1296.747542,1324.709334,1579.592277,254.882943,101.472244,0.0,78.558613,55.672527,19.176663,0.002895,9.739514,0.0,0.0,0.0,1.0,0.8604,172
140,1296.747542,1319.16119,1528.386519,209.225329,112.847047,0.0,39.328923,42.183622,14.847755,0.017982,11.383739,0.0,0.0,0.0,1.0,0.7089,172
141,1296.747542,1315.638858,1591.801482,276.162624,215.544026,0.679968,23.64305,25.733241,10.390536,0.171804,18.32589,0.098295,1.41645,0.139096,0.9891,0.5936,172
142,1296.747542,1321.400131,1667.71815,346.318019,258.339674,0.0,20.485854,49.889648,17.578593,0.02425,22.173655,0.0,0.0,0.0,1.0,0.7403,154
143,1296.747542,1323.516863,1649.017278,325.500415,236.407914,0.0,12.313503,55.455714,21.299218,0.024065,19.087563,0.0,0.0,0.0,1.0,0.7937,172
144,1296.747542,1322.189931,1513.508861,191.318931,108.201361,0.0,7.65405,55.654362,19.792818,0.01634,9.221445,0.0,0.0,0.0,1.0,0.7894,172
145,1296.747542,1320.604511,1475.598925,154.994413,75.061669,0.0,16.303632,45.732359,17.827746,0.069007,6.271816,0.0,0.0,0.0,1.0,0.7406,172
146,1296.747542,1316.64267,1451.798602,135.155932,73.654592,0.0,12.777281,35.095235,13.583355,0.045468,5.792114,0.0,0.0,0.0,1.0,0.6168,172
147,1296.747542,1315.626177,1412.949887,97.32371,45.075945,0.0,9.807893,30.210618,12.118852,0.110401,3.809431,0.0,0.0,0.0,1.0,0.5926,172
148,1296.747542,1316.075249,1403.971693,87.896443,36.556287,0.0,10.461026,30.217871,10.650528,0.010732,2.749389,0.0,0.0,0.0,1.0,0.596,172
149,1296.747542,1309.667407,1439.210448,129.543041,81.445116,0.0,20.903125,18.732629,8.434929,0.027243,6.347114,0.0,0.0,0.0,1.0,0.4119,172
150,1296.747542,1313.807438,1504.407572,190.600133,106.944089,0.0,37.236984,32.72145,13.624915,0.072696,9.274358,0.0,0.0,0.0,1.0,0.5134,172
151,1296.747542,1322.179728,1571.658206,249.478477,83.200157,0.0,73.579673,68.318113,24.376534,0.004,10.099955,0.0,0.0,0.0,1.0,0.7856,172
152,1296.747542,1320.027051,1540.687903,220.660852,108.641096,0.0,30.073668,60.107448,21.831503,0.007137,10.903131,0.0,0.0,0.0,1.0,0.7315,172
153,1296.747542,1323.954081,1599.954592,276.000512,183.562899,0.0,20.880651,52.022564,19.502742,0.031655,15.787489,0.0,0.0,0.0,1.0,0.8416,172
154,1296.747542,1315.678443,1601.060914,285.382471,209.099149,0.0,19.496606,40.807656,15.794746,0.184314,16.600707,0.0,0.0,0.0,1.0,0.6024,172
155,1296.747542,1318.51099,1771.008704,452.497714,392.310139,0.0,10.954583,34.305871,14.884725,0.042396,29.767955,0.0,0.0,0.0,1.0,0.6734,172
156,1296.747542,1314.705876,1410.783157,96.077281,49.203516,0.0,7.22714,27.845698,11.525025,0.275902,4.229002,0.0,0.0,0.0,1.0,0.5633,172
157,1296.747542,1314.765032,1638.225929,323.460897,266.541152,0.0,10.970758,31.444977,14.407258,0.096751,20.048895,0.0,0.0,0.0,1.0,0.5616,172
158,1296.747542,1317.018746,1455.694202,138.675456,72.157234,0.0,15.860567,36.709712,13.868785,0.079158,7.247569,0.0,1.23452,0.12123,0.9905,0.6124,172
159,1296.747542,1319.696387,1599.733296,280.036909,179.864271,0.0,30.714618,50.451786,18.9711,0.035134,15.634853,0.0,0.0,0.0,1.0,0.6974,172
160,1296.747542,1319.412649,1497.455346,178.042697,97.177529,0.0,13.14119,48.334282,19.342498,0.047198,7.526479,0.0,0.0,0.0,1.0,0.668,172
161,1296.747542,1322.084235,1481.260737,159.176502,83.224499,0.0,12.585654,45.212607,18.08566,0.068081,6.305787,0.0,0.0,0.0,1.0,0.7818,172
162,1296.747542,1319.293963,1428.487966,109.194003,21.716409,0.002436,21.788528,48.351751,17.279671,0.055208,2.973993,0.000311,0.0,0.0,1.0,0.7072,172
163,1296.747542,1320.109776,1480.515727,160.405952,65.21547,0.0,34.498196,44.9125,15.709465,0.070321,6.864474,0.0,0.0,0.0,1.0,0.736,172
164,1296.747542,1321.063881,1569.810672,248.746791,152.106294,0.0,36.605239,43.928769,16.09878,0.007709,13.723868,0.0,0.0,0.0,1.0,0.7754,172
165,1296.747542,1320.576848,1584.643061,264.066213,184.521068,0.0,22.222346,42.201952,15.100532,0.020314,16.199776,0.0,0.0,0.0,1.0,0.7547,172
166,1296.747542,1315.34611,1613.900007,298.553897,236.427045,0.347743,21.420381,27.743922,12.381716,0.23309,19.634398,0.0609,0.0,0.0,1.0,0.5884,172
