flow_uid,edge,from_site_uid,to_site_uid,from_name,to_name,from_country_code,to_country_code,from_region,to_region,route_region,distance_km,allocated_mass_kg,allocated_kg_km,month_index,climate_progress,warming_delta_c,maritime_hazard_intensification_factor,maritime_storm_factor,maritime_hurricane_factor,maritime_cold_factor,maritime_storm,maritime_hurricane,maritime_cold,maritime_monsoon,maritime_risk_index,delay_multiplier,capacity_multiplier
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,34,0.138075,0.3038,1.0321,1.0359,1.0462,1.0103,0.09,0.1384,0.0,0.0,0.1384,1.1013,0.9578
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,35,0.142259,0.313,1.0332,1.0372,1.0478,1.0106,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,36,0.146444,0.3222,1.0343,1.0384,1.0494,1.011,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,37,0.150628,0.3314,1.0354,1.0397,1.051,1.0113,0.0359,0.0,0.1281,0.0,0.1281,1.0382,0.9851
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,38,0.154812,0.3406,1.0366,1.041,1.0527,1.0117,0.1152,0.0,0.4115,0.0,0.4115,1.1228,0.9521
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,39,0.158996,0.3498,1.0377,1.0422,1.0543,1.0121,0.0706,0.0,0.252,0.0,0.252,1.0752,0.9707
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,40,0.16318,0.359,1.0389,1.0435,1.0559,1.0124,0.6257,0.0,0.0,0.0,0.6257,1.1752,0.9187
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,41,0.167364,0.3682,1.04,1.0448,1.0576,1.0128,0.8347,0.0,0.0,0.0,0.8347,1.2337,0.8915
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,42,0.171548,0.3774,1.0412,1.0461,1.0593,1.0132,0.3676,0.0,0.0,0.0,0.3676,1.1029,0.9522
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,43,0.175732,0.3866,1.0423,1.0474,1.0609,1.0135,0.0573,0.0881,0.0,0.0,0.0881,1.0645,0.9732
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,44,0.179916,0.3958,1.0435,1.0487,1.0626,1.0139,0.1564,0.2406,0.0,0.0,0.2406,1.1761,0.9267
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,45,0.1841,0.405,1.0446,1.05,1.0643,1.0143,0.2247,0.3457,0.0,0.0,0.3457,1.253,0.8947
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,46,0.188285,0.4142,1.0458,1.0513,1.066,1.0147,0.119,0.183,0.0,0.0,0.183,1.134,0.9443
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,47,0.192469,0.4234,1.047,1.0526,1.0676,1.015,0.027,0.0207,0.0483,0.0,0.0483,1.0296,0.9881
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,48,0.196653,0.4326,1.0482,1.0539,1.0693,1.0154,0.4167,0.0,0.4189,0.0,0.4189,1.2089,0.9123
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,49,0.200837,0.4418,1.0493,1.0553,1.071,1.0158,1.0,0.0,0.7568,0.0,1.0,1.4465,0.8095
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,50,0.205021,0.451,1.0505,1.0566,1.0727,1.0162,0.7705,0.0,0.3203,0.0,0.7705,1.2862,0.8742
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,51,0.209205,0.4603,1.0517,1.0579,1.0745,1.0165,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,52,0.213389,0.4695,1.0529,1.0592,1.0762,1.0169,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,53,0.217573,0.4787,1.0541,1.0606,1.0779,1.0173,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,54,0.221757,0.4879,1.0553,1.0619,1.0796,1.0177,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,55,0.225941,0.4971,1.0565,1.0633,1.0813,1.0181,0.0365,0.0561,0.0,0.0,0.0561,1.0411,0.9829
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,56,0.230126,0.5063,1.0577,1.0646,1.0831,1.0185,0.1424,0.219,0.0,0.0,0.219,1.1603,0.9333
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,57,0.23431,0.5155,1.0589,1.066,1.0848,1.0188,0.8825,0.3588,0.0,0.0,0.8825,1.4444,0.8063
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,58,0.238494,0.5247,1.0601,1.0673,1.0866,1.0192,0.9937,0.2214,0.0,0.0,0.9937,1.4,0.8221
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,59,0.242678,0.5339,1.0613,1.0687,1.0883,1.0196,0.47,0.0584,0.2525,0.0,0.47,1.2192,0.9059
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,60,0.246862,0.5431,1.0625,1.07,1.0901,1.02,0.0877,0.0,0.3133,0.0,0.3133,1.0935,0.9635
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,61,0.251046,0.5523,1.0638,1.0714,1.0918,1.0204,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,62,0.25523,0.5615,1.065,1.0728,1.0936,1.0208,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,63,0.259414,0.5707,1.0662,1.0742,1.0953,1.0212,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,64,0.263598,0.5799,1.0674,1.0755,1.0971,1.0216,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,65,0.267782,0.5891,1.0687,1.0769,1.0989,1.022,0.3209,0.0,0.0,0.0,0.3209,1.0898,0.9583
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,66,0.271967,0.5983,1.0699,1.0783,1.1007,1.0224,0.8488,0.0,0.0,0.0,0.8488,1.2377,0.8897
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,67,0.276151,0.6075,1.0711,1.0797,1.1025,1.0228,0.6989,0.0192,0.0,0.0,0.6989,1.2063,0.9049
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,68,0.280335,0.6167,1.0724,1.0811,1.1042,1.0232,0.1219,0.1875,0.0,0.0,0.1875,1.1372,0.9429
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,69,0.284519,0.6259,1.0736,1.0825,1.106,1.0236,0.233,0.3585,0.0,0.0,0.3585,1.2624,0.8908
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,70,0.288703,0.6351,1.0749,1.0839,1.1078,1.024,0.1638,0.252,0.0,0.0,0.252,1.1845,0.9233
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,71,0.292887,0.6444,1.0761,1.0853,1.1096,1.0244,0.061,0.0939,0.0,0.0,0.0939,1.0687,0.9714
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,72,0.297071,0.6536,1.0774,1.0867,1.1114,1.0248,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3cc6b4e202e68bad,T4->T3,"alcoa@@alcoa@40.4406,-79.9959","amag_austria_metall@@amag_austria_metall@48.2267,13.0357",Alcoa,AMAG Austria Metall,US,AT,North America,Europe,North Atlantic,7635.5,58.921985,449899.0,73,0.301255,0.6628,1.0786,1.0881,1.1132,1.0252,0.0,0.0,0.0,0.0,0.0,1.0,1.0
