record_index,system,component,family,mass_kg,source_mass_kg,mass_policy,lca_use_class,lca_confidence,readiness,issue_codes,total_route_km,kg_km,modes,t4,t3,t2,t1,oem
123,Ens. Structure fixe,Alu,aluminium,3.541012,3.5410117,include_with_review,usable_with_review,medium,primary_complete_needs_validation,baseline_node_is_assumption;lca_mass_requires_review;material_certificate_required,7801.1,27623.8,internal|ship|truck,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
72,Ens. Structure fauteuil,acier,steel,1.687,1.687,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,26366.0,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
66,Accoudoir allée,Alu,aluminium,3.043507,3.0435071,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,7801.1,23742.7,internal|ship|truck,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
133,Ens.coussin dossier version têtière,tissu,textile_leather,0.748,0.748,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption,31002.8,23190.1,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin,Safran Seats / Safran internal group
8,Padding (rembourrage),AIRVOLT LAMINAT,general,0.95,0.95,include_exact_component,quantitative_ready,high,primary_ready_topology,,24376.3,23157.5,ship|truck,Klabin S.A.,Kronotex GmbH & Co,Glatfelter,Celso SAS,Safran Seats / Safran internal group
134,Ens. Coussin dossier,tissu,textile_leather,0.743,0.743,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption,31002.8,23035.1,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin,Safran Seats / Safran internal group
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,2.457,2.457,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,22700.5,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
122,Ens. Structure fixe,acier,steel,1.432647,1.4326471,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,22390.7,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
10,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,electronics_cots,1.5,1.5,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,14512.2,21768.3,internal|ship|truck,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,3M,Thales,Safran Seats / Safran internal group
17,Accoudoir allée,A2017 - Aluminium,aluminium,2.43,2.43,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8594.1,20883.7,internal|ship|truck,Alcoa,AMAG Austria Metall,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
46,Support clamps,acier,steel,1.284,1.284,include_baseline_estimate,usable_for_baseline,medium_high,primary_ready_topology,,15628.9,20067.5,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
21,Ens. Tablette repas,A2017 - Aluminium,aluminium,2.125,2.125,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8639.0,18357.9,internal|ship|truck,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin,Safran Seats / Safran internal group
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,1.928,1.928,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,17813.0,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
56,Ens. Tablette cocktail,acier,steel,1.133,1.133,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,17707.5,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
106,Ensemble porte,kydex,polymer_plastic,1.384,1.384,include_exact_component,quantitative_ready,high,primary_ready_topology,,12513.7,17319.0,rail|ship|truck,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE,Safran Seats / Safran internal group
105,Ens. Stowage latéral,kydex,polymer_plastic,1.161,1.161,include_exact_component,quantitative_ready,high,primary_ready_topology,,12513.7,14528.4,rail|ship|truck,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE,Safran Seats / Safran internal group
132,Ens. Coussin assise,tissu,textile_leather,0.42,0.42,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption,31002.8,13021.2,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin,Safran Seats / Safran internal group
24,Support écran,A2017 - Aluminium,aluminium,1.45,1.45,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8639.0,12526.5,internal|ship|truck,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin,Safran Seats / Safran internal group
45,Ceinture de sécurité,acier,steel,0.72,0.72,include_baseline_estimate,usable_for_baseline,medium_high,primary_ready_topology,,15628.9,11252.8,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
47,Accoudoir allée,acier,steel,0.709677,0.7096766,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,11091.5,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
27,Ens. Tablette repas,A2024 - Aluminium,aluminium,1.259,1.259,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8639.0,10876.5,internal|ship|truck,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin,Safran Seats / Safran internal group
11,Coussin ottoman,tissu,textile_leather,0.339,0.339,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption,31002.8,10509.9,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin,Safran Seats / Safran internal group
128,Ens. Coque,Résine BR623 - composite,adhesive_composite,0.488,0.488,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19594.9,9562.3,ship|truck,BASF,Henkel,Ensinger,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,1.03,1.03,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,9516.3,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
52,Ens. Palette optimisée,acier,steel,0.58,0.58,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,9064.8,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
107,Ens. Tablette cocktail,kydex,polymer_plastic,0.715,0.715,include_baseline_estimate,usable_for_baseline,medium_high,primary_ready_topology,,12513.7,8947.3,rail|ship|truck,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE,Safran Seats / Safran internal group
37,Renfort tubulaire,A5086 - Aluminium,aluminium,0.931,0.931,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,8601.6,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
78,Ecran - Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,1.928,1.928,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,3098.0,5972.9,internal|rail|truck,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,Krohne,Thales,Safran Seats / Safran internal group
131,Coussin têtière,tissu,textile_leather,0.191,0.191,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption,31002.8,5921.5,ship|truck,DuPont de Nemours - fiber/polymer source assumption,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,ETS Gattefin,Safran Seats / Safran internal group
7,lightning,lightning,electronics_cots,0.8,0.8,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,6318.2,5054.6,internal|ship|truck,COTS electronics component market basket,COTS electronics PCB/subassembly package,e2ip technologies,Thales,Safran Seats / Safran internal group
4,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,adhesive_composite,0.392,0.392,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,12691.8,4975.2,ship|truck,BASF,EPODEX,Sika,MGA Villeneuve St Lot,Safran Seats / Safran internal group
111,Ceinture de sécurité,nylon,textile_leather,0.18,0.18,include_baseline_estimate,usable_for_baseline,medium_high,primary_ready_topology,,27592.4,4966.6,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
40,Support écran,A5086 - Aluminium,aluminium,0.506,0.506,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,4675.0,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
126,Powerbox,powerbox,electronics_cots,1.5,1.5,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,3098.0,4647.0,internal|rail|truck,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,Krohne,Thales,Safran Seats / Safran internal group
69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,0.458,0.458,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,4231.5,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
22,Ens. Têtière,A2017 - Aluminium,aluminium,0.4425,0.4425,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8639.0,3822.8,internal|ship|truck,Alcoa,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,ETS Gattefin,Safran Seats / Safran internal group
44,Renfort tubulaire,A6060 - Aluminium,aluminium,0.404,0.404,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9440.3,3813.9,internal|ship|truck,Alcoa,AMAG Austria Metall,Groupe Segnere / SEGNERE Ade - internal machining/forming process,Groupe Segnere / SEGNERE Ade,Safran Seats / Safran internal group
97,Ens. Structure fauteuil,GLO: moulage par injection plastique,polymer_plastic,0.081,0.081,include_baseline_estimate,usable_for_baseline,medium_high,primary_ready_topology,,37368.9,3026.9,ship|truck,BASF,Toray Industries,Ensinger,Senior Aerospace Thailand,Safran Seats / Safran internal group
29,Accoudoir allée,A5086 - Aluminium,aluminium,0.316,0.316,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,2919.6,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
109,Stowage assemblé avec porte,kydex,polymer_plastic,0.226,0.226,include_exact_component,quantitative_ready,high,primary_ready_topology,,12513.7,2828.1,rail|ship|truck,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE,Safran Seats / Safran internal group
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,0.151,0.151,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,18063.3,2727.6,internal|ship|truck,SABIC,SABIC LEXAN FST sheet production,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,JAMCO Aircraft Interiors - Niigata,Safran Seats / Safran internal group
90,Ens. Coussin dossier,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.091,1.091,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,2246.8,2451.3,internal|rail|truck,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN,Safran Seats / Safran internal group
73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,0.2,0.2,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,12051.2,2410.2,internal|ship|truck,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,e2ip technologies,Thales,Safran Seats / Safran internal group
86,Coussin ottoman,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,1.005,1.005,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,2246.8,2258.0,internal|rail|truck,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN,Safran Seats / Safran internal group
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,0.216,0.216,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,1995.6,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
88,Ens. Coussin assise,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.871,0.871,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,2246.8,1957.0,internal|rail|truck,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN,Safran Seats / Safran internal group
89,Ens.coussin dossier version têtière,FRMC55 (C55 = % de carbone) et FMR = ?,textile_leather,0.854,0.854,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,2246.8,1918.8,internal|rail|truck,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,FRANKLIN,Safran Seats / Safran internal group
57,Ens. Tablette repas,acier,steel,0.1165,0.1165,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,1820.8,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
36,Manchette équipée,A5086 - Aluminium,aluminium,0.17,0.17,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,1570.6,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
15,Ens. Equipements latéraux,acier,steel,0.099645,0.0996449,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,1557.3,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
25,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,0.18,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8594.1,1546.9,internal|ship|truck,Alcoa,AMAG Austria Metall,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
167,Accoudoir allée,A2024 - Aluminium,aluminium,0.18,0.18,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,8594.1,1546.9,internal|ship|truck,Alcoa,AMAG Austria Metall,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
61,Stowage assemblé avec porte,acier,steel,0.094358,0.0943581,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,1474.7,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
153,Support écran Screen Display (COTS),"Display, liquid crystal, 17 pouces",electronics_cots,0.45,0.45,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,3098.0,1394.1,internal|rail|truck,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,Krohne,Thales,Safran Seats / Safran internal group
42,Support manchette équipée,A5086 - Aluminium,aluminium,0.117,0.117,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,1081.0,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
62,Structure ottoman horizontale,acier,steel,0.066644,0.0666443,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,1041.6,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,0.105,0.105,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,970.1,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
18,Ens. Stowage latéral,A2017 - Aluminium,aluminium,0.103381,0.1033805,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9170.1,948.0,internal|ship|truck,Alcoa,AMAG Austria Metall,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,Safran Seats / Safran internal group
41,Support équipé,A5086 - Aluminium,aluminium,0.099,0.099,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9239.1,914.7,internal|ship|truck,Alcoa,AMAG Austria Metall,ESPACE - internal machining/forming process,ESPACE,Safran Seats / Safran internal group
63,Support écran,acier,steel,0.05736,0.05736,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,896.5,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
81,Ens. Structure fauteuil,inox,steel,0.045,0.045,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,884.2,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
103,Capot NFC,kydex,polymer_plastic,0.069,0.069,include_exact_component,quantitative_ready,high,primary_ready_topology,,12513.7,863.4,rail|ship|truck,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE,Safran Seats / Safran internal group
70,Manchette acc. Mobile,Alu,aluminium,0.106,0.106,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,7801.1,826.9,internal|ship|truck,Aluminium Corporation of China / Chalco,Euralliage Ile de France,SUMPAR - internal machining/forming process,SUMPAR,Safran Seats / Safran internal group
26,Ens. Tablette cocktail,A2024 - Aluminium,aluminium,0.084,0.084,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,9170.1,770.3,internal|ship|truck,Alcoa,AMAG Austria Metall,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,Safran Seats / Safran internal group
130,Remote extender unit,télécommande,general,0.07,0.07,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;site_is_fallback_or_centroid,10849.8,759.5,internal|ship|truck,Mitsubishi Chemical,COTS electronics PCB/subassembly package,Ensinger,Thales,Safran Seats / Safran internal group
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,0.039,include_exact_component,quantitative_ready,high,primary_ready_topology,,18969.3,739.8,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",MGR Foamtex Ltd,ACH,Safran Seats / Safran internal group
152,Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL,textile_leather,0.039,0.039,include_exact_component,quantitative_ready,high,primary_ready_topology,,18969.3,739.8,ship|truck,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",MGR Foamtex Ltd,ACH,Safran Seats / Safran internal group
108,Ens. Tablette repas,kydex,polymer_plastic,0.059,0.059,include_exact_component,quantitative_ready,high,primary_ready_topology,,12513.7,738.3,rail|ship|truck,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE,Safran Seats / Safran internal group
53,Ensemble porte,acier,steel,0.043076,0.0430761,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,673.2,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
138,Ens. Structure fixe,inox,steel,0.027,0.027,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,530.5,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
151,Ens. Structure porte,Z10CNT18,steel,0.047835,0.0478353,include_baseline_estimate,usable_for_baseline,medium_high,primary_complete_needs_validation,baseline_node_is_assumption;material_certificate_required,10206.3,488.2,internal|ship|truck,China Baowu / Baosteel,Krupp,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,Safran Seats / Safran internal group
95,Ens. Palette optimisée,inox,steel,0.023743,0.023743,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,466.5,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
104,Coussin ottoman,kydex,polymer_plastic,0.037,0.037,include_exact_component,quantitative_ready,high,primary_ready_topology,,12513.7,463.0,rail|ship|truck,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,Ensinger,ESPACE,Safran Seats / Safran internal group
113,Ens. Stowage latéral,nylon,textile_leather,0.016417,0.016416667,include_baseline_estimate,usable_for_baseline,medium_high,primary_ready_topology,,27592.4,453.0,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,0.75,0.75,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption;raw_material_source_missing,601.7,451.3,internal|truck,Liebherr Aerospace - COTS electronics component market basket,Liebherr Aerospace - COTS electronics subassembly/PCB package,Liebherr Aerospace - electronics routing/EMS package,Liebherr Aerospace,Safran Seats / Safran internal group
58,Habillage sous fauteuil,acier,steel,0.027092,0.0270916,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,423.4,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
139,Ens. Structure fixe,nylon,textile_leather,0.014542,0.0145416,include_exact_component,quantitative_ready,high,primary_ready_topology,,27592.4,401.2,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,AmSafe,Safran Seats / Safran internal group
84,Stowage assemblé avec porte,Ertalon,polymer_plastic,0.02,0.02,include_exact_component,quantitative_ready,high,primary_ready_topology,,19463.7,389.3,ship|truck,Mitsubishi Chemical,Toray Industries,Ensinger,SUMPAR,Safran Seats / Safran internal group
48,Bumper version porte,acier,steel,0.024,0.024,include_exact_component,quantitative_ready,high,primary_ready_topology,,15628.9,375.1,ship|truck,Saarstahl,Aubert & Duval,SCHROTH Safety Products,ESPACE,Safran Seats / Safran internal group
94,Accoudoir allée,inox,steel,0.018054,0.018054,include_exact_component,quantitative_ready,high,primary_complete_needs_validation,baseline_node_is_assumption,19649.7,354.8,internal|ship|truck,Saarstahl,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,Safran Seats / Safran internal group
