policy_name,policy_label,same_week_service_pct,fill_rate_pct,final_backlog_units,peak_backlog_units,total_cost,classical_total_kgCO2e,time_dependent_dlca_total_kgCO2e,dynamic_total_kgCO2e,sddlca_total_kgCO2e,hidden_carbon_vs_td_dlca,hidden_carbon_vs_dynamic,hidden_carbon_vs_classical
rt52_rr22_fg16_bq10_air3_6_ca,RT52 RR22 FG16 BQ10 Air3/6 CA,85.97,90.45,64.38,79.72,75553.12,17715.16,17598.65,17598.65,21029.87,3431.22,3431.22,3314.71
rt52_rr22_fg16_bq10_air5_8_std,RT52 RR22 FG16 BQ10 Air5/8 STD,86.55,90.82,61.88,77.22,73960.21,17789.3,17686.21,17686.21,21162.32,3476.11,3476.11,3373.02
rt52_rr22_fg16_bq10_air5_8_ca,RT52 RR22 FG16 BQ10 Air5/8 CA,85.97,90.45,64.38,79.72,75553.12,17715.16,17598.65,17598.65,21029.87,3431.22,3431.22,3314.71
rt52_rr22_fg16_bq10_air8_12_std,RT52 RR22 FG16 BQ10 Air8/12 STD,86.57,90.99,60.73,76.07,73521.76,17817.87,17712.08,17712.08,21046.88,3334.79,3334.79,3229.0
rt52_rr22_fg16_bq10_air8_12_ca,RT52 RR22 FG16 BQ10 Air8/12 CA,86.0,90.46,64.29,79.64,75336.97,17714.08,17597.32,17597.32,20944.02,3346.69,3346.69,3229.94
rt52_rr22_fg16_bq12_air1_3_std,RT52 RR22 FG16 BQ12 Air1/3 STD,86.51,90.8,62.01,77.34,74233.2,17789.16,17685.64,17685.64,21263.08,3577.45,3577.45,3473.92
rt52_rr22_fg16_bq12_air1_3_ca,RT52 RR22 FG16 BQ12 Air1/3 CA,85.94,90.43,64.49,79.83,76072.45,17719.13,17603.22,17603.22,21239.7,3636.48,3636.48,3520.57
rt52_rr22_fg16_bq12_air3_6_std,RT52 RR22 FG16 BQ12 Air3/6 STD,86.55,90.82,61.88,77.22,73960.21,17789.3,17686.21,17686.21,21162.32,3476.11,3476.11,3373.02
rt52_rr22_fg16_bq12_air3_6_ca,RT52 RR22 FG16 BQ12 Air3/6 CA,85.97,90.45,64.38,79.72,75553.12,17715.16,17598.65,17598.65,21029.87,3431.22,3431.22,3314.71
rt52_rr22_fg16_bq12_air5_8_std,RT52 RR22 FG16 BQ12 Air5/8 STD,86.55,90.82,61.88,77.22,73960.21,17789.3,17686.21,17686.21,21162.32,3476.11,3476.11,3373.02
rt52_rr22_fg16_bq12_air5_8_ca,RT52 RR22 FG16 BQ12 Air5/8 CA,85.97,90.45,64.38,79.72,75553.12,17715.16,17598.65,17598.65,21029.87,3431.22,3431.22,3314.71
rt52_rr22_fg16_bq12_air8_12_std,RT52 RR22 FG16 BQ12 Air8/12 STD,86.57,90.99,60.73,76.07,73521.76,17817.87,17712.08,17712.08,21046.88,3334.79,3334.79,3229.0
rt52_rr22_fg16_bq12_air8_12_ca,RT52 RR22 FG16 BQ12 Air8/12 CA,86.0,90.46,64.29,79.64,75336.97,17714.08,17597.32,17597.32,20944.02,3346.69,3346.69,3229.94
rt52_rr22_fg16_bq14_air1_3_std,RT52 RR22 FG16 BQ14 Air1/3 STD,86.51,90.8,62.01,77.34,74233.2,17789.16,17685.64,17685.64,21263.08,3577.45,3577.45,3473.92
rt52_rr22_fg16_bq14_air1_3_ca,RT52 RR22 FG16 BQ14 Air1/3 CA,85.94,90.43,64.49,79.83,76072.45,17719.13,17603.22,17603.22,21239.7,3636.48,3636.48,3520.57
rt52_rr22_fg16_bq14_air3_6_std,RT52 RR22 FG16 BQ14 Air3/6 STD,86.55,90.82,61.88,77.22,73960.21,17789.3,17686.21,17686.21,21162.32,3476.11,3476.11,3373.02
rt52_rr22_fg16_bq14_air3_6_ca,RT52 RR22 FG16 BQ14 Air3/6 CA,85.97,90.45,64.38,79.72,75553.12,17715.16,17598.65,17598.65,21029.87,3431.22,3431.22,3314.71
rt52_rr22_fg16_bq14_air5_8_std,RT52 RR22 FG16 BQ14 Air5/8 STD,86.55,90.82,61.88,77.22,73960.21,17789.3,17686.21,17686.21,21162.32,3476.11,3476.11,3373.02
rt52_rr22_fg16_bq14_air5_8_ca,RT52 RR22 FG16 BQ14 Air5/8 CA,85.97,90.45,64.38,79.72,75553.12,17715.16,17598.65,17598.65,21029.87,3431.22,3431.22,3314.71
rt52_rr22_fg16_bq14_air8_12_std,RT52 RR22 FG16 BQ14 Air8/12 STD,86.57,90.99,60.73,76.07,73521.76,17817.87,17712.08,17712.08,21046.88,3334.79,3334.79,3229.0
rt52_rr22_fg16_bq14_air8_12_ca,RT52 RR22 FG16 BQ14 Air8/12 CA,86.0,90.46,64.29,79.64,75336.97,17714.08,17597.32,17597.32,20944.02,3346.69,3346.69,3229.94
rt52_rr22_fg16_bq16_air1_3_std,RT52 RR22 FG16 BQ16 Air1/3 STD,86.51,90.8,62.01,77.34,74233.2,17789.16,17685.64,17685.64,21263.08,3577.45,3577.45,3473.92
rt52_rr22_fg16_bq16_air1_3_ca,RT52 RR22 FG16 BQ16 Air1/3 CA,85.94,90.43,64.49,79.83,76072.45,17719.13,17603.22,17603.22,21239.7,3636.48,3636.48,3520.57
rt52_rr22_fg16_bq16_air3_6_std,RT52 RR22 FG16 BQ16 Air3/6 STD,86.55,90.82,61.88,77.22,73960.21,17789.3,17686.21,17686.21,21162.32,3476.11,3476.11,3373.02
rt52_rr22_fg16_bq16_air3_6_ca,RT52 RR22 FG16 BQ16 Air3/6 CA,85.97,90.45,64.38,79.72,75553.12,17715.16,17598.65,17598.65,21029.87,3431.22,3431.22,3314.71
rt52_rr22_fg16_bq16_air5_8_std,RT52 RR22 FG16 BQ16 Air5/8 STD,86.55,90.82,61.88,77.22,73960.21,17789.3,17686.21,17686.21,21162.32,3476.11,3476.11,3373.02
rt52_rr22_fg16_bq16_air5_8_ca,RT52 RR22 FG16 BQ16 Air5/8 CA,85.97,90.45,64.38,79.72,75553.12,17715.16,17598.65,17598.65,21029.87,3431.22,3431.22,3314.71
rt52_rr22_fg16_bq16_air8_12_std,RT52 RR22 FG16 BQ16 Air8/12 STD,86.57,90.99,60.73,76.07,73521.76,17817.87,17712.08,17712.08,21046.88,3334.79,3334.79,3229.0
rt52_rr22_fg16_bq16_air8_12_ca,RT52 RR22 FG16 BQ16 Air8/12 CA,86.0,90.46,64.29,79.64,75336.97,17714.08,17597.32,17597.32,20944.02,3346.69,3346.69,3229.94
rt52_rr22_fg20_bq10_air1_3_std,RT52 RR22 FG20 BQ10 Air1/3 STD,87.04,91.42,57.86,73.24,72001.75,17910.03,17826.05,17826.05,21312.03,3485.98,3485.98,3402.0
rt52_rr22_fg20_bq10_air1_3_ca,RT52 RR22 FG20 BQ10 Air1/3 CA,86.73,91.14,59.7,75.04,73207.23,17855.26,17759.18,17759.18,21144.03,3384.85,3384.85,3288.77
rt52_rr22_fg20_bq10_air3_6_std,RT52 RR22 FG20 BQ10 Air3/6 STD,87.06,91.43,57.76,73.14,71760.96,17909.41,17825.24,17825.24,21217.47,3392.23,3392.23,3308.07
rt52_rr22_fg20_bq10_air3_6_ca,RT52 RR22 FG20 BQ10 Air3/6 CA,86.73,91.14,59.7,75.04,73207.23,17855.26,17759.18,17759.18,21144.03,3384.85,3384.85,3288.77
rt52_rr22_fg20_bq10_air5_8_std,RT52 RR22 FG20 BQ10 Air5/8 STD,87.06,91.43,57.76,73.14,71760.96,17909.41,17825.24,17825.24,21217.47,3392.23,3392.23,3308.07
rt52_rr22_fg20_bq10_air5_8_ca,RT52 RR22 FG20 BQ10 Air5/8 CA,86.75,91.16,59.6,74.95,72987.15,17854.44,17758.16,17758.16,21057.79,3299.64,3299.64,3203.35
rt52_rr22_fg20_bq10_air8_12_std,RT52 RR22 FG20 BQ10 Air8/12 STD,87.13,91.46,57.58,72.94,71466.24,17911.09,17827.38,17827.38,21117.9,3290.52,3290.52,3206.81
rt52_rr22_fg20_bq10_air8_12_ca,RT52 RR22 FG20 BQ10 Air8/12 CA,86.81,91.18,59.42,74.76,72696.15,17855.95,17760.13,17760.13,20967.68,3207.55,3207.55,3111.73
rt52_rr22_fg20_bq12_air1_3_std,RT52 RR22 FG20 BQ12 Air1/3 STD,87.04,91.42,57.86,73.24,72001.75,17910.03,17826.05,17826.05,21312.03,3485.98,3485.98,3402.0
rt52_rr22_fg20_bq12_air1_3_ca,RT52 RR22 FG20 BQ12 Air1/3 CA,86.73,91.14,59.7,75.04,73207.23,17855.26,17759.18,17759.18,21144.03,3384.85,3384.85,3288.77
rt52_rr22_fg20_bq12_air3_6_std,RT52 RR22 FG20 BQ12 Air3/6 STD,87.06,91.43,57.76,73.14,71760.96,17909.41,17825.24,17825.24,21217.47,3392.23,3392.23,3308.07
rt52_rr22_fg20_bq12_air3_6_ca,RT52 RR22 FG20 BQ12 Air3/6 CA,86.73,91.14,59.7,75.04,73207.23,17855.26,17759.18,17759.18,21144.03,3384.85,3384.85,3288.77
rt52_rr22_fg20_bq12_air5_8_std,RT52 RR22 FG20 BQ12 Air5/8 STD,87.06,91.43,57.76,73.14,71760.96,17909.41,17825.24,17825.24,21217.47,3392.23,3392.23,3308.07
rt52_rr22_fg20_bq12_air5_8_ca,RT52 RR22 FG20 BQ12 Air5/8 CA,86.75,91.16,59.6,74.95,72987.15,17854.44,17758.16,17758.16,21057.79,3299.64,3299.64,3203.35
rt52_rr22_fg20_bq12_air8_12_std,RT52 RR22 FG20 BQ12 Air8/12 STD,87.13,91.46,57.58,72.94,71466.24,17911.09,17827.38,17827.38,21117.9,3290.52,3290.52,3206.81
rt52_rr22_fg20_bq12_air8_12_ca,RT52 RR22 FG20 BQ12 Air8/12 CA,86.81,91.18,59.42,74.76,72696.15,17855.95,17760.13,17760.13,20967.68,3207.55,3207.55,3111.73
rt52_rr22_fg20_bq14_air1_3_std,RT52 RR22 FG20 BQ14 Air1/3 STD,87.04,91.42,57.86,73.24,72001.75,17910.03,17826.05,17826.05,21312.03,3485.98,3485.98,3402.0
rt52_rr22_fg20_bq14_air1_3_ca,RT52 RR22 FG20 BQ14 Air1/3 CA,86.73,91.14,59.7,75.04,73207.23,17855.26,17759.18,17759.18,21144.03,3384.85,3384.85,3288.77
rt52_rr22_fg20_bq14_air3_6_std,RT52 RR22 FG20 BQ14 Air3/6 STD,87.06,91.43,57.76,73.14,71760.96,17909.41,17825.24,17825.24,21217.47,3392.23,3392.23,3308.07
rt52_rr22_fg20_bq14_air3_6_ca,RT52 RR22 FG20 BQ14 Air3/6 CA,86.73,91.14,59.7,75.04,73207.23,17855.26,17759.18,17759.18,21144.03,3384.85,3384.85,3288.77
rt52_rr22_fg20_bq14_air5_8_std,RT52 RR22 FG20 BQ14 Air5/8 STD,87.06,91.43,57.76,73.14,71760.96,17909.41,17825.24,17825.24,21217.47,3392.23,3392.23,3308.07
rt52_rr22_fg20_bq14_air5_8_ca,RT52 RR22 FG20 BQ14 Air5/8 CA,86.75,91.16,59.6,74.95,72987.15,17854.44,17758.16,17758.16,21057.79,3299.64,3299.64,3203.35
rt52_rr22_fg20_bq14_air8_12_std,RT52 RR22 FG20 BQ14 Air8/12 STD,87.13,91.46,57.58,72.94,71466.24,17911.09,17827.38,17827.38,21117.9,3290.52,3290.52,3206.81
rt52_rr22_fg20_bq14_air8_12_ca,RT52 RR22 FG20 BQ14 Air8/12 CA,86.81,91.18,59.42,74.76,72696.15,17855.95,17760.13,17760.13,20967.68,3207.55,3207.55,3111.73
rt52_rr22_fg20_bq16_air1_3_std,RT52 RR22 FG20 BQ16 Air1/3 STD,87.04,91.42,57.86,73.24,72001.75,17910.03,17826.05,17826.05,21312.03,3485.98,3485.98,3402.0
rt52_rr22_fg20_bq16_air1_3_ca,RT52 RR22 FG20 BQ16 Air1/3 CA,86.73,91.14,59.7,75.04,73207.23,17855.26,17759.18,17759.18,21144.03,3384.85,3384.85,3288.77
rt52_rr22_fg20_bq16_air3_6_std,RT52 RR22 FG20 BQ16 Air3/6 STD,87.06,91.43,57.76,73.14,71760.96,17909.41,17825.24,17825.24,21217.47,3392.23,3392.23,3308.07
rt52_rr22_fg20_bq16_air3_6_ca,RT52 RR22 FG20 BQ16 Air3/6 CA,86.73,91.14,59.7,75.04,73207.23,17855.26,17759.18,17759.18,21144.03,3384.85,3384.85,3288.77
rt52_rr22_fg20_bq16_air5_8_std,RT52 RR22 FG20 BQ16 Air5/8 STD,87.06,91.43,57.76,73.14,71760.96,17909.41,17825.24,17825.24,21217.47,3392.23,3392.23,3308.07
rt52_rr22_fg20_bq16_air5_8_ca,RT52 RR22 FG20 BQ16 Air5/8 CA,86.75,91.16,59.6,74.95,72987.15,17854.44,17758.16,17758.16,21057.79,3299.64,3299.64,3203.35
rt52_rr22_fg20_bq16_air8_12_std,RT52 RR22 FG20 BQ16 Air8/12 STD,87.13,91.46,57.58,72.94,71466.24,17911.09,17827.38,17827.38,21117.9,3290.52,3290.52,3206.81
rt52_rr22_fg20_bq16_air8_12_ca,RT52 RR22 FG20 BQ16 Air8/12 CA,86.81,91.18,59.42,74.76,72696.15,17855.95,17760.13,17760.13,20967.68,3207.55,3207.55,3111.73
rt52_rr22_fg24_bq10_air1_3_std,RT52 RR22 FG24 BQ10 Air1/3 STD,87.66,92.02,53.76,69.14,69886.44,18032.58,17967.14,17967.14,21427.26,3460.12,3460.12,3394.68
rt52_rr22_fg24_bq10_air1_3_ca,RT52 RR22 FG24 BQ10 Air1/3 CA,87.03,91.35,58.32,73.69,72527.35,17900.65,17817.93,17817.93,21193.98,3376.05,3376.05,3293.33
rt52_rr22_fg24_bq10_air3_6_std,RT52 RR22 FG24 BQ10 Air3/6 STD,87.72,92.05,53.58,68.94,69591.72,18034.25,17969.28,17969.28,21327.69,3358.41,3358.41,3293.44
rt52_rr22_fg24_bq10_air3_6_ca,RT52 RR22 FG24 BQ10 Air3/6 CA,87.04,91.36,58.27,73.63,72286.83,17898.44,17816.8,17816.8,21093.21,3276.41,3276.41,3194.77
rt52_rr22_fg24_bq10_air5_8_std,RT52 RR22 FG24 BQ10 Air5/8 STD,87.72,92.05,53.58,68.94,69591.72,18034.25,17969.28,17969.28,21327.69,3358.41,3358.41,3293.44
rt52_rr22_fg24_bq10_air5_8_ca,RT52 RR22 FG24 BQ10 Air5/8 CA,87.04,91.36,58.27,73.63,72286.83,17898.44,17816.8,17816.8,21093.21,3276.41,3276.41,3194.77
rt52_rr22_fg24_bq10_air8_12_std,RT52 RR22 FG24 BQ10 Air8/12 STD,87.76,92.07,53.44,68.76,69332.32,18034.59,17970.38,17970.38,21242.87,3272.49,3272.49,3208.28
rt52_rr22_fg24_bq10_air8_12_ca,RT52 RR22 FG24 BQ10 Air8/12 CA,87.09,91.53,57.1,72.45,71805.08,17927.56,17843.48,17843.48,21000.32,3156.85,3156.85,3072.76
rt52_rr22_fg24_bq12_air1_3_std,RT52 RR22 FG24 BQ12 Air1/3 STD,87.66,92.02,53.76,69.14,69886.44,18032.58,17967.14,17967.14,21427.26,3460.12,3460.12,3394.68
rt52_rr22_fg24_bq12_air1_3_ca,RT52 RR22 FG24 BQ12 Air1/3 CA,87.03,91.35,58.32,73.69,72527.35,17900.65,17817.93,17817.93,21193.98,3376.05,3376.05,3293.33
rt52_rr22_fg24_bq12_air3_6_std,RT52 RR22 FG24 BQ12 Air3/6 STD,87.72,92.05,53.58,68.94,69591.72,18034.25,17969.28,17969.28,21327.69,3358.41,3358.41,3293.44
rt52_rr22_fg24_bq12_air3_6_ca,RT52 RR22 FG24 BQ12 Air3/6 CA,87.04,91.36,58.27,73.63,72286.83,17898.44,17816.8,17816.8,21093.21,3276.41,3276.41,3194.77
rt52_rr22_fg24_bq12_air5_8_std,RT52 RR22 FG24 BQ12 Air5/8 STD,87.72,92.05,53.58,68.94,69591.72,18034.25,17969.28,17969.28,21327.69,3358.41,3358.41,3293.44
rt52_rr22_fg24_bq12_air5_8_ca,RT52 RR22 FG24 BQ12 Air5/8 CA,87.04,91.36,58.27,73.63,72286.83,17898.44,17816.8,17816.8,21093.21,3276.41,3276.41,3194.77
rt52_rr22_fg24_bq12_air8_12_std,RT52 RR22 FG24 BQ12 Air8/12 STD,87.76,92.07,53.44,68.76,69332.32,18034.59,17970.38,17970.38,21242.87,3272.49,3272.49,3208.28
rt52_rr22_fg24_bq12_air8_12_ca,RT52 RR22 FG24 BQ12 Air8/12 CA,87.09,91.53,57.1,72.45,71805.08,17927.56,17843.48,17843.48,21000.32,3156.85,3156.85,3072.76
rt52_rr22_fg24_bq14_air1_3_std,RT52 RR22 FG24 BQ14 Air1/3 STD,87.66,92.02,53.76,69.14,69886.44,18032.58,17967.14,17967.14,21427.26,3460.12,3460.12,3394.68
rt52_rr22_fg24_bq14_air1_3_ca,RT52 RR22 FG24 BQ14 Air1/3 CA,87.03,91.35,58.32,73.69,72527.35,17900.65,17817.93,17817.93,21193.98,3376.05,3376.05,3293.33
rt52_rr22_fg24_bq14_air3_6_std,RT52 RR22 FG24 BQ14 Air3/6 STD,87.72,92.05,53.58,68.94,69591.72,18034.25,17969.28,17969.28,21327.69,3358.41,3358.41,3293.44
rt52_rr22_fg24_bq14_air3_6_ca,RT52 RR22 FG24 BQ14 Air3/6 CA,87.04,91.36,58.27,73.63,72286.83,17898.44,17816.8,17816.8,21093.21,3276.41,3276.41,3194.77
rt52_rr22_fg24_bq14_air5_8_std,RT52 RR22 FG24 BQ14 Air5/8 STD,87.72,92.05,53.58,68.94,69591.72,18034.25,17969.28,17969.28,21327.69,3358.41,3358.41,3293.44
rt52_rr22_fg24_bq14_air5_8_ca,RT52 RR22 FG24 BQ14 Air5/8 CA,87.04,91.36,58.27,73.63,72286.83,17898.44,17816.8,17816.8,21093.21,3276.41,3276.41,3194.77
rt52_rr22_fg24_bq14_air8_12_std,RT52 RR22 FG24 BQ14 Air8/12 STD,87.76,92.07,53.44,68.76,69332.32,18034.59,17970.38,17970.38,21242.87,3272.49,3272.49,3208.28
rt52_rr22_fg24_bq14_air8_12_ca,RT52 RR22 FG24 BQ14 Air8/12 CA,87.09,91.53,57.1,72.45,71805.08,17927.56,17843.48,17843.48,21000.32,3156.85,3156.85,3072.76
rt52_rr22_fg24_bq16_air1_3_std,RT52 RR22 FG24 BQ16 Air1/3 STD,87.66,92.02,53.76,69.14,69886.44,18032.58,17967.14,17967.14,21427.26,3460.12,3460.12,3394.68
rt52_rr22_fg24_bq16_air1_3_ca,RT52 RR22 FG24 BQ16 Air1/3 CA,87.03,91.35,58.32,73.69,72527.35,17900.65,17817.93,17817.93,21193.98,3376.05,3376.05,3293.33
rt52_rr22_fg24_bq16_air3_6_std,RT52 RR22 FG24 BQ16 Air3/6 STD,87.72,92.05,53.58,68.94,69591.72,18034.25,17969.28,17969.28,21327.69,3358.41,3358.41,3293.44
rt52_rr22_fg24_bq16_air3_6_ca,RT52 RR22 FG24 BQ16 Air3/6 CA,87.04,91.36,58.27,73.63,72286.83,17898.44,17816.8,17816.8,21093.21,3276.41,3276.41,3194.77
rt52_rr22_fg24_bq16_air5_8_std,RT52 RR22 FG24 BQ16 Air5/8 STD,87.72,92.05,53.58,68.94,69591.72,18034.25,17969.28,17969.28,21327.69,3358.41,3358.41,3293.44
rt52_rr22_fg24_bq16_air5_8_ca,RT52 RR22 FG24 BQ16 Air5/8 CA,87.04,91.36,58.27,73.63,72286.83,17898.44,17816.8,17816.8,21093.21,3276.41,3276.41,3194.77
rt52_rr22_fg24_bq16_air8_12_std,RT52 RR22 FG24 BQ16 Air8/12 STD,87.76,92.07,53.44,68.76,69332.32,18034.59,17970.38,17970.38,21242.87,3272.49,3272.49,3208.28
rt52_rr22_fg24_bq16_air8_12_ca,RT52 RR22 FG24 BQ16 Air8/12 CA,87.09,91.53,57.1,72.45,71805.08,17927.56,17843.48,17843.48,21000.32,3156.85,3156.85,3072.76
rt52_rr26_fg12_bq10_air1_3_std,RT52 RR26 FG12 BQ10 Air1/3 STD,86.1,90.56,63.61,78.95,75323.87,17740.49,17623.45,17623.45,21176.63,3553.18,3553.18,3436.14
