week,climate_event,operational_feedback_event,combined_event_context,event_types,backlog_end,capacity_utilization,outbound_mode,backup_consumed_raw_units,scrap_units
43,inondation fournisseur et reseau degrade,maintenance corrective + recalage qualite + congestion logistique + overtime et energie d'urgence,inondation fournisseur et reseau degrade / maintenance corrective + recalage qualite + congestion logistique + overtime et energie d'urgence,"climatique, retroaction operationnelle, expedition aerienne, rebut",32.04032781271417,1.0,air,0.0,1.178496
44,aucun,maintenance corrective + recalage qualite + congestion logistique + overtime et energie d'urgence,maintenance corrective + recalage qualite + congestion logistique + overtime et energie d'urgence,"retroaction operationnelle, expedition aerienne",25.564146970073132,0.8897534234808282,air,0.0,0.0
45,aucun,congestion logistique + overtime et energie d'urgence,congestion logistique + overtime et energie d'urgence,"retroaction operationnelle, expedition aerienne",24.95968752050662,0.4991165354652264,air,0.0,0.0
46,aucun,congestion logistique + overtime et energie d'urgence,congestion logistique + overtime et energie d'urgence,"retroaction operationnelle, expedition aerienne",22.733990442480476,0.5688471861516621,air,0.0,0.0
47,pic de demande hivernal,congestion logistique + overtime et energie d'urgence,pic de demande hivernal / congestion logistique + overtime et energie d'urgence,"climatique, retroaction operationnelle, expedition aerienne",21.504130832786004,0.5260154670836331,air,0.0,0.0
48,pic de demande hivernal,congestion logistique + overtime et energie d'urgence,pic de demande hivernal / congestion logistique + overtime et energie d'urgence,"climatique, retroaction operationnelle, expedition aerienne",16.64801398687887,0.6819835202540703,air,0.0,0.0
49,aucun,congestion logistique + overtime et energie d'urgence,congestion logistique + overtime et energie d'urgence,"retroaction operationnelle, expedition aerienne",13.73064273332237,0.5555858603680215,air,0.0,0.0
50,aucun,congestion logistique,congestion logistique,"retroaction operationnelle, expedition aerienne",5.493856534114151,0.7294714479683287,air,0.0,0.0
51,aucun,congestion logistique,congestion logistique,"retroaction operationnelle, expedition aerienne",3.0237198608391296,0.49880546693100086,air,0.0,0.0
52,aucun,congestion logistique,congestion logistique,"retroaction operationnelle, expedition aerienne",0.0,0.6288271055600738,air,0.0,0.0
