tier_code,role_hint,tier_label,supplier,country,region,business_family,record_count,primary_count,alternate_count,mass_exposure_kg_sum_record_level,confidence,modeling_action,has_coordinates,source_ids,geocode_status_counts,system_examples,component_examples,description_examples
T4,tier4_raw_material,Raw material / primary producer,Mitsubishi Chemical,Japan,Outside_Europe,polymer_plastic_chemical,29,29,0,49.538531625,medium,keep_as_supply_tier_node,True,,fallback_site_needs_source:29,Ens. Equipements latéraux | Ecran - Screen Display (COTS) | Accoudoir allée | Ens. Stowage latéral | Ensemble porte | Ens. Tablette repas,"Ertalon par moulage par injection plastique | Display, liquid crystal, 17 pouces | Ertalon | NIDA - GLO (moulage par injection plastique) | nylon | Polychloroprene | powerbox | SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider",Polymères / plastiques techniques
T4,tier4_raw_material,Raw material / primary producer,Total,France,France,general_industrial,14,0,14,7.759121067,medium,keep_as_supply_tier_node,True,,kept_from_source_json:14,Ecran - Screen Display (COTS) | Ceinture de sécurité | Support clamps | Ens. Stowage latéral | Ens. Palette optimisée | Ensemble porte,"Display, liquid crystal, 17 pouces | nylon | powerbox",Pétrochimie de base
T4,tier4_raw_material,Raw material / primary producer,Arkema S.A,France,France,polymer_plastic_chemical,12,0,12,1.594121067,medium,keep_as_supply_tier_node,True,,kept_from_source_json:12,Ens. Structure fauteuil | Ceinture de sécurité | Support clamps | Ens. Stowage latéral | Ens. Palette optimisée | Ensemble porte,GLO: moulage par injection plastique | nylon | caoutchouc,"Matière première — polymères, chimie de base"
T4,tier4_raw_material,Raw material / primary producer,Zijin Mining Group,China,Outside_Europe,general_industrial,12,0,12,35.210931413,medium,keep_as_supply_tier_node,True,,kept_from_source_json:12,Bumper version porte | Commande actionnement ECU | Ecran - Screen Display (COTS) | Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) | Powerbox | Remote extender unit,"alliage Cu | Commande actionnement ECU | Display, liquid crystal, 17 pouces | powerbox | télécommande | autre (silicium, cuirs synthétique) | 8% autre (silicium, cuirs synthétique) | 16 % Tissu, mousse",Extraction cuivre/or/lithium
T4,tier4_raw_material,Raw material / primary producer,Rio Tinto Alma Works,Canada,Outside_Europe,aluminium_raw_or_transformation,11,0,11,316.903461476,medium,keep_as_supply_tier_node,True,,kept_from_source_json:11,Manchette acc. Mobile | Accoudoir allée | Ens. Palette optimisée | Ensemble porte | Ens. Structure fixe | Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL | Alu | aluminium | 65% aluminium,Aluminium primaire
T4,tier4_raw_material,Raw material / primary producer,Rio Tinto Fer et Titane,Canada,Outside_Europe,general_industrial,11,0,11,316.903461476,medium,keep_as_supply_tier_node,True,,kept_from_source_json:11,Manchette acc. Mobile | Accoudoir allée | Ens. Palette optimisée | Ensemble porte | Ens. Structure fixe | Manchette équipée,FRMC55:EU28 polyuréthane flexible traité UL | Alu | aluminium | 65% aluminium,Minerai/oxydes de titane
T4,tier4_raw_material,Raw material / primary producer,ChemChina,China,Outside_Europe,polymer_plastic_chemical,8,0,8,3.661,high,keep_as_supply_tier_node,True,SRC_CHEMCHINA_WEF_001,kept_from_source_json:8,Capot NFC | Coussin ottoman | Ens. Stowage latéral | Ensemble porte | Ens. Tablette cocktail | Ens. Tablette repas,kydex | caoutchouc,Chimie lourde / polymères bruts
T4,tier4_raw_material,Raw material / primary producer,Orbia / Mexichem,Mexico,Outside_Europe,general_industrial,8,0,8,3.661,high,keep_as_supply_tier_node,True,SRC_ORBIA_001,kept_from_source_json:8,Capot NFC | Coussin ottoman | Ens. Stowage latéral | Ensemble porte | Ens. Tablette cocktail | Ens. Tablette repas,kydex | caoutchouc,PVC / chimie de base
T4,tier4_raw_material,Raw material / primary producer,"Shandong Loyal Chemical Co., Ltd.",China,Outside_Europe,general_industrial,8,7,1,3.661,high,keep_as_supply_tier_node,True,SRC_SHANDONG_LOYAL_001,kept_from_source_json:8,Capot NFC | Coussin ottoman | Ens. Stowage latéral | Ensemble porte | Ens. Tablette cocktail | Ens. Tablette repas,kydex | caoutchouc,Matière première — résines / additifs
T4,tier4_raw_material,Raw material / primary producer,Billerud,Sweden,Europe_non_FR,general_industrial,1,0,1,0.95,high,keep_as_supply_tier_node,True,SRC_BILLERUD_001,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,"Matière première — pâte à papier, kraft"
T4,tier4_raw_material,Raw material / primary producer,Gascogne Papier,France,France,general_industrial,1,0,1,0.95,high,keep_as_supply_tier_node,True,SRC_GASCOGNE_001,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Papier kraft
T4,tier4_raw_material,Raw material / primary producer,Halcyon Hevecam,Cameroun,Outside_Europe,general_industrial,1,1,0,0.01,high,keep_as_supply_tier_node,True,SRC_HALCYON_001,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Latex naturel
T4,tier4_raw_material,Raw material / primary producer,Halcyon PT Remco Jambi,Indonésie,Outside_Europe,general_industrial,1,0,1,0.01,high,keep_as_supply_tier_node,True,SRC_HALCYON_001,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Caoutchouc naturel
T4,tier4_raw_material,Raw material / primary producer,Halcyon SDCI-A,Côte d'Ivoire,Outside_Europe,general_industrial,1,0,1,0.01,high,keep_as_supply_tier_node,True,SRC_HALCYON_001,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Caoutchouc naturel
T4,tier4_raw_material,Raw material / primary producer,Klabin S.A.,Brazil,Outside_Europe,general_industrial,1,1,0,0.95,high,keep_as_supply_tier_node,True,SRC_KLABIN_001,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Pâte à papier
T4,tier4_raw_material,Raw material / primary producer,Nordic Paper,Sweden,Europe_non_FR,general_industrial,1,0,1,0.95,high,keep_as_supply_tier_node,True,SRC_NORDIC_PAPER_001,source_backed_site:1,Padding (rembourrage),AIRVOLT LAMINAT,Matière première — pâte à papier
T4,tier4_raw_material,Raw material / primary producer,SABIC,Arabie Saoudite,Outside_Europe,polymer_plastic_chemical,1,1,0,0.151,high,keep_as_supply_tier_node,True,SRC_SABIC_001,kept_from_source_json:1,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,Pétrochimie (PE/PP/Lexan)
T4,tier4_raw_material,Raw material / primary producer,Socfin LAC Liberia,Liberia,Outside_Europe,general_industrial,1,0,1,0.01,high,keep_as_supply_tier_node,True,SRC_SOCFIN_001,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Hévéa / caoutchouc
T4,tier4_raw_material,Raw material / primary producer,Socfin Okomu,Nigeria,Outside_Europe,general_industrial,1,0,1,0.01,high,keep_as_supply_tier_node,True,SRC_SOCFIN_001,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Hévéa / huile de palme
T4,tier4_raw_material,Raw material / primary producer,Socfin SRC Weala,Liberia,Outside_Europe,general_industrial,1,0,1,0.01,high,keep_as_supply_tier_node,True,SRC_SOCFIN_001,kept_from_source_json:1,Ens. Structure fixe,caoutchouc,Caoutchouc
T3,tier3_first_transformation,First transformation / material processor,thyssenkrupp Materials France,France,France,steel_metal_raw,104,0,104,427.635072889,high,keep_as_supply_tier_node,True,SRC_THYSSEN_001,source_backed_site:104,Ens. Equipements latéraux | Ens. Stowage latéral | Bumper version porte | Manchette acc. Mobile | Accoudoir allée | Ens. Palette optimisée,"A5086 - Aluminium | 15CDV6 (chrome, molibdene, vanadium) | alliage Cu | FRMC55:EU28 polyuréthane flexible traité UL | 30NCD6 (nickel-chrome- molibdene) | acier | A2017 - Aluminium | A2024 - Aluminium",Métallurgie — 1ère transformation | Sidérurgie / produits laminés
T3,tier3_first_transformation,First transformation / material processor,Toray Industries,Japan,Outside_Europe,polymer_plastic_chemical,61,36,25,125.24491928,high,keep_as_supply_tier_node,True,SRC_TORAY_001,source_backed_site:61,Ens. Equipements latéraux | Coussin ottoman | Manchette acc. Mobile | ens. equipements lateraux | Accoudoir allée | Ens. Stowage latéral,"Ertalon par moulage par injection plastique | tissu | FRMC55:EU28 polyuréthane flexible traité UL | velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | Ertalon | GLO: moulage par injection plastique | kydex | NIDA - GLO (moulage par injection plastique)",Fibres / polymères | Fibres carbone — 1ère transformation
T3,tier3_first_transformation,First transformation / material processor,Euralliage Ile de France,France,France,general_industrial,47,14,33,377.866866376,high,keep_as_supply_tier_node,True,SRC_EURALLIAGE_001,source_backed_site:47,Ens. Equipements latéraux | Manchette acc. Mobile | Ens. Palette optimisée | Accoudoir allée | Ens. Stowage latéral | Ens. Tablette cocktail,A5086 - Aluminium | FRMC55:EU28 polyuréthane flexible traité UL | 35NC6 (nickel-chrome) | A2017 - Aluminium | A2024 - Aluminium | A6060 - Aluminium | de: aluminium cast part machining + tth compris dans le steel tinplated | Alu,Fonderie — 1ère transformation
T3,tier3_first_transformation,First transformation / material processor,Altec Etirage,France,France,general_industrial,44,0,44,16.4996947,medium,keep_as_supply_tier_node,True,,kept_from_source_json:44,Ens. Stowage latéral | Accoudoir allée | Ens. Equipements latéraux | Ens. Structure fauteuil | Ceinture de sécurité | Support clamps,"15CDV6 (chrome, molibdene, vanadium) | 30NCD6 (nickel-chrome- molibdene) | acier | 4140 (acier) | cables FJKL1-3K1J01-01ATAB_BRACKETS-SET | inox | FRMC55 (C55 = % de carbone) et FMR = ? | Z10CNT18",Métaux étirés — première transformation
T3,tier3_first_transformation,First transformation / material processor,Aubert & Duval,France,France,metal_transformation_or_machining,44,42,2,16.4996947,high,keep_as_supply_tier_node,True,SRC_AUBERT_001,source_backed_site:44,Ens. Stowage latéral | Accoudoir allée | Ens. Equipements latéraux | Ens. Structure fauteuil | Ceinture de sécurité | Support clamps,"15CDV6 (chrome, molibdene, vanadium) | 30NCD6 (nickel-chrome- molibdene) | acier | 4140 (acier) | cables FJKL1-3K1J01-01ATAB_BRACKETS-SET | inox | FRMC55 (C55 = % de carbone) et FMR = ? | Z10CNT18",Forge / métallurgie (1ère transformation) | Forge / métallurgie (1ère transformation); Alliages spéciaux / forge; Forge / métallurgie (1ère transformation)
T3,tier3_first_transformation,First transformation / material processor,Krupp,Germany,Europe_non_FR,steel_metal_raw,43,1,42,13.1346947,medium,keep_as_supply_tier_node,True,,kept_from_source_json:43,Ens. Stowage latéral | Accoudoir allée | Ens. Equipements latéraux | Ens. Structure fauteuil | Ceinture de sécurité | Support clamps,"15CDV6 (chrome, molibdene, vanadium) | 30NCD6 (nickel-chrome- molibdene) | acier | 4140 (acier) | inox | FRMC55 (C55 = % de carbone) et FMR = ? | Z10CNT18 | GLO: Steel sheet stamping and bending",Sidérurgie — 1ère transformation
T3,tier3_first_transformation,First transformation / material processor,Aluminium France,France,France,aluminium_raw_or_transformation,42,0,42,375.825446776,medium,keep_as_supply_tier_node,True,,kept_from_source_json:42,Ens. Equipements latéraux | Manchette acc. Mobile | Accoudoir allée | Ens. Stowage latéral | Ens. Palette optimisée | Ens. Tablette cocktail,A5086 - Aluminium | FRMC55:EU28 polyuréthane flexible traité UL | A2017 - Aluminium | A2024 - Aluminium | A6060 - Aluminium | Alu | aluminium | 65% aluminium,Laminage aluminium — première transformation
T3,tier3_first_transformation,First transformation / material processor,AMAG Austria Metall,Austria,Europe_non_FR,aluminium_raw_or_transformation,32,32,0,59.6316619,high,keep_as_supply_tier_node,True,SRC_AMAG_001,source_backed_site:32,Ens. Equipements latéraux | Accoudoir allée | Ens. Stowage latéral | Ens. Palette optimisée | Ens. Tablette cocktail | Ens. Tablette repas,A5086 - Aluminium | A2017 - Aluminium | A2024 - Aluminium | A6060 - Aluminium | GLO: Steel sheet stamping and bending,Première transformation – laminage/extrusion aluminium
T3,tier3_first_transformation,First transformation / material processor,Constellium,France,France,aluminium_raw_or_transformation,32,0,32,59.6316619,high,keep_as_supply_tier_node,True,SRC_CONSTELLIUM_001,source_backed_site:32,Ens. Equipements latéraux | Accoudoir allée | Ens. Stowage latéral | Ens. Palette optimisée | Ens. Tablette cocktail | Ens. Tablette repas,A5086 - Aluminium | A2017 - Aluminium | A2024 - Aluminium | A6060 - Aluminium | GLO: Steel sheet stamping and bending,Aluminium laminé / extrudé
T3,tier3_first_transformation,First transformation / material processor,Huddersfield Textiles,"Huddersfield, United Kingdom",Outside_Europe,textile_foam_leather,29,0,29,68.848552355,high,keep_as_supply_tier_node,True,SRC_HUDDERSFIELD_001,source_backed_city_or_hq:29,Coussin ottoman | Manchette acc. Mobile | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier,"tissu | FRMC55:EU28 polyuréthane flexible traité UL | velcro | velours | Tissu, mousse, polyéthylène | autre (silicium, cuirs synthétique) | 16 % Tissu, mousse, polyéthylène | 8% autre (silicium, cuirs synthétique)",Laine et tissus
T3,tier3_first_transformation,First transformation / material processor,EXSTO / Baule-Exsto Polymere,France,France,polymer_plastic_chemical,28,0,28,50.490117358,high,keep_as_supply_tier_node,True,SRC_EXSTO_001,source_backed_site:28,Ens. Equipements latéraux | Ecran - Screen Display (COTS) | Accoudoir allée | Ens. Stowage latéral | Ensemble porte | Ens. Tablette repas,"Ertalon par moulage par injection plastique | Display, liquid crystal, 17 pouces | Ertalon | GLO: moulage par injection plastique | kydex | NIDA - GLO (moulage par injection plastique) | SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider | Silicone50 shore",Polyuréthanes techniques — 1ère transformation chimique
T3,tier3_first_transformation,First transformation / material processor,ASD Textiles,France,France,textile_foam_leather,23,0,23,59.196241884,medium,keep_as_supply_tier_node,True,,kept_from_source_json:23,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Ens. Tablette cocktail,"tissu | velcro | velours | Tissu, mousse, polyéthylène | 16 % Tissu, mousse, polyéthylène | 16 % Tissu, mousse",Textiles techniques (1ère transformation)
T3,tier3_first_transformation,First transformation / material processor,TELATEX,France,France,textile_foam_leather,23,0,23,59.196241884,medium,keep_as_supply_tier_node,True,,kept_from_source_json:23,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Ens. Tablette cocktail,"tissu | velcro | velours | Tissu, mousse, polyéthylène | 16 % Tissu, mousse, polyéthylène | 16 % Tissu, mousse",Textiles enduits — 1ère transformation
T3,tier3_first_transformation,First transformation / material processor,"Zhejiang Yuxin Textile Co.,Ltd.",China,Outside_Europe,textile_foam_leather,23,23,0,68.749552355,medium,keep_as_supply_tier_node,True,,kept_from_source_json:23,Coussin ottoman | Manchette acc. Mobile | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier,"tissu | FRMC55:EU28 polyuréthane flexible traité UL | velcro | Tissu, mousse, polyéthylène | autre (silicium, cuirs synthétique) | 16 % Tissu, mousse, polyéthylène | 8% autre (silicium, cuirs synthétique) | 16 % Tissu, mousse",Textile technique – première transformation
T3,tier3_first_transformation,First transformation / material processor,DIATEX,France,France,textile_foam_leather,17,0,17,59.097241884,medium,keep_as_supply_tier_node,True,,kept_from_source_json:17,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Ens. Tablette cocktail,"tissu | velcro | Tissu, mousse, polyéthylène | 16 % Tissu, mousse, polyéthylène | 16 % Tissu, mousse",Textiles techniques — 1ère transformation
T3,tier3_first_transformation,First transformation / material processor,Groupe SAGAERT,France,France,general_industrial,17,0,17,59.097241884,medium,keep_as_supply_tier_node,True,,kept_from_source_json:17,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Ens. Tablette cocktail,"tissu | velcro | Tissu, mousse, polyéthylène | 16 % Tissu, mousse, polyéthylène | 16 % Tissu, mousse",Mécanique de précision — 1ère transformation
T3,tier3_first_transformation,First transformation / material processor,Ampco Metal France,France,France,general_industrial,12,0,12,35.210931413,medium,keep_as_supply_tier_node,True,,kept_from_source_json:12,Bumper version porte | Commande actionnement ECU | Ecran - Screen Display (COTS) | Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) | Powerbox | Remote extender unit,"alliage Cu | Commande actionnement ECU | Display, liquid crystal, 17 pouces | powerbox | télécommande | autre (silicium, cuirs synthétique) | 8% autre (silicium, cuirs synthétique) | 16 % Tissu, mousse",Alliages cuivreux — première transformation
T3,tier3_first_transformation,First transformation / material processor,Aurubis,Germany,Europe_non_FR,general_industrial,12,6,6,35.210931413,medium,keep_as_supply_tier_node,True,,kept_from_source_json:12,Bumper version porte | Commande actionnement ECU | Ecran - Screen Display (COTS) | Ecran - 00-5136-51 Rev F Seat Power Box 4 (SPB4) | Powerbox | Remote extender unit,"alliage Cu | Commande actionnement ECU | Display, liquid crystal, 17 pouces | powerbox | télécommande | autre (silicium, cuirs synthétique) | 8% autre (silicium, cuirs synthétique) | 16 % Tissu, mousse",Raffinage cuivre — 1ère transformation
T3,tier3_first_transformation,First transformation / material processor,Yamazaki Velvet Co.,Japan,Outside_Europe,textile_foam_leather,7,0,7,0.107,review,keep_as_supply_tier_node,True,,kept_from_source_json:7,ens. equipements lateraux | Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | velours",Velours / textile haut de gamme
T3,tier3_first_transformation,First transformation / material processor,SOMANI,Portugal,Europe_non_FR,textile_foam_leather,6,6,0,0.099,high,keep_as_supply_tier_node,True,SRC_SOMANI_001,kept_from_source_json:6,Coussin ottoman | Coussin têtière | Ens. Coussin assise | Ens.coussin dossier version têtière | Ens. Coussin dossier | Habillage sous fauteuil,velours,Textile / velours — 2e transformation
T3,tier3_first_transformation,First transformation / material processor,Gruppo Mastrotto,Italy,Europe_non_FR,textile_foam_leather,3,3,0,0.211,high,keep_as_supply_tier_node,True,SRC_MASTROTTO_001,kept_from_source_json:3,Ens. Stowage latéral | Manchette acc. Mobile | Manchette équipée,cuir,Tannerie — 1ère transformation cuir
T3,tier3_first_transformation,First transformation / material processor,Saint-Gobain,France,France,general_industrial,3,3,0,1.5014,high,keep_as_supply_tier_node,True,SRC_SAINTGOBAIN_001,kept_from_source_json:3,Stowage assemblé avec porte | System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion. | Ens. Tablette repas,Silicone | System IFE boitier ref FJKL1-3K1100-01ATAB | Silicone50 shore,Verre / matériaux techniques
T3,tier3_first_transformation,First transformation / material processor,Henkel,Germany,Europe_non_FR,general_industrial,2,1,1,0.88,high,keep_as_supply_tier_node,True,SRC_HENKEL_001,kept_from_source_json:2,Ensemble porte | Ens. Coque,FILM DECOR AERFILM - Ep0.33 714g-m2 | Résine BR623 - composite,Colles et adhésifs — chimie appliquée
T3,tier3_first_transformation,First transformation / material processor,Shin-Etsu Silicones,"Tokyo, Japan",Outside_Europe,general_industrial,2,0,2,0.0014,high,keep_as_supply_tier_node,True,SRC_SHINETSU_001,source_backed_city_or_hq:2,Stowage assemblé avec porte | Ens. Tablette repas,Silicone | Silicone50 shore,Chimie de spécialité — silicones
T3,tier3_first_transformation,First transformation / material processor,Daio Paper Corporation,"Shikokuchuo, Japan",Outside_Europe,textile_foam_leather,1,0,1,0.95,high,keep_as_supply_tier_node,True,SRC_DAIO_001,source_backed_city_or_hq:1,Padding (rembourrage),AIRVOLT LAMINAT,Cellulose / textile
T3,tier3_first_transformation,First transformation / material processor,EPODEX,France,France,general_industrial,1,1,0,0.392,high,keep_as_supply_tier_node,True,SRC_FORMICA_001,kept_from_source_json:1,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,Résines époxy — transformation chimique
T3,tier3_first_transformation,First transformation / material processor,Formica,France,France,polymer_plastic_chemical,1,0,1,0.95,high,keep_as_supply_tier_node,True,SRC_FORMICA_001,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Stratifiés polymères — seconde transformation
T3,tier3_first_transformation,First transformation / material processor,Kronotex GmbH & Co,Germany,Europe_non_FR,general_industrial,1,1,0,0.95,high,keep_as_supply_tier_node,True,SRC_KRONOTEX_001,kept_from_source_json:1,Padding (rembourrage),AIRVOLT LAMINAT,Bois / stratifiés — 2e transformation
T3,tier3_first_transformation,First transformation / material processor,Ultrafabrics,Japan,Outside_Europe,textile_foam_leather,1,1,0,0.099,high,keep_as_supply_tier_node,True,SRC_ULTRAFABRICS_001,kept_from_source_json:1,Padding (rembourrage),ULTRA LEATHER SMOKE,Revêtements synthétiques – seconde transformation
T2,tier2_second_transformation,Second transformation / component processor,DuPont de Nemours,United States,Outside_Europe,polymer_plastic_chemical,62,21,41,122.51808398,high,keep_as_supply_tier_node,True,SRC_DUPONT_001,source_backed_site:62,Ens. Equipements latéraux | Coussin ottoman | Manchette acc. Mobile | Ecran - Screen Display (COTS) | Accoudoir allée | Ens. Stowage latéral,"Ertalon par moulage par injection plastique | tissu | FRMC55:EU28 polyuréthane flexible traité UL | Display, liquid crystal, 17 pouces | Ertalon | GLO: moulage par injection plastique | kydex | NIDA - GLO (moulage par injection plastique)",Polymères techniques (Kevlar/Nomex)
T2,tier2_second_transformation,Second transformation / component processor,Ensinger,Germany,Europe_non_FR,polymer_plastic_chemical,46,35,11,113.70808398,medium,keep_as_supply_tier_node,True,,kept_from_source_json:46,Ens. Equipements latéraux | Manchette acc. Mobile | Accoudoir allée | Ens. Stowage latéral | Ensemble porte | Ens. Tablette repas,Ertalon par moulage par injection plastique | FRMC55:EU28 polyuréthane flexible traité UL | Ertalon | GLO: moulage par injection plastique | kydex | NIDA - GLO (moulage par injection plastique) | nylon | caoutchouc,Polymères techniques extrudés
