record_index,system,component,supplier,role_hint,action,detail
127,Ens. Coque,SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider,Plastiforme,tier2_second_transformation,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
127,Ens. Coque,SIMAPRO : extrusion and thermoforming - traitement par AER Film Schneider,Plastitek,tier2_second_transformation,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Alcoa,tier4_raw_material,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Constellium,tier3_first_transformation,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,AMAG Austria Metall,tier3_first_transformation,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Hindalco Industries,tier4_raw_material,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Aluminium Corporation of China / Chalco,tier4_raw_material,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,thyssenkrupp Materials France,tier3_first_transformation,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Tata Steel,tier4_raw_material,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Saarstahl,tier4_raw_material,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,ArcelorMittal,tier4_raw_material,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Krupp,tier3_first_transformation,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,China Baowu / Baosteel,tier4_raw_material,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Nucor Corp,tier4_raw_material,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Altec Etirage,tier3_first_transformation,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Aubert & Duval,tier3_first_transformation,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,SUMPAR,tier1,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Groupe Segnere / SEGNERE Ade,tier1,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,MGA Villeneuve St Lot,tier1,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
156,Accoudoir allée,GLO: Steel sheet stamping and bending,Groupe LAUAK,tier1,moved_to_excluded_suppliers,"business_review: LCA process reference, not a supplier-chain item"
