source_id,entity,source_type,url,evidence,canonical_country,canonical_site_address,canonical_role,confidence
SRC_EURALLIAGE_001,Euralliage Ile de France,official_company,https://www.euralliage.com/coordonnees.htm,"Coordinates page lists 3 rue des freres Montgolfier, ZI des Cressonnieres, 95500 Gonesse.",France,"3 rue des freres Montgolfier, ZI des Cressonnieres, 95500 Gonesse, France",tier3 non-ferrous metals stockist/trader/cutting service,high
SRC_TATA_STEEL_001,Tata Steel,official_group,https://www.tata.com/business/tata-steel,"Tata group page states Tata Steel operates in India in Jamshedpur, Gamharia, Kalinganagar and Meramandali.",India,Choose actual India plant from traceability,tier4 steel producer / upstream material producer,medium_high
SRC_DUPONT_001,DuPont de Nemours,official_company,https://www.dupont.com/locations.html.html,"DuPont locations page lists Wilmington, Delaware global headquarters and many global sites.",USA unless a specific non-US manufacturing site is proven,Choose product/site from DuPont locations and traceability,tier2 chemical/material producer or transformer,medium_high
SRC_NORDIC_PAPER_001,Nordic Paper,official_company,https://www.nordic-paper.com/en/contact,"Contact/about pages list mills in Sweden, Norway and Canada; not Finland.",Sweden / Norway / Canada depending mill,"Choose actual mill: Saffle/Amotfors/Backhammar, Sweden; Greaker, Norway; Quebec, Canada",specialty paper/pulp producer,high
SRC_SCHROTH_001,SCHROTH Safety Products,official_company,https://www.schroth.com/en/contact/,"Contact page lists SCHROTH Safety Products GmbH in Arnsberg, Germany and SCHROTH Safety Products LLC in Fort Lauderdale, USA.",Germany or USA depending actual site,"Germany: Arnsberg; USA: 5320 NW 35th Ave, Fort Lauderdale, FL 33309",safety restraint products supplier,high
SRC_ANJOU_001,Anjou Aeronautique,official_company,https://www.anjouaero.com/contact/,"Contact page lists 4 Rue Eugene Freyssinet, 78570 Chanteloup-les-Vignes, France.",France,"4 Rue Eugene Freyssinet, 78570 Chanteloup-les-Vignes, France",tier1 aeronautical interiors / manufacturing supplier,high
SRC_SENIOR_THAILAND_001,Senior Aerospace Thailand,official_company,https://www.senior-thailand.com/Web/contact,"Contact page lists factories at 789/115-116 and 789/198 Moo 1, Nhongkham Sriracha, Chonburi.",Thailand,"789/115-116 Moo 1, Nhongkham Sriracha, Chonburi 20230, Thailand",tier1 high-precision aerospace systems / cabin interiors manufacturer,high
SRC_SUMPAR_001,SUMPAR,official_company,https://www.sumpar.com/en/join-us/,"Official site lists SUMPAR at 134 Rue de la Forge Feret, 76520 Boos; metal parts/subassemblies for aeronautics.",France,"134 Rue de la Forge Feret, 76520 Boos, France",tier1 metal parts and technical subassemblies supplier,high
SRC_AMSAFE_001,AmSafe,official_company,https://www.amsafe.com/contact-us/,"Contact page lists AmSafe headquarters at 1043 N. 47th Avenue, Phoenix, Arizona 85043.",USA,"1043 N. 47th Avenue, Phoenix, Arizona 85043, USA",tier1 safety restraint products supplier,high
SRC_ALCOA_001,Alcoa,official_company,https://www.alcoa.com/global/en/who-we-are/locations,Locations page lists Alcoa global locations and Pittsburgh global headquarters.,USA / global depending commodity site,Choose actual mine/refinery/smelter; Pittsburgh HQ is fallback,tier4 aluminum/bauxite/alumina producer,medium_high
SRC_CONSTELLIUM_001,Constellium C-TEC / Constellium,official_company,https://www.constellium.com/locations/c-tec,"Constellium page lists C-TEC Voreppe at Parc Economique Centr Alp, 725 rue Aristide Berges, Voreppe.",France,"Parc Economique Centr Alp, 725 rue Aristide Berges, 38341 Voreppe Cedex, France",tier3 aluminum alloys/transformation supplier,medium_high
SRC_AMAG_001,AMAG Austria Metall,official_company,https://www.amag-al4u.com/impressum,"Imprint lists AMAG Austria Metall AG, Lamprechtshausener Strasse 61, 5282 Ranshofen, Austria.",Austria,"Lamprechtshausener Strasse 61, 5282 Ranshofen, Austria",tier3 aluminum casting/rolling/transformation supplier,high
SRC_TORAY_001,Toray Industries,official_company,https://www.toray.com/aboutus/outline.html,"Corporate outline lists Toray Industries, Inc. in Tokyo 103-8666, Japan.",Japan,"Tokyo 103-8666, Japan; choose actual production site from traceability",chemical/polymer/carbon-fiber materials producer,medium_high
SRC_ARCELORMITTAL_001,ArcelorMittal,official_company,https://luxembourg.arcelormittal.com/en/arcelormittal-in-luxembourg/headquarters,"Official page lists ArcelorMittal headquarters at 24-26 boulevard d Avranches, L-1160 Luxembourg.",Luxembourg / production country depends steel plant,"24-26 boulevard d Avranches, L-1160 Luxembourg for HQ; choose actual steel plant",tier4 steel and mining group / steel producer,medium_high
SRC_BASF_001,BASF,official_company,https://www.basf.com/tr/en/careers/why-join-basf/basf-at-a-glance/basf-headquarters,"BASF page identifies Ludwigshafen, Germany as headquarters and largest production site.",Germany,"Ludwigshafen am Rhein, Germany",tier4 chemical producer,medium_high
SRC_HINDALCO_001,Hindalco Industries,official_company,https://www.hindalco.com/contact-us/,Contact page lists corporate/registered offices in Mumbai and describes aluminium/copper activities.,India,Use actual India plant; corporate office Mumbai is fallback,tier4 aluminium/copper producer,medium_high
SRC_BAOWU_001,China Baowu / Baosteel,third_party_company_profile,https://craft.co/baosteel/locations,Company profile lists Baosteel/China Baowu headquarters in Shanghai; non-official fallback.,China,"Baosteel Tower, Shanghai, China; choose actual steel plant",tier4 steel producer,medium
SRC_AUBERT_001,Aubert & Duval,industry_association,https://www.aerospace-cluster.fr/membre/aubert-duval/,Aerospace Cluster page describes Aubert & Duval as metallurgical products/forgings supplier for aerospace.,France,Choose actual Aubert & Duval industrial site from traceability; Aubiere listing is fallback,tier3 metallurgical transformation / forgings supplier,medium_high
