severity,category,record_index,supplier_index,system,component,supplier_name,role_hint,location,normalized_location,country,lat,lon,geocode_provider,geocode_query,description,detail
MEDIUM,MARKET_SHARE_INVALID,2,,Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,2,"5,9",Ens. Stowage latéral,"15CDV6 (chrome, molibdene, vanadium)",Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [5, 9]"
HIGH,MASS_INVALID,3,,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,3,,Ens. Equipements latéraux,Ertalon par moulage par injection plastique,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,3,"3,6",Ens. Equipements latéraux,Ertalon par moulage par injection plastique,DuPont de Nemours,tier2_second_transformation,USA,USA,,47.7979001,7.190275,nominatim,"DuPont de Nemours, USA",Polymères techniques (Kevlar/Nomex),"duplicate supplier ('dupont de nemours', 'tier2_second_transformation', 'USA') at positions [3, 6]"
MEDIUM,MARKET_SHARE_INVALID,4,,Ensemble porte,FILM DECOR AERFILM - Ep0.33 714g-m2,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MARKET_SHARE_INVALID,5,,Bumper version porte,alliage Cu,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
HIGH,MASS_INVALID,6,,Ens. Stowage latéral,cuir,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,6,,Ens. Stowage latéral,cuir,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,6,,Ens. Stowage latéral,cuir,,,,,,,,,,,"role 'tier3_first_transformation' has 2 primary suppliers: ['La Filière Française du cuir', 'La Filière Française du cuir']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,6,,Ens. Stowage latéral,cuir,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['MGA Villeneuve St Lot', 'ACH']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,6,"1,5",Ens. Stowage latéral,cuir,La Filière Française du cuir,tier3_first_transformation,France,France,,48.8724514,2.3114773,nominatim,"105, Rue du Faubourg Saint-Honoré, Quartier du Faubourg-du-Roule, Paris 8e Arrondissement, Paris, Île-de-France, France métropolitaine, 75008, France",Cuir / regroupement industriel,"duplicate supplier ('la filiere francaise du cuir', 'tier3_first_transformation', 'France') at positions [1, 5]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,6,"2,6",Ens. Stowage latéral,cuir,Maison Fichet,tier2_second_transformation,France,France,,48.8706283,2.3633735,cache:nominatim,"Maison Fichet, France",Serrurerie / mobilier industriel,"duplicate supplier ('maison fichet', 'tier2_second_transformation', 'France') at positions [2, 6]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,6,"3,7",Ens. Stowage latéral,cuir,EUREKA SARL DERAYGE SERVICE,tier2_second_transformation,France,France,,44.8549,0.4151,manual,"9 Rue du Général de Gaulle, 24130 Prigonrieux, France",Maintenance / service industriel,"duplicate supplier ('eureka sarl derayge service', 'tier2_second_transformation', 'France') at positions [3, 7]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,6,"4,8",Ens. Stowage latéral,cuir,"Gruppo Mastrotto (Arzignano, Italie)",tier3_first_transformation,Italie,Italy,,45.556,11.341,manual,"Gruppo Mastrotto, Arzignano, Italy",Tannerie — 1ère transformation cuir,"duplicate supplier ('gruppo mastrotto arzignano italie', 'tier3_first_transformation', 'Italy') at positions [4, 8]"
HIGH,TRANSPORT_MODE_NOT_A_TRANSPORT_MODE,6,,Ens. Stowage latéral,cuir,,,,,,,,,,,to_first_transformation.modes contains non-mode value: Interne entreprise
HIGH,MASS_INVALID,7,,lightning,lightning,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,7,,lightning,lightning,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,7,,lightning,lightning,,,,,,,,,,,"role 'tier2_second_transformation' has 2 primary suppliers: ['Diodes Incorporated', 'E2IP']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,7,"5,13",lightning,lightning,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [5, 13]"
MEDIUM,MARKET_SHARE_INVALID,8,,Padding (rembourrage),AIRVOLT LAMINAT,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,8,,Padding (rembourrage),AIRVOLT LAMINAT,,,,,,,,,,,"role 'tier2_second_transformation' has 2 primary suppliers: ['Group Mondi', 'MGR FOAMTEX']"
HIGH,MASS_INVALID,9,,Stowage assemblé avec porte,Silicone,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,9,,Stowage assemblé avec porte,Silicone,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,9,,Stowage assemblé avec porte,Silicone,,,,,,,,,,,"role 'tier1' has 3 primary suppliers: ['General Electric', 'General Electric', 'MGA Villeneuve St Lot']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,9,"1,6",Stowage assemblé avec porte,Silicone,General Electric,tier1,USA,USA,,41.0195211,-75.1951162,cache:nominatim,"Général Electric, USA",Moteurs / systèmes électriques — Tier 1,"duplicate supplier ('general electric', 'tier1', 'USA') at positions [1, 6]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,9,"2,7",Stowage assemblé avec porte,Silicone,Saint-Gobain,tier3_first_transformation,France,France,,49.5967,3.3759,cache:nominatim,"Saint-Gobain, France",Verre / matériaux techniques,"duplicate supplier ('saint gobain', 'tier3_first_transformation', 'France') at positions [2, 7]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,9,"3,8",Stowage assemblé avec porte,Silicone,Rhône Poulenc,tier2_second_transformation,France,France,,50.2986,2.8154646,cache:nominatim,"Rhône Poulenc, France",Chimie industrielle,"duplicate supplier ('rhone poulenc', 'tier2_second_transformation', 'France') at positions [3, 8]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,9,"4,9",Stowage assemblé avec porte,Silicone,Toschiba-Shinetsu,tier3_first_transformation,Japon,Japan,,36.2048,138.2529,cache:nominatim,"Toschiba-Shinetsu, Japon",Chimie de spécialité — silicones,"duplicate supplier ('toschiba shinetsu', 'tier3_first_transformation', 'Japan') at positions [4, 9]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,9,"5,10",Stowage assemblé avec porte,Silicone,Silicon Engineering,tier2_second_transformation,Angleterre,United Kingdom,,55.3781,-3.436,cache:nominatim,"Silicon Engineering, Angleterre",Design électronique — sous-ensembles,"duplicate supplier ('silicon engineering', 'tier2_second_transformation', 'United Kingdom') at positions [5, 10]"
HIGH,MASS_INVALID,10,,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,10,,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,10,,System IFE (In-Flight Entertainment) est un ensemble d'équipements et de logiciels qui permet aux passagers d'occuper leur temps à bord d'un avion.,System IFE boitier ref FJKL1-3K1100-01ATAB,,,,,,,,,,,"role 'tier2_second_transformation' has 2 primary suppliers: ['BT Electronics', 'NVIDIA']"
HIGH,MASS_INVALID,11,,Coussin ottoman,tissu,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,11,,Coussin ottoman,tissu,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,11,,Coussin ottoman,tissu,,,,,,,,,,,"role 'tier2_second_transformation' has 2 primary suppliers: ['DuPont de Nemours', 'FRANKLIN']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,11,,Coussin ottoman,tissu,,,,,,,,,,,"role 'tier1' has 2 primary suppliers: ['GATTEFIN', 'MGA Villeneuve St Lot']"
HIGH,MASS_INVALID,12,,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,12,,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,12,,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,,,,,,,,,,,"role 'tier3_first_transformation' has 2 primary suppliers: ['Tissus:', 'Euralliage']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,12,"16,18",Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,Euralliage,tier3_first_transformation,France,France,,45.6310639,4.8237687,nominatim,"19, Rue Maurice Petit, Sérézin-du-Rhône, Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69360, France",Fonderie — 1ère transformation,"duplicate supplier ('euralliage', 'tier3_first_transformation', 'France') at positions [16, 18]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,12,"17,21",Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,TATA Steel,tier4_raw_material,Inde,India,,22.7853607,86.1994836,cache:nominatim,"TATA Steel, Inde",Acier primaire,"duplicate supplier ('tata steel', 'tier4_raw_material', 'India') at positions [17, 21]"
MEDIUM,RAW_MATERIALS_EMPTY,13,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,13,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,13,,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,13,"5,9",Accoudoir allée,30NCD6 (nickel-chrome- molibdene),Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [5, 9]"
MEDIUM,RAW_MATERIALS_EMPTY,14,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,14,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,14,,Ens. Palette optimisée,35NC6 (nickel-chrome),,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,15,,Ens. Equipements latéraux,acier,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,15,,Ens. Equipements latéraux,acier,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,15,,Ens. Equipements latéraux,acier,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,15,,Ens. Equipements latéraux,acier,,,,,,,,,,,"role 'tier1' has 7 primary suppliers: ['ESPACE', 'GATTEFIN', 'AM SAFE', 'MGA Villeneuve St Lot', 'Segnere Aero SAS', 'SENIOR AEROSPACE', 'JV Group']"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,15,,Ens. Equipements latéraux,acier,,,,,,,,,,,"role 'oem' has 2 primary suppliers: ['SAFRAN', 'Safran']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,15,"5,11",Ens. Equipements latéraux,acier,Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [5, 11]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,15,"6,8",Ens. Equipements latéraux,acier,TATA Steel,tier4_raw_material,Inde,India,,22.8025,86.1854,manual,"Tata Steel Plant, P.O. Bistupur, Jamshedpur 831001, Jharkhand, India",Acier primaire,"duplicate supplier ('tata steel', 'tier4_raw_material', 'India') at positions [6, 8]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,15,"7,12",Ens. Equipements latéraux,acier,Aubert&Duval,tier3_first_transformation,France,France,,45.9235016,2.8415731,cache:nominatim,"Aubert&Duval, France",Forge / métallurgie (1ère transformation),"duplicate supplier ('aubert duval', 'tier3_first_transformation', 'France') at positions [7, 12]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,15,"26,29",Ens. Equipements latéraux,acier,Jamco Niigata,tier1,Japan,Japan,,38.0218,139.4275,manual,"9-113 Shimizu, Tainai, Niigata 959-2600, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco niigata', 'tier1', 'Japan') at positions [26, 29]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,15,"27,30",Ens. Equipements latéraux,acier,Jamco Miyazaki,tier1,Japan,Japan,,31.8961,131.3429,manual,"8136-7 Tanocho-Ko, Miyazaki 889-1701, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco miyazaki', 'tier1', 'Japan') at positions [27, 30]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,15,"28,31",Ens. Equipements latéraux,acier,Jamco Philippines (Clark),tier1,Philippines,Philippines,,15.1858,120.5615,manual,"Building N7000, Gil Puyat Ave, Clark Freeport Zone, Pampanga 2023, Philippines",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco philippines clark', 'tier1', 'Philippines') at positions [28, 31]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,15,"34,35",Ens. Equipements latéraux,acier,SAFRAN,oem,France,France,,49.2625,2.003,manual,"ZA de la Reine Blanche, 60149 Saint-Crépin-Ibouvillers, France",OEM (constructeur / intégrateur final),"duplicate supplier ('safran', 'oem', 'France') at positions [34, 35]"
MEDIUM,RAW_MATERIALS_EMPTY,16,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,16,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,16,,Stowage assemblé avec porte,35NC6 (nickel-chrome),,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,RAW_MATERIALS_EMPTY,17,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,17,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,17,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,17,,Accoudoir allée,A2017 - Aluminium,,,,,,,,,,,"role 'tier1' has 3 primary suppliers: ['MGA Villeneuve St Lot', 'GATTEFIN', 'SENIOR AEROSPACE']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,17,"6,15",Accoudoir allée,A2017 - Aluminium,Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [6, 15]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,17,"18,30",Accoudoir allée,A2017 - Aluminium,Figeac Aéro,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aéro, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [18, 30]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,17,"20,29",Accoudoir allée,A2017 - Aluminium,GATTEFIN,tier1,France,France,,47.1426393,2.2372016,cache:nominatim,"GATTEFIN, France",Pièces métalliques — Tier 1,"duplicate supplier ('gattefin', 'tier1', 'France') at positions [20, 29]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,17,"22,25",Accoudoir allée,A2017 - Aluminium,Jamco Niigata,tier1,Japan,Japan,,38.0218,139.4275,manual,"9-113 Shimizu, Tainai, Niigata 959-2600, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco niigata', 'tier1', 'Japan') at positions [22, 25]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,17,"23,26",Accoudoir allée,A2017 - Aluminium,Jamco Miyazaki,tier1,Japan,Japan,,31.8961,131.3429,manual,"8136-7 Tanocho-Ko, Miyazaki 889-1701, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco miyazaki', 'tier1', 'Japan') at positions [23, 26]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,17,"24,27",Accoudoir allée,A2017 - Aluminium,Jamco Philippines (Clark),tier1,Philippines,Philippines,,15.1858,120.5615,manual,"Building N7000, Gil Puyat Ave, Clark Freeport Zone, Pampanga 2023, Philippines",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco philippines clark', 'tier1', 'Philippines') at positions [24, 27]"
MEDIUM,RAW_MATERIALS_EMPTY,18,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,18,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,18,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,18,,Ens. Stowage latéral,A2017 - Aluminium,,,,,,,,,,,"role 'tier1' has 3 primary suppliers: ['MGA Villeneuve St Lot', 'GATTEFIN', 'SENIOR AEROSPACE']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,18,"6,15",Ens. Stowage latéral,A2017 - Aluminium,Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [6, 15]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,18,"18,30",Ens. Stowage latéral,A2017 - Aluminium,Figeac Aéro,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aéro, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [18, 30]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,18,"20,29",Ens. Stowage latéral,A2017 - Aluminium,GATTEFIN,tier1,France,France,,47.1426393,2.2372016,cache:nominatim,"GATTEFIN, France",Pièces métalliques — Tier 1,"duplicate supplier ('gattefin', 'tier1', 'France') at positions [20, 29]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,18,"22,25",Ens. Stowage latéral,A2017 - Aluminium,Jamco Niigata,tier1,Japan,Japan,,38.0218,139.4275,manual,"9-113 Shimizu, Tainai, Niigata 959-2600, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco niigata', 'tier1', 'Japan') at positions [22, 25]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,18,"23,26",Ens. Stowage latéral,A2017 - Aluminium,Jamco Miyazaki,tier1,Japan,Japan,,31.8961,131.3429,manual,"8136-7 Tanocho-Ko, Miyazaki 889-1701, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco miyazaki', 'tier1', 'Japan') at positions [23, 26]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,18,"24,27",Ens. Stowage latéral,A2017 - Aluminium,Jamco Philippines (Clark),tier1,Philippines,Philippines,,15.1858,120.5615,manual,"Building N7000, Gil Puyat Ave, Clark Freeport Zone, Pampanga 2023, Philippines",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco philippines clark', 'tier1', 'Philippines') at positions [24, 27]"
MEDIUM,RAW_MATERIALS_EMPTY,19,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,,,raw_materials list is empty
HIGH,MASS_INVALID,19,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,,,"mass_kg should be positive, got 0.0"
MEDIUM,MARKET_SHARE_INVALID,19,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,,,"market_share_pct should be a 0-100 number, got ''"
MEDIUM,MULTIPLE_PRIMARY_SUPPLIERS_PER_ROLE,19,,Ens. Palette optimisée,A2017 - Aluminium,,,,,,,,,,,"role 'tier1' has 3 primary suppliers: ['MGA Villeneuve St Lot', 'GATTEFIN', 'SENIOR AEROSPACE']"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,19,"6,15",Ens. Palette optimisée,A2017 - Aluminium,Thyssen group,tier3_first_transformation,France,France,,48.758488,1.925304,nominatim,"6, Avenue Gutenberg, Zones d'activités de Pariwest, Maurepas, Rambouillet, Yvelines, Île-de-France, France métropolitaine, 78310, France",Métallurgie — 1ère transformation,"duplicate supplier ('thyssen group', 'tier3_first_transformation', 'France') at positions [6, 15]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,19,"18,30",Ens. Palette optimisée,A2017 - Aluminium,Figeac Aéro,tier1,France,France,,44.590773,2.0333182,cache:nominatim,"Figeac Aéro, France",Aéronautique — structures usinées (Tier 1),"duplicate supplier ('figeac aero', 'tier1', 'France') at positions [18, 30]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,19,"20,29",Ens. Palette optimisée,A2017 - Aluminium,GATTEFIN,tier1,France,France,,47.1426393,2.2372016,cache:nominatim,"GATTEFIN, France",Pièces métalliques — Tier 1,"duplicate supplier ('gattefin', 'tier1', 'France') at positions [20, 29]"
MEDIUM,DUPLICATE_SUPPLIER_SAME_RECORD_ROLE,19,"22,25",Ens. Palette optimisée,A2017 - Aluminium,Jamco Niigata,tier1,Japan,Japan,,38.0218,139.4275,manual,"9-113 Shimizu, Tainai, Niigata 959-2600, Japan",Systèmes intérieurs avion — Tier 1,"duplicate supplier ('jamco niigata', 'tier1', 'Japan') at positions [22, 25]"
