record_index,system,component,container,supplier,role_hint,fix_id,site_name,before_location,before_lat,before_lon,after_location,after_lat,after_lon,confidence,source_url,simulation_action
,Ens. Equipements latéraux,acier,suppliers,ArcelorMittal,tier4_raw_material,SITE_ARCELORMITTAL_INDUSTEEL,ArcelorMittal Industeel Le Creusot,Luxembourg,49.6116,6.1319,"Le Creusot / Torcy, France",46.7897099,4.4493912,medium,https://industeel.arcelormittal.com/legal-mentions/,Use Industeel Le Creusot as special-steel scenario candidate; certificate required before hard allocation.
,Ens. Equipements latéraux,acier,suppliers,China Baowu / Baosteel,tier4_raw_material,SITE_BAOSTEEL_BAOSHAN,Baosteel Baoshan / Fujin Road site,China,31.2304,121.4737,"Shanghai, China",31.4114498,121.4557873,medium,https://craft.co/baosteel/locations,Use Baoshan/Fujin Road as China steel mill candidate; require certificate for active allocation.
,Ens. Equipements latéraux,acier,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Ens. Equipements latéraux,acier,suppliers,Aubert & Duval,tier3_first_transformation,SITE_AUBERT_ANCIZES,Aubert & Duval Les Ancizes,France,45.7772,3.087,"Les Ancizes-Comps, France",45.9235016,2.8415731,high,https://www.space-aero.org/en/member/aubert-duval-les-ancizes/,Replace Aubiere/Clermont fallback with Les Ancizes metallurgical site.
,Ens. Equipements latéraux,acier,suppliers,Nucor Corp,tier4_raw_material,SITE_NUCOR_BERKELEY,Nucor Steel Berkeley,United States,35.2271,-80.8431,"Huger, United States",33.007,-79.879,medium_high,https://enviro.epa.gov/triexplorer/release_fac_profile?TRI=29450NCRST1455H,Replace Charlotte HQ fallback with Nucor Berkeley mill candidate.
,Accoudoir allée,A2017 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Accoudoir allée,A2017 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Accoudoir allée,A2017 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Accoudoir allée,A2017 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Accoudoir allée,A2017 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Ens. Stowage latéral,A2017 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Ens. Stowage latéral,A2017 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Ens. Stowage latéral,A2017 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Ens. Stowage latéral,A2017 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Ens. Stowage latéral,A2017 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Ens. Palette optimisée,A2017 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Ens. Palette optimisée,A2017 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Ens. Palette optimisée,A2017 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Ens. Palette optimisée,A2017 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Ens. Palette optimisée,A2017 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Ens. Tablette cocktail,A2017 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Ens. Tablette cocktail,A2017 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Ens. Tablette cocktail,A2017 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Ens. Tablette cocktail,A2017 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Ens. Tablette cocktail,A2017 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Ens. Tablette repas,A2017 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Ens. Tablette repas,A2017 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Ens. Tablette repas,A2017 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Ens. Tablette repas,A2017 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Ens. Tablette repas,A2017 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Ens. Têtière,A2017 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Ens. Têtière,A2017 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Ens. Têtière,A2017 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Ens. Têtière,A2017 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Ens. Têtière,A2017 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Stowage assemblé avec porte,A2017 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Stowage assemblé avec porte,A2017 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Stowage assemblé avec porte,A2017 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Stowage assemblé avec porte,A2017 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Stowage assemblé avec porte,A2017 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Support écran,A2017 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Support écran,A2017 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
,Support écran,A2017 - Aluminium,suppliers,Hindalco Industries,tier4_raw_material,SITE_HINDALCO_RENUKOOT,Hindalco Renukoot,India,19.076,72.8777,"Renukoot, India",24.2236632,83.0306552,high,https://www.hindalco.com/about-us/manufacturing/renukoot,Replace Mumbai corporate fallback with Renukoot aluminium plant.
,Support écran,A2017 - Aluminium,suppliers,Aluminium Corporation of China / Chalco,tier4_raw_material,SITE_CHALCO_QINGHAI,Chalco Qinghai Branch / Beichuan Industrial Park,China,39.9042,116.4074,"Xining, China",36.7653535,101.7640249,medium,https://www.chalco.com/en/sctxen/cpzsen/202012/t20201215_66289.html,Replace Beijing fallback with Qinghai smelter candidate; keep allocation validation required.
,Support écran,A2017 - Aluminium,suppliers,Tata Steel,tier4_raw_material,SITE_TATA_JAMSHEDPUR,Tata Steel Jamshedpur Works,India,22.7853607,86.1994836,"Jamshedpur, India",22.7853607,86.1994836,medium_high,https://www.tatasteel.com/contact-us/,Use Jamshedpur Works as steel mill candidate; keep certificate validation required.
,Accoudoir allée,A2024 - Aluminium,suppliers,Alcoa,tier4_raw_material,SITE_ALCOA_WARRICK,Alcoa Warrick Operations,United States,40.4406,-79.9959,"Newburgh, United States",37.9202921,-87.3302684,high,https://www.alcoa.com/global/en/pdf/Alcoa-Warrick-Fact-Sheet.pdf,Replace Pittsburgh fallback with Warrick primary aluminium operation.
,Accoudoir allée,A2024 - Aluminium,suppliers,Constellium,tier3_first_transformation,SITE_CONSTELLIUM_ISSOIRE,Constellium Issoire,France,45.3094248,5.607597,"Issoire, France",45.5583927,3.2601128,high,https://www.constellium.com/fr/sites-de-production/issoire,Replace Voreppe R&D fallback with Issoire aerospace production site.
