supplier_id,evidence_kind,event_date,scope,confidence,verification_status,summary,source_url
SDC-VD0520132A,certification,2026-01-01,groupe,0.65,source institutionnelle,"Le groupe déclare des systèmes mondiaux certifiés ISO 9001, 14001 et 45001 ; cette preuve n'est pas une certification spécifique de l'adresse du matricule.",https://www.clariant.com/en/Company/Corporate-Governance/Principles-and-Certifications
SDC-VD0525412A,success,2026-01-01,entité,0.65,déclaration fournisseur,"Deux sites, une production automatisée, la traçabilité et une organisation des stocks sont publiquement déclarés ; ces capacités restent à vérifier sur place.",https://www.freller.fr/entreprise/
SDC-VD0910216A,success,2025-01-01,entité,0.88,rapport institutionnel,"Une médaille EcoVadis Platinum avec un score annoncé de 92/100 et un classement dans le premier centile est documentée dans les engagements 2025.",https://www.tredis.fr/en/_files/ugd/3b80e1_c77f4ae6d18c447dab5751f53d3303b0.pdf
SDC-VD0914320A,certification,2024-05-01,entité,0.92,certificat tiers,"Un certificat ISO 9001:2015 est publié ; la date de validité doit être contrôlée directement dans le document avant usage contractuel.",https://www.carloerbareagents.com/medias/Certificat-ISO-9001-CARLO-ERBA-Reagents-052024.pdf
SDC-VD0914360C,certification,2026-01-01,site,0.80,source institutionnelle,"Le site déclare des référentiels ISO 9001, ISO 14001, FSC et PEFC pour ses emballages pharmaceutiques.",https://mm.group/locations/mmp-packetis-chazelles/
SDC-VD0914360C,regulatory,2024-02-09,site,0.95,autorité publique,"Un rapport d'inspection ICPE documente l'exploitation, le statut non-Seveso et l'introduction de nouvelles machines d'impression.",https://georisques.gouv.fr/webappReport/ws/installations/inspection/Pgq2JWBeOa5dvZR4bMBwIaYSUw1I8rdQ
SDC-VD0914690A,certification,2026-01-01,site,0.85,source institutionnelle,"La page qualité mondiale répertorie pour le site des référentiels EXCiPACT, ISO 14001 et ISO 9001 ; les certificats en cours doivent être téléchargés pour vérifier leurs dates.",https://www.lonza.com/sustainability/global-quality
SDC-VD0964290A,success,2026-01-01,groupe,0.60,source institutionnelle,"Le groupe publie un processus de gestion responsable des fournisseurs incluant qualification, évaluation des risques et audits ; preuve de gouvernance groupe, non du site du matricule.",https://www.merckgroup.com/en/sustainability/business-ethics/supply-chain-management.html
SDC-VD0989480A,regulatory,2023-10-17,site,0.95,autorité publique,"L'installation est enregistrée comme active, sous régime d'enregistrement et non-Seveso ; une inspection est répertoriée au 17 octobre 2023.",https://www.georisques.gouv.fr/risques/installations/donnees/details/0007205061
SDC-VD0990780A,certification,2026-01-01,entité,0.92,source institutionnelle,"Des certificats ISO 9001 et ISO 14001 valables jusqu'en 2027 ainsi qu'un certificat RSPO valable jusqu'en 2028 sont publiés.",https://www.spiganord.com/certifications-spiga-nord/
SDC-VD1091642A,certification,2026-01-01,site,0.95,source institutionnelle,"La page du site publie des certificats ISO 9001, 14001, 50001, FSSC 22000, GMP-pharma et RSPO.",https://www.oleon.com/certificates/oleon-venette-fr
SDC-VD1091642A,success,2025-01-01,site,0.88,source institutionnelle,"Modernisation du traitement des eaux annoncée pour 214 000 euros afin de réduire l'impact environnemental et d'améliorer le pilotage.",https://www.oleon.com/news/ecovadis-deep-dive-reducing-our-environmental-impact-through-smarter-water-management
SDC-VD1091642A,regulatory,2026-01-01,site,0.95,autorité publique,"Installation active soumise à autorisation, classée priorité nationale, non-Seveso et relevant de la directive IED ; inspection répertoriée en 2026.",https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101637
SDC-VD1095770A,certification,2026-01-01,site,0.92,source institutionnelle,"La page de certification répertorie pour le site FSC, PEFC, ISO 9001, 14001, 45001 et la conformité emballages de marchandises dangereuses.",https://www.saica.com/fr/certifications-saica-pack/
SDC-VD1095770A,success,2024-11-18,site,0.90,communiqué officiel,"Investissement annoncé dans un nouveau palettiseur afin d'améliorer capacité, ergonomie et continuité des opérations.",https://www.saica.com/fr/actualit%C3%A9/le-groupe-saica-poursuit-ses-investissements-en-france-avec-de-nouvelles-machines/
