record_index,system,component,material_family,present_chain,missing_tier_code,resolution_class,most_probable_resolution,recommended_modeling_decision,validation_question,candidate_name,confidence,source_urls
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
31,Ens. Stowage latéral,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",textile_leather,T4=MISSING | T3=Toray Industries | T2=Lelièvre Paris | T1=ESPACE,T4,probable_material_family_source,"T4 le plus probable: source amont de famille matiere, candidats/famille: fiber/polymer or hide upstream source.",Ne pas activer comme fournisseur unique; utiliser comme hypothese de famille tant que la specification matiere n'est pas connue.,"Valider composition exacte, grade, fiche matiere et fournisseur reel.",fiber/polymer or hide upstream source,medium,https://www.toray.com/global/;https://www.dupont.com/locations.html.html;https://www.basf.com/global/en/who-we-are/organization/locations/europe/german-sites/ludwigshafen;https://www.ultrafabricsinc.com/
33,Ens. Structure fauteuil,4140 (acier),steel,T4=Saarstahl | T3=Aubert & Duval | T2=MISSING | T1=Senior Aerospace Thailand,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",Senior Aerospace Thailand - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
34,Habillage sous fauteuil,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
35,Manchette acc. Mobile,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
36,Manchette équipée,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
37,Renfort tubulaire,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
38,Stowage assemblé avec porte,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
39,Structure ottoman horizontale,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
40,Support écran,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
41,Support équipé,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
42,Support manchette équipée,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
43,Support NFC,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
44,Renfort tubulaire,A6060 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=Groupe Segnere / SEGNERE Ade,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (Groupe Segnere / SEGNERE Ade).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",Groupe Segnere / SEGNERE Ade - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,aluminium,T4=Alcoa | T3=Euralliage Ile de France | T2=MISSING | T1=SUMPAR,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",SUMPAR - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,T4=Alcoa | T3=MISSING | T2=MISSING | T1=Senior Aerospace Thailand,T3,probable_existing_material_processor,"T3 le plus probable: un transformateur matiere deja present dans la supply, candidats: thyssenkrupp Materials France / Aubert & Duval / Euralliage.",Prioriser le candidat deja utilise sur la meme famille matiere; activer seulement avec traceabilite grade/site.,Valider stockiste/forge/lamineur/extrudeur exact et flux vers le T1.,thyssenkrupp Materials France / Aubert & Duval / Euralliage,medium,https://www.thyssenkrupp-aerospace.com/en/company/locations/france;https://www.aubertduval.com/;https://www.euralliage.com/coordonnees.htm
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),steel,T4=Alcoa | T3=MISSING | T2=MISSING | T1=Senior Aerospace Thailand,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (Senior Aerospace Thailand).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",Senior Aerospace Thailand - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
66,Accoudoir allée,Alu,aluminium,T4=Aluminium Corporation of China / Chalco | T3=Euralliage Ile de France | T2=MISSING | T1=SUMPAR,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",SUMPAR - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
67,Ens. Palette optimisée,Alu,aluminium,T4=Aluminium Corporation of China / Chalco | T3=Euralliage Ile de France | T2=MISSING | T1=SUMPAR,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",SUMPAR - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
68,Ensemble porte,Alu,aluminium,T4=Aluminium Corporation of China / Chalco | T3=Euralliage Ile de France | T2=MISSING | T1=SUMPAR,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",SUMPAR - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
69,Ens. Structure fauteuil,A5086 - Aluminium,aluminium,T4=Alcoa | T3=AMAG Austria Metall | T2=MISSING | T1=ESPACE,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (ESPACE).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",ESPACE - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
70,Manchette acc. Mobile,Alu,aluminium,T4=Aluminium Corporation of China / Chalco | T3=Euralliage Ile de France | T2=MISSING | T1=SUMPAR,T2,probable_internalized_process,T2 le plus probable: operation internalisee chez le T1 primaire (SUMPAR).,Ne pas creer un fournisseur externe; creer un noeud process virtuel T2 rattache au T1 si la simulation exige un T2 explicite.,"Valider gamme/process: usinage, formage, decoupe, traitement, kitting ou assemblage chez le T1.",SUMPAR - machining/forming process owner,medium_high,https://www.groupe-lauak.com/lauak-groupe/presentation-du-groupe/sites/;https://www.sumpar.com/en/join-us/;https://www.figeac-aero.com/fr/contact
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,general,T4=Saarstahl | T3=Aubert & Duval | T2=MISSING | T1=TE Connectivity,T2,probable_process_unknown_owner,T2 le plus probable: process intermediaire reel mais proprietaire inconnu.,Garder le pont visuel; ne pas creer de fournisseur tant que routing/achat ne donne pas le site.,"Valider routing industriel, sous-traitant eventuel, et responsabilite T1/T2.",process owner not identified,low,
73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T4=MISSING | T3=MISSING | T2=e2ip technologies | T1=MISSING,T4,do_not_infer_from_cots,T4: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte.,Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu.,"Valider BOM electronique, EMS/ODM, integrateur, distributeur, et reference composant.",do not infer generic semiconductor/foundry tier,low,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/
73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T4=MISSING | T3=MISSING | T2=e2ip technologies | T1=MISSING,T3,do_not_infer_from_cots,T3: ne pas inferer depuis les marques COTS; il faut la BOM electronique exacte.,Conserver hors reseau switchable; ajouter seulement le fournisseur de carte/equipement exact si connu.,"Valider BOM electronique, EMS/ODM, integrateur, distributeur, et reference composant.",electronics sub-tier unknown,low,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/
73,SFCU (Seat Function Control Unit),Clavier,electronics_cots,T4=MISSING | T3=MISSING | T2=e2ip technologies | T1=MISSING,T1,probable_direct_supplier_requires_part_number,"T1 le plus probable: integrateur ou fournisseur direct a confirmer par part number, candidats: Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment.",Ne pas activer avant d'avoir le fournisseur programme ou le part number; sinon modeliser comme operation interne Safran.,"Valider part number, fournisseur programme, site, statut qualifie, lead time et allocation.",Thales / Honeywell Aerospace / Collins / Auberon depending exact equipment,medium_low,https://www.thalesgroup.com/en/markets/aerospace;https://aerospace.honeywell.com/;https://www.collinsaerospace.com/;https://auberon-technologies.com/
74,Commande actionnement ECU,Commande actionnement ECU,electronics_cots,T4=Saarstahl | T3=Aurubis | T2=MISSING | T1=Liebherr Aerospace,T2,probable_process_unknown_owner,T2 le plus probable: process intermediaire reel mais proprietaire inconnu.,Garder le pont visuel; ne pas creer de fournisseur tant que routing/achat ne donne pas le site.,"Valider routing industriel, sous-traitant eventuel, et responsabilite T1/T2.",process owner not identified,low,
75,bumper version porte,copolymere lexan fst simapro: extrusion et thermoformage,polymer_plastic,T4=SABIC | T3=Euralliage Ile de France | T2=MISSING | T1=SUMPAR,T2,manual_review_required,T2: tier probable non determinable sans information metier supplementaire.,Garder hors simulation active.,"Faire valider par achat/engineering avec BOM, drawing, routing ou certificat.",specialist plastics/rubber/composite processor to validate,medium,https://plastiservice.com/nos-implantations/;https://www.exsto.com/en/contact
