record_index,supplier,change_type,old_location,new_location,note
21,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
21,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
22,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
22,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
22,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
23,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
23,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
23,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
24,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
24,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
24,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
25,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
25,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
25,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
26,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
26,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
26,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
27,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
27,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
27,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
28,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
28,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
28,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
29,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
29,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
30,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
30,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
31,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
31,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
32,Toray Industries,toray_generic_unknown_site,Japan,unknown textile mill / supplier-specific site,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres"
33,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
33,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
33,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
34,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
34,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
35,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
35,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
36,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
36,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
37,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
37,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
38,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
38,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
39,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
39,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
40,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
40,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
41,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
41,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
42,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
42,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
43,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
43,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
44,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
44,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
45,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
45,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
45,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
45,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
46,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
46,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
46,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
46,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
47,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
47,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
47,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
47,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
48,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
48,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
48,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
48,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
49,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
49,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
49,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
49,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
52,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
52,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
52,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
52,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
53,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
53,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
53,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
53,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
54,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
54,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
54,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
55,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
55,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
55,XPO Logistic,xpo_lyon_company_node,"Greenwich, United States","Lyon, France","Use for company-level EU logistics node, not lane depot."
56,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
56,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
56,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
56,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
57,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
57,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
57,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
57,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
58,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
58,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
58,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
58,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
59,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
59,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
59,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
59,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
60,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
60,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
60,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
60,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
61,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
61,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
61,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
61,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
62,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
62,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
62,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
62,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
63,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
63,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
63,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
63,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
64,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
64,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
64,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
64,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
65,ArcelorMittal,candidate_site_metadata_refined,"Le Creusot / Torcy, France","Le Creusot, France",KEEP_AS_SPECIAL_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
65,China Baowu / Baosteel,candidate_site_metadata_refined,"Shanghai, China","Shanghai / Baoshan, China",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
65,Tata Steel,candidate_site_metadata_refined,"Jamshedpur, India","Jamshedpur / Jharkhand, India",KEEP_AS_STEEL_CANDIDATE_REMOVE_FROM_ALUMINIUM
65,Nucor Corp,candidate_site_metadata_refined,"Huger, United States","Huger / South Carolina, United States",KEEP_AS_STEEL_CANDIDATE_CERTIFICATE_REQUIRED
66,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
66,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
67,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
67,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
68,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
68,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
69,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
69,Aluminium Corporation of China / Chalco,candidate_site_metadata_refined,"Xining, China","Xining / Qinghai, China",KEEP_AS_ALUMINIUM_PRODUCER_CANDIDATE_CERTIFICATE_REQUIRED
70,Tata Steel,removed_from_aluminium_chain,"Jamshedpur, India",,Tata Steel kept only for steel records.
