scope,record_index,system,component,material_family,path_status,logical_path,mappable_path,present_roles,mappable_roles,missing_roles,unpositioned_roles,gap_action_classes,gap_count,primary_t4,primary_t3,primary_t2,primary_t1,all_t4_count,all_t3_count,all_t2_count,all_t1_count,all_switchability_note
all,11,Coussin ottoman,tissu,textile_leather,valid_but_upstream_not_switchable,"T4=MISSING > T3=Zhejiang Yuxin Textile Co.,Ltd. | Toray Industries | Huddersfield Textiles | DIATEX | Groupe SAGAERT | ASD Textiles | TELATEX > T2=DuPont de Nemours | LATIM | FRANKLIN > T1=ETS Gattefin | Celso SAS | ACH | MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group","T4=MISSING/UNMAPPED > T3=Zhejiang Yuxin Textile Co.,Ltd. | Huddersfield Textiles | DIATEX | Groupe SAGAERT | ASD Textiles | TELATEX > T2=DuPont de Nemours | LATIM | FRANKLIN > T1=ETS Gattefin | Celso SAS | ACH | MGA Villeneuve St Lot > OEM=Safran Seats / Safran internal group",T3;T2;T1;OEM,T3;T2;T1;OEM,T4,,accepted_upstream_family_unknown,1,,"Zhejiang Yuxin Textile Co.,Ltd. [baseline_primary]",DuPont de Nemours [baseline_primary],ETS Gattefin [baseline_primary],0,7,3,4,T3 alternates=6; T2 alternates=2; T1 alternates=3; validate qualification/capacity/share before stress-test activation
all,12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,aluminium,complete_direct,"T4=BASF | Bayer | Aluminium Corporation of China / Chalco | Hindalco Industries | Rio Tinto Alma Works | Rio Tinto Fer et Titane > T3=Zhejiang Yuxin Textile Co.,Ltd. | Toray Industries | Huddersfield Textiles | Euralliage Ile de France | Aluminium France | thyssenkrupp Materials France > T2=DuPont de Nemours | LATIM | Ensinger | MGR Foamtex Ltd > T1=ACH | Celso SAS > OEM=Safran Seats / Safran internal group","T4=BASF | Bayer | Aluminium Corporation of China / Chalco | Hindalco Industries | Rio Tinto Alma Works | Rio Tinto Fer et Titane > T3=Zhejiang Yuxin Textile Co.,Ltd. | Huddersfield Textiles | Euralliage Ile de France | Aluminium France | thyssenkrupp Materials France > T2=DuPont de Nemours | LATIM | Ensinger | MGR Foamtex Ltd > T1=ACH | Celso SAS > OEM=Safran Seats / Safran internal group",T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,BASF [baseline_primary],"Zhejiang Yuxin Textile Co.,Ltd. [baseline_primary_inferred_after_review]",MGR Foamtex Ltd [baseline_primary],ACH [baseline_primary],6,6,4,2,T4 alternates=5; T3 alternates=5; T2 alternates=3; T1 alternates=1; validate qualification/capacity/share before stress-test activation
all,13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),steel,valid_with_internalized_process_bridge,T4=Saarstahl | ArcelorMittal | China Baowu / Baosteel | Tata Steel | Nucor Corp > T3=Krupp | thyssenkrupp Materials France | Altec Etirage | Aubert & Duval > T2=MISSING > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Groupe LAUAK > OEM=Safran Seats / Safran internal group,T4=Saarstahl | ArcelorMittal | China Baowu / Baosteel | Tata Steel | Nucor Corp > T3=Krupp | thyssenkrupp Materials France | Altec Etirage | Aubert & Duval > T2=MISSING/UNMAPPED > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Groupe LAUAK > OEM=Safran Seats / Safran internal group,T4;T3;T1;OEM,T4;T3;T1;OEM,T2,,accepted_internalized_process,1,Saarstahl [baseline_primary],Aubert & Duval [baseline_primary],,SUMPAR [baseline_primary],5,4,0,3,T4 alternates=4; T3 alternates=3; T1 alternates=2; validate qualification/capacity/share before stress-test activation
all,14,Ens. Palette optimisée,35NC6 (nickel-chrome),steel,requires_certificate_or_routing,T4=MISSING > T3=Euralliage Ile de France > T2=MISSING > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Groupe LAUAK > OEM=Safran Seats / Safran internal group,T4=MISSING/UNMAPPED > T3=Euralliage Ile de France > T2=MISSING/UNMAPPED > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Groupe LAUAK > OEM=Safran Seats / Safran internal group,T3;T1;OEM,T3;T1;OEM,T4;T2,,requires_material_certificate;accepted_internalized_process,2,,Euralliage Ile de France [baseline_primary],,SUMPAR [baseline_primary],0,1,0,3,T1 alternates=2; validate qualification/capacity/share before stress-test activation
all,15,Ens. Equipements latéraux,acier,steel,complete_direct,T4=Saarstahl | ArcelorMittal | China Baowu / Baosteel | Tata Steel | Nucor Corp > T3=Krupp | thyssenkrupp Materials France | Aubert & Duval | Altec Etirage > T2=SCHROTH Safety Products > T1=ESPACE | Groupe LAUAK | ETS Gattefin | AmSafe | J&C Aero | Anjou Aeronautique | MGA Villeneuve St Lot | Ancra International | TA Aerospace | SUMPAR | Groupe Segnere / SEGNERE Ade | Senior Aerospace Thailand | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | L&P Aerospace | JV Group > OEM=Safran Seats / Safran internal group,T4=Saarstahl | ArcelorMittal | China Baowu / Baosteel | Tata Steel | Nucor Corp > T3=Krupp | thyssenkrupp Materials France | Aubert & Duval | Altec Etirage > T2=SCHROTH Safety Products > T1=ESPACE | Groupe LAUAK | ETS Gattefin | AmSafe | J&C Aero | Anjou Aeronautique | MGA Villeneuve St Lot | Ancra International | TA Aerospace | SUMPAR | Groupe Segnere / SEGNERE Ade | Senior Aerospace Thailand | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | L&P Aerospace | JV Group > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Saarstahl [baseline_primary],Aubert & Duval [baseline_primary],SCHROTH Safety Products [baseline_primary],ESPACE [baseline_primary],5,4,1,17,T4 alternates=4; T3 alternates=3; T1 alternates=16; validate qualification/capacity/share before stress-test activation
all,16,Stowage assemblé avec porte,35NC6 (nickel-chrome),steel,requires_certificate_or_routing,T4=MISSING > T3=MISSING > T2=MISSING > T1=ETS Gattefin | SUMPAR | Groupe LAUAK > OEM=Safran Seats / Safran internal group,T4=MISSING/UNMAPPED > T3=MISSING/UNMAPPED > T2=MISSING/UNMAPPED > T1=ETS Gattefin | SUMPAR | Groupe LAUAK > OEM=Safran Seats / Safran internal group,T1;OEM,T1;OEM,T4;T3;T2,,requires_material_certificate;requires_material_certificate;accepted_internalized_process,3,,,,ETS Gattefin [baseline_primary],0,0,0,3,T1 alternates=2; validate qualification/capacity/share before stress-test activation
all,17,Accoudoir allée,A2017 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,18,Ens. Stowage latéral,A2017 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,19,Ens. Palette optimisée,A2017 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,20,Ens. Tablette cocktail,A2017 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,21,Ens. Tablette repas,A2017 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,22,Ens. Têtière,A2017 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,23,Stowage assemblé avec porte,A2017 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,24,Support écran,A2017 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | Groupe LAUAK | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,10,T4 alternates=2; T3 alternates=4; T1 alternates=9; validate qualification/capacity/share before stress-test activation
all,25,Accoudoir allée,A2024 - Aluminium,aluminium,complete_direct,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4=Alcoa | Hindalco Industries | Aluminium Corporation of China / Chalco > T3=Constellium | AMAG Austria Metall | thyssenkrupp Materials France | Euralliage Ile de France | Aluminium France > T2=Combigo > T1=SUMPAR | Groupe Segnere / SEGNERE Ade | Figeac Aero | MGA Villeneuve St Lot | ETS Gattefin | JAMCO Aircraft Interiors - Niigata | JAMCO Aircraft Interiors - Miyazaki | JAMCO Philippines Inc. | Senior Aerospace Thailand > OEM=Safran Seats / Safran internal group,T4;T3;T2;T1;OEM,T4;T3;T2;T1;OEM,,,,0,Alcoa [baseline_primary],AMAG Austria Metall [baseline_primary],Combigo [baseline_primary],SUMPAR [baseline_primary],3,5,1,9,T4 alternates=2; T3 alternates=4; T1 alternates=8; validate qualification/capacity/share before stress-test activation
