month_index,year,month,temp_c,humidity_pct,precip_mm,wind_ms,heat_index_c,heatwave,drought,storm_stress,climate_event,operational_feedback_event,backlog_end,capacity_utilization,grid_share,scarcity,outbound_mode,regime_environnemental,evt_canicule,evt_secheresse,evt_tempete_inondation,evt_maintenance_corrective,evt_congestion_logistique,evt_overtime_energetique,evt_capacite_appoint,evt_recalage_qualite,evt_stress_biomasse_locale,evt_stress_hydrique_matiere_locale
11,2026,11,7.583682008368199,72.0,69.0732030285057,5.152627944162883,7.583682008368199,0.0,0.0,0.0,aucun,aucun,0.0,0.4456720626398962,0.8901754630410343,0.11171548117154813,truck,nominal,0,0,0,0,0,0,0,0,0,0
12,2026,12,2.833719960007321,75.66025403784438,83.3886260061224,5.300000000000001,2.833719960007321,0.0,0.0,0.0,aucun,aucun,0.0,0.4617845398550084,0.9050074685668363,0.11288702928870294,truck,nominal,0,0,0,0,0,0,0,0,0,0
13,2027,1,1.100418410041841,77.0,94.65247584249853,5.152627944162883,1.100418410041841,0.0,0.0,0.0,aucun,aucun,0.0,0.48449057974117865,0.913255406367365,0.11405857740585774,truck,nominal,0,0,0,0,0,0,0,0,0,0
14,2027,2,2.850456361680958,75.66025403784438,99.84661307031165,4.75,2.850456361680958,0.0,0.0,0.0,aucun,aucun,0.0,0.5050433478537721,0.9128595179787774,0.11523012552301257,truck,nominal,0,0,0,0,0,0,0,0,0,0
15,2027,3,7.617154811715481,72.0,97.57927281399283,4.2,7.617154811715481,0.0,0.0,0.0,aucun,aucun,0.0,0.5209268918488706,0.9060866920533808,0.11640167364016737,truck,nominal,0,0,0,0,0,0,0,0,0,0
16,2027,4,14.125523012552302,67.0,88.45798706418924,3.6500000000000004,14.125523012552302,0.0,0.0,0.0,aucun,aucun,0.0,0.5271295928971362,0.8945996673563454,0.11757322175732218,truck,nominal,0,0,0,0,0,0,0,0,0,0
17,2027,5,20.63389121338912,62.0,74.9267969714943,3.2473720558371175,20.63389121338912,0.0,0.0,0.0,aucun,aucun,0.0,0.5220594629070864,0.8803678279989552,0.11874476987447699,truck,nominal,0,0,0,0,0,0,0,0,0,0
18,2027,6,25.400589663423645,58.33974596215561,60.61137399387759,3.1,26.467769340396092,0.0,0.0,0.0,aucun,aucun,0.0,0.5083895318285276,0.8726263737645472,0.11991631799163181,truck,nominal,0,0,0,0,0,0,0,0,0,0
19,2027,7,27.15062761506276,57.0,49.347524157501475,3.2473720558371175,28.11062761506276,0.0,0.0,0.0,aucun,aucun,0.0,0.4887125560704061,0.8671365043032626,0.12108786610878662,truck,nominal,0,0,0,0,0,0,0,0,0,0
20,2027,8,25.417326065097285,58.33974596215561,44.15338692968835,3.6499999999999995,26.484505742069732,0.0,0.0,0.0,aucun,aucun,0.0,0.4675223313564765,0.8622144629742656,0.12225941422594143,truck,nominal,0,0,0,0,0,0,0,0,0,0
21,2027,9,20.667364016736407,61.99999999999999,46.42072718600717,4.2,20.667364016736407,0.0,0.0,0.0,aucun,aucun,0.0,0.45157236856673616,0.8634945076684319,0.12343096234309624,truck,nominal,0,0,0,0,0,0,0,0,0,0
22,2027,10,14.175732217573223,67.0,55.542012935810746,4.75,14.175732217573223,0.0,0.0,0.0,aucun,aucun,0.0,0.44653505533134874,0.8767860107336137,0.12460251046025106,truck,nominal,0,0,0,0,0,0,0,0,0,0
23,2027,11,7.68410041841004,72.0,69.0732030285057,5.152627944162883,7.68410041841004,0.0,0.0,0.0,aucun,aucun,0.0,0.4527478259660976,0.8923185526174855,0.12577405857740587,truck,nominal,0,0,0,0,0,0,0,0,0,0
24,2027,12,2.9341383700491623,75.66025403784438,83.3886260061224,5.300000000000001,2.9341383700491623,0.0,0.0,0.0,aucun,aucun,0.0,0.4687337164463435,0.9067416552182569,0.12694560669456068,truck,nominal,0,0,0,0,0,0,0,0,0,0
25,2028,1,1.200836820083682,77.0,94.65247584249853,5.152627944162883,1.200836820083682,0.0,0.0,0.0,aucun,aucun,0.0,0.4913489727905103,0.9147649308631296,0.12811715481171548,truck,nominal,0,0,0,0,0,0,0,0,0,0
26,2028,2,2.9508747717227988,75.66025403784438,99.84661307031165,4.75,2.9508747717227988,0.0,0.0,0.0,aucun,aucun,0.0,0.511819408730834,0.914325534278454,0.1292887029288703,truck,nominal,0,0,0,0,0,0,0,0,0,0
27,2028,3,7.7175732217573225,72.0,97.57927281399283,4.2,7.7175732217573225,0.0,0.0,0.0,aucun,aucun,0.0,0.5277002543296477,0.9076426571063766,0.1304602510460251,truck,nominal,0,0,0,0,0,0,0,0,0,0
28,2028,4,14.225941422594142,67.0,88.45798706418924,3.6500000000000004,14.225941422594142,0.0,0.0,0.0,aucun,aucun,0.0,0.533876597473429,0.8963185933222939,0.13163179916317994,truck,nominal,0,0,0,0,0,0,0,0,0,0
29,2028,5,20.734309623430963,62.0,74.9267969714943,3.2473720558371175,20.734309623430963,0.0,0.0,0.0,aucun,aucun,0.0,0.5288240198862252,0.8823526063024291,0.13280334728033474,truck,nominal,0,0,0,0,0,0,0,0,0,0
30,2028,6,25.50100807346549,58.33974596215561,60.61137399387759,3.1,26.568187750437936,0.0,0.0,0.0,aucun,aucun,0.0,0.5152518303434023,0.8749236592626776,0.13397489539748955,truck,nominal,0,0,0,0,0,0,0,0,0,0
31,2028,7,27.251046025104603,57.0,49.347524157501475,3.2473720558371175,28.211046025104604,0.0,0.0,0.0,aucun,aucun,0.0,0.4956491962424685,0.8695995065285466,0.13514644351464436,truck,nominal,0,0,0,0,0,0,0,0,0,0
32,2028,8,25.51774447513913,58.33974596215561,44.15338692968835,3.6499999999999995,26.584924152111576,0.0,0.0,0.0,aucun,aucun,0.0,0.4745391514200372,0.8648843808440457,0.13631799163179917,truck,nominal,0,0,0,0,0,0,0,0,0,0
33,2028,9,20.767782426778247,61.99999999999999,46.42072718600717,4.2,20.767782426778247,0.0,0.0,0.0,aucun,aucun,0.0,0.4586022581400315,0.8660545969398786,0.13748953974895398,truck,nominal,0,0,0,0,0,0,0,0,0,0
34,2028,10,14.276150627615065,67.0,55.542012935810746,4.75,14.276150627615065,0.0,0.0,0.0,aucun,aucun,0.0,0.4535822496639581,0.8791276073755423,0.1386610878661088,truck,nominal,0,0,0,0,0,0,0,0,0,0
35,2028,11,7.784518828451881,72.0,69.0732030285057,5.152627944162883,7.784518828451881,0.0,0.0,0.0,aucun,aucun,0.0,0.45976859433427447,0.8943683153900664,0.13983263598326362,truck,nominal,0,0,0,0,0,0,0,0,0,0
36,2028,12,3.034556780091003,75.66025403784438,83.3886260061224,5.300000000000001,3.034556780091003,0.0,0.0,0.0,aucun,aucun,0.0,0.47564996316529273,0.9084289535982976,0.14100418410041843,truck,nominal,0,0,0,0,0,0,0,0,0,0
37,2029,1,1.301255230125523,77.0,94.65247584249853,5.152627944162883,1.301255230125523,0.0,0.0,0.0,aucun,aucun,0.0,0.49815409485208095,0.9162276989659967,0.14217573221757324,truck,nominal,0,0,0,0,0,0,0,0,0,0
38,2029,2,3.0512931817646396,75.66025403784438,99.84661307031165,4.75,3.0512931817646396,0.0,0.0,0.0,aucun,aucun,0.0,0.5185741001451049,0.9157597024861809,0.14334728033472804,truck,nominal,0,0,0,0,0,0,0,0,0,0
39,2029,3,7.817991631799163,72.0,97.57927281399283,4.2,7.817991631799163,0.0,0.0,0.0,aucun,aucun,0.0,0.5344210403093341,0.9091519489737724,0.14451882845188285,truck,nominal,0,0,0,0,0,0,0,0,0,0
40,2029,4,14.326359832635983,67.0,88.45798706418924,3.6500000000000004,14.326359832635983,0.0,0.0,0.0,aucun,aucun,0.0,0.5405712470781571,0.897986532759143,0.14569037656903766,truck,nominal,0,0,0,0,0,0,0,0,0,0
41,2029,5,20.834728033472803,62.0,74.9267969714943,3.2473720558371175,20.834728033472803,0.0,0.0,0.0,aucun,aucun,0.0,0.5355361026578763,0.8842733295388803,0.14686192468619247,truck,nominal,0,0,0,0,0,0,0,0,0,0
42,2029,6,25.60142648350733,58.33974596215561,60.61137399387759,3.1,26.668606160479776,0.0,0.0,0.0,aucun,aucun,0.0,0.5220609136475636,0.8771441855672775,0.14803347280334728,truck,nominal,0,0,0,0,0,0,0,0,0,0
43,2029,7,32.413807531380755,57.844832635983266,49.347524157501475,3.2473720558371175,33.44139414225942,0.051725941422594346,0.0,0.0,canicule,site en surchauffe,1.1633536153974902,0.5903368733366127,0.8871759567278042,0.14920502092050208,truck,tendu,1,0,0,0,0,0,0,0,0,0
44,2029,8,30.69389510275419,58.582609248119574,44.15338692968835,3.6499999999999995,31.780503842603757,0.0,0.0,0.0,aucun,capacite d'appoint,0.0,0.5820827471814326,0.882891045213655,0.15037656903765692,truck,nominal,0,0,0,0,0,0,1,0,0,0
45,2029,9,20.868200836820087,61.99999999999999,46.42072718600717,4.2,20.868200836820087,0.0,0.0,0.0,aucun,aucun,0.0,0.46557768567294705,0.8684905414505033,0.15154811715481173,truck,nominal,0,0,0,0,0,0,0,0,0,0
46,2029,10,14.376569037656905,67.0,55.542012935810746,4.75,14.376569037656905,0.0,0.0,0.0,aucun,aucun,0.0,0.4605748655105207,0.8813767833272352,0.15271966527196654,truck,nominal,0,0,0,0,0,0,0,0,0,0
47,2029,11,7.884937238493722,72.0,69.0732030285057,5.152627944162883,7.884937238493722,0.0,0.0,0.0,aucun,aucun,0.0,0.4667350064184435,0.8963774293038876,0.15389121338912135,truck,nominal,0,0,0,0,0,0,0,0,0,0
48,2029,12,3.1349751901328444,75.66025403784438,83.3886260061224,5.300000000000001,3.1349751901328444,0.0,0.0,0.0,aucun,aucun,0.0,0.4825526700200472,0.9101136296319177,0.15506276150627618,truck,nominal,0,0,0,0,0,0,0,0,0,0
49,2030,1,1.401673640167364,77.0,94.65247584249853,5.152627944162883,1.401673640167364,0.0,0.0,0.0,aucun,aucun,0.0,0.5049065641800017,0.9176793655002615,0.156234309623431,truck,nominal,0,0,0,0,0,0,0,0,0,0
50,2030,2,3.151711591806481,75.66025403784438,99.84661307031165,4.75,3.151711591806481,0.0,0.0,0.0,aucun,aucun,0.0,0.5253063545355892,0.917190774046085,0.1574058577405858,truck,nominal,0,0,0,0,0,0,0,0,0,0
51,2030,3,7.918410041841004,72.0,97.57927281399283,4.2,7.918410041841004,0.0,0.0,0.0,aucun,aucun,0.0,0.5410898595887662,0.9106468878167071,0.1585774058577406,truck,nominal,0,0,0,0,0,0,0,0,0,0
52,2030,4,14.426778242677825,67.0,88.45798706418924,3.6500000000000004,14.426778242677825,0.0,0.0,0.0,aucun,aucun,0.0,0.5472141487472058,0.8996392401724117,0.1597489539748954,truck,nominal,0,0,0,0,0,0,0,0,0,0
53,2030,5,20.935146443514643,62.0,74.9267969714943,3.2473720558371175,20.935146443514643,0.0,0.0,0.0,aucun,aucun,0.0,0.5421963194445286,0.8861730698509958,0.16092050209205022,truck,nominal,0,0,0,0,0,0,0,0,0,0
54,2030,6,25.70184489354917,58.33974596215561,60.61137399387759,3.1,26.769024570521616,0.0,0.0,0.0,aucun,aucun,0.0,0.528817398353853,0.8793430148044116,0.16209205020920503,truck,nominal,0,0,0,0,0,0,0,0,0,0
55,2030,7,27.451882845188283,57.0,49.347524157501475,3.2473720558371175,28.411882845188284,0.0,0.0,0.0,aucun,aucun,0.0,0.5093617764746382,0.8743349955410635,0.16326359832635984,truck,nominal,0,0,0,0,0,0,0,0,0,0
56,2030,8,25.71858129522281,58.33974596215561,44.15338692968835,3.6499999999999995,26.785760972195256,0.0,0.0,0.0,aucun,aucun,0.0,0.48841028620758775,0.8700002326891051,0.16443514644351465,truck,nominal,0,0,0,0,0,0,0,0,0,0
57,2030,9,20.968619246861927,61.99999999999999,46.42072718600717,4.2,20.968619246861927,0.0,0.0,0.0,aucun,aucun,0.0,0.4724992816167699,0.8709509804074533,0.16560669456066945,truck,nominal,0,0,0,0,0,0,0,0,0,0
58,2030,10,13.637891213389123,75.39096234309623,115.67724306133374,10.059811244069879,13.637891213389123,0.0,0.0,0.11196224881397576,tempete / inondation,desorganisation logistique,5.767679999999999,0.5747158096328996,0.890583862934794,0.1869314474643399,truck,tendu,0,0,1,0,0,0,0,0,0,0
59,2030,11,7.143748953974894,80.4160669456067,129.38834947202034,11.571461592301079,7.143748953974894,0.0,0.0,0.41429231846021575,tempete / inondation,desorganisation logistique + capacite d'appoint,7.690892593262365,0.9098425575242856,0.9354107672405396,0.2425224081178179,truck,tendu,0,0,1,0,0,0,1,0,0,0
60,2030,12,3.2353936001746852,75.66025403784438,83.3886260061224,5.300000000000001,3.2353936001746852,0.0,0.0,0.0,aucun,capacite d'appoint,0.0,0.7990945561389726,0.9374487484846209,0.1691213389121339,truck,nominal,0,0,0,0,0,0,1,0,0,0
61,2031,1,1.502092050209205,77.0,94.65247584249853,5.152627944162883,1.502092050209205,0.0,0.0,0.0,aucun,aucun,0.0,0.5116069894981158,0.92011766047506,0.17029288702928871,truck,nominal,0,0,0,0,0,0,0,0,0,0
62,2031,2,3.2521300018483217,75.66025403784438,99.84661307031165,4.75,3.2521300018483217,0.0,0.0,0.0,aucun,aucun,0.0,0.5319867373790826,0.9191397855780271,0.17146443514644352,truck,nominal,0,0,0,0,0,0,0,0,0,0
63,2031,3,8.018828451882845,72.0,97.57927281399283,4.2,8.018828451882845,0.0,0.0,0.0,aucun,aucun,0.0,0.5477073125748501,0.9129569725033689,0.17263598326359836,truck,nominal,0,0,0,0,0,0,0,0,0,0
64,2031,4,14.527196652719665,67.0,88.45798706418924,3.6500000000000004,14.527196652719665,0.0,0.0,0.0,aucun,aucun,0.0,0.5538059001681256,0.9025680546928737,0.17380753138075317,truck,nominal,0,0,0,0,0,0,0,0,0,0
65,2031,5,21.035564853556487,50.615564853556485,38.24361705517631,3.2473720558371175,21.035564853556487,0.0,0.04384435146443515,0.0,secheresse,stress matiere / eau,1.6964512516844081,0.6106958392539503,0.8945143227720306,0.1990934728033473,truck,tendu,0,1,0,0,0,0,0,0,0,0
66,2031,6,25.802263303591012,46.92367901654892,23.826269391367134,3.1,25.956157624914926,0.0,0.2561409250552397,0.0,secheresse,stress matiere / eau + capacite d'appoint,1.7903381909790745,0.7012945696436947,0.8979161312771617,0.31702813639544464,truck,tendu,0,1,0,0,0,0,1,0,0,0
67,2031,7,27.552301255230127,45.55230125523013,12.460494868798548,3.2473720558371175,27.596485355648536,0.0,0.515671593077518,0.0,secheresse,stress matiere / eau + capacite d'appoint,1.7384220566730235,0.6866019727150706,0.8995145574603357,0.4609415519248525,truck,tendu,0,1,0,0,0,0,1,0,0,0
68,2031,8,25.818999705264652,58.33974596215561,44.15338692968835,3.6499999999999995,26.8861793822371,0.0,0.0,0.0,aucun,capacite d'appoint,0.0,0.5840495329346771,0.884595601420749,0.1784937238493724,truck,nominal,0,0,0,0,0,0,1,0,0,0
69,2031,9,21.06903765690377,61.99999999999999,46.42072718600717,4.2,21.06903765690377,0.0,0.0,0.0,aucun,aucun,0.0,0.47936766672940573,0.8761786194340732,0.1796652719665272,truck,nominal,0,0,0,0,0,0,0,0,0,0
70,2031,10,14.577405857740587,67.0,55.542012935810746,4.75,14.577405857740587,0.0,0.0,0.0,aucun,aucun,0.0,0.4743988784222977,0.888262769783943,0.18083682008368201,truck,nominal,0,0,0,0,0,0,0,0,0,0
71,2031,11,8.085774058577403,72.0,69.0732030285057,5.152627944162883,8.085774058577403,0.0,0.0,0.0,aucun,aucun,0.0,0.48050726736321675,0.9028222857813455,0.18200836820083682,truck,nominal,0,0,0,0,0,0,0,0,0,0
72,2031,12,3.335812010216526,75.66025403784438,83.3886260061224,5.300000000000001,3.335812010216526,0.0,0.0,0.0,aucun,aucun,0.0,0.49619903970872403,0.9150199764361154,0.18317991631799163,truck,nominal,0,0,0,0,0,0,0,0,0,0
73,2032,1,1.602510460251046,77.0,94.65247584249853,5.152627944162883,1.602510460251046,0.0,0.0,0.0,aucun,aucun,0.0,0.518255970182927,0.9219161465982749,0.18435146443514644,truck,nominal,0,0,0,0,0,0,0,0,0,0
74,2032,2,3.352548411890163,75.66025403784438,99.84661307031165,4.75,3.352548411890163,0.0,0.0,0.0,aucun,aucun,0.0,0.5386158458748327,0.9207899862864664,0.18552301255230128,truck,nominal,0,0,0,0,0,0,0,0,0,0
75,2032,3,8.119246861924687,72.0,97.57927281399283,4.2,8.119246861924687,0.0,0.0,0.0,aucun,aucun,0.0,0.5542739904607602,0.9142090440221174,0.18669456066945606,truck,nominal,0,0,0,0,0,0,0,0,0,0
76,2032,4,14.627615062761507,67.0,88.45798706418924,3.6500000000000004,14.627615062761507,0.0,0.0,0.0,aucun,aucun,0.0,0.5213748971012363,0.8962474502008555,0.1878661087866109,truck,nominal,0,0,0,0,0,0,0,0,0,0
77,2032,5,21.135983263598327,50.23598326359833,37.02052082086668,3.2473720558371175,21.135983263598327,0.0,0.04764016736401672,0.0,secheresse,stress matiere / eau,1.7233312516844066,0.6180699047988659,0.8963251799084484,0.2152397489539749,truck,tendu,0,1,0,0,0,0,0,0,0,0
78,2032,6,25.90268171363285,46.54409742659075,22.603173157057505,3.1,26.02620950776011,0.0,0.28253554299655603,0.0,secheresse,stress matiere / eau + capacite d'appoint,1.8194682203235644,0.7105381174974033,0.9007582904892834,0.3456037536690264,truck,tendu,0,1,0,0,0,0,1,0,0,0
79,2032,7,33.19707112970711,46.291694560669455,11.237398634488919,3.2473720558371175,33.30040669456067,0.149633891213389,0.702254541543097,0.0,canicule + secheresse,site en surchauffe + stress matiere / eau + capacite d'appoint,3.00780599627031,0.8295710883599495,0.9280987208942939,0.5776207509867788,truck,tendu,1,1,0,0,0,0,1,0,0,0
80,2032,8,31.47715870108055,58.8567515075338,44.15338692968835,3.6499999999999995,32.58569882168325,0.0,0.0,0.0,aucun,capacite d'appoint,0.0,0.725341710185335,0.901743254428992,0.19255230125523015,truck,nominal,0,0,0,0,0,0,1,0,0,0
81,2032,9,21.16945606694561,61.99999999999999,46.42072718600717,4.2,21.16945606694561,0.0,0.0,0.0,aucun,aucun,0.0,0.4861834522609627,0.8791534769497988,0.19372384937238496,truck,nominal,0,0,0,0,0,0,0,0,0,0
82,2032,10,14.677824267782428,67.0,55.542012935810746,4.75,14.677824267782428,0.0,0.0,0.0,aucun,aucun,0.0,0.48123150974202306,0.8906581758715042,0.19489539748953977,truck,nominal,0,0,0,0,0,0,0,0,0,0
83,2032,11,8.186192468619245,72.0,69.0732030285057,5.152627944162883,8.186192468619245,0.0,0.0,0.0,aucun,aucun,0.0,0.48731434506753973,0.9048800692530542,0.19606694560669458,truck,nominal,0,0,0,0,0,0,0,0,0,0
84,2032,12,3.4362304202583673,75.66025403784438,83.3886260061224,5.300000000000001,3.4362304202583673,0.0,0.0,0.0,aucun,aucun,0.0,0.5029439193713692,0.9169039203171094,0.19723849372384938,truck,nominal,0,0,0,0,0,0,0,0,0,0
85,2033,1,1.702928870292887,77.0,94.65247584249853,5.152627944162883,1.702928870292887,0.0,0.0,0.0,aucun,aucun,0.0,0.5248540964423312,0.9233500162261399,0.1984100418410042,truck,nominal,0,0,0,0,0,0,0,0,0,0
86,2033,2,3.4529668219320038,75.66025403784438,99.84661307031165,4.75,3.4529668219320038,0.0,0.0,0.0,aucun,aucun,0.0,0.5451942680896948,0.9224559407790831,0.199581589958159,truck,nominal,0,0,0,0,0,0,0,0,0,0
87,2033,3,8.219665271966527,72.0,97.57927281399283,4.2,8.219665271966527,0.0,0.0,0.0,aucun,aucun,0.0,0.560790475402003,0.9158889760662751,0.2007531380753138,truck,nominal,0,0,0,0,0,0,0,0,0,0
88,2033,4,14.728033472803347,67.0,88.45798706418924,3.6500000000000004,14.728033472803347,0.0,0.0,0.0,aucun,aucun,0.0,0.5327670411033157,0.8990458236914569,0.20192468619246862,truck,nominal,0,0,0,0,0,0,0,0,0,0
89,2033,5,21.236401673640167,62.0,74.9267969714943,3.2473720558371175,21.236401673640167,0.0,0.0,0.0,aucun,aucun,0.0,0.5618717167381945,0.8931847174076751,0.20309623430962345,truck,nominal,0,0,0,0,0,0,0,0,0,0
90,2033,6,26.00310012367469,58.33974596215561,60.61137399387759,3.1,27.07027980064714,0.0,0.0,0.0,aucun,aucun,0.0,0.5487772857549327,0.8870795716383421,0.20426778242677823,truck,nominal,0,0,0,0,0,0,0,0,0,0
91,2033,7,27.753138075313807,57.0,49.347524157501475,3.2473720558371175,28.713138075313807,0.0,0.0,0.0,aucun,aucun,0.0,0.5295380972562537,0.8827650019264315,0.20543933054393307,truck,nominal,0,0,0,0,0,0,0,0,0,0
92,2033,8,26.01983652534833,58.33974596215561,44.15338692968835,3.6499999999999995,27.08701620232078,0.0,0.0,0.0,aucun,aucun,0.0,0.5088200261511409,0.878831592004443,0.20661087866108788,truck,nominal,0,0,0,0,0,0,0,0,0,0
93,2033,9,21.26987447698745,61.99999999999999,46.42072718600717,4.2,21.26987447698745,0.0,0.0,0.0,aucun,aucun,0.0,0.49294724013508956,0.8791986459776926,0.2077824267782427,truck,nominal,0,0,0,0,0,0,0,0,0,0
94,2033,10,14.77824267782427,67.0,55.542012935810746,4.75,14.77824267782427,0.0,0.0,0.0,aucun,aucun,0.0,0.488012031452079,0.8905874447227469,0.20895397489539752,truck,nominal,0,0,0,0,0,0,0,0,0,0
95,2033,11,8.286610878661087,72.0,69.0732030285057,5.152627944162883,8.286610878661087,0.0,0.0,0.0,aucun,aucun,0.0,0.4940695245408039,0.9048132420742412,0.21012552301255233,truck,nominal,0,0,0,0,0,0,0,0,0,0
96,2033,12,3.536648830300208,75.66025403784438,83.3886260061224,5.300000000000001,3.536648830300208,0.0,0.0,0.0,aucun,aucun,0.0,0.5096373913414549,0.9172145228883553,0.21129707112970714,truck,nominal,0,0,0,0,0,0,0,0,0,0
97,2034,1,1.803347280334728,77.0,94.65247584249853,5.152627944162883,1.803347280334728,0.0,0.0,0.0,aucun,aucun,0.0,0.531401949490263,0.9239235779814496,0.21246861924686195,truck,nominal,0,0,0,0,0,0,0,0,0,0
98,2034,2,3.553385231973845,75.66025403784438,99.84661307031165,4.75,3.553385231973845,0.0,0.0,0.0,aucun,aucun,0.0,0.5517225831320339,0.9232668839924885,0.21364016736401675,truck,nominal,0,0,0,0,0,0,0,0,0,0
99,2034,3,8.320083682008368,72.0,97.57927281399283,4.2,8.320083682008368,0.0,0.0,0.0,aucun,aucun,0.0,0.5672573406884598,0.9170128307742214,0.21481171548117156,truck,nominal,0,0,0,0,0,0,0,0,0,0
100,2034,4,14.828451882845188,67.0,88.45798706418924,3.6500000000000004,14.828451882845188,0.0,0.0,0.0,aucun,aucun,0.0,0.5732800933284915,0.906688211815332,0.21598326359832637,truck,nominal,0,0,0,0,0,0,0,0,0,0
101,2034,5,21.336820083682007,62.0,74.9267969714943,3.2473720558371175,21.336820083682007,0.0,0.0,0.0,aucun,aucun,0.0,0.5614859712180685,0.8929984533630199,0.21715481171548118,truck,nominal,0,0,0,0,0,0,0,0,0,0
102,2034,6,26.103518533716535,58.33974596215561,60.61137399387759,3.1,27.170698210688982,0.0,0.0,0.0,aucun,aucun,0.0,0.5553293551065442,0.8888296842275754,0.21832635983263599,truck,nominal,0,0,0,0,0,0,0,0,0,0
103,2034,7,27.85355648535565,57.0,49.347524157501475,3.2473720558371175,28.81355648535565,0.0,0.0,0.0,aucun,aucun,0.0,0.5361612458506809,0.8846099156215467,0.2194979079497908,truck,nominal,0,0,0,0,0,0,0,0,0,0
104,2034,8,26.120254935390175,58.33974596215561,44.15338692968835,3.6499999999999995,27.187434612362622,0.0,0.0,0.0,aucun,aucun,0.0,0.5155198305016573,0.8809019815582123,0.22066945606694563,truck,nominal,0,0,0,0,0,0,0,0,0,0
105,2034,9,21.370292887029294,61.99999999999999,46.42072718600717,4.2,21.370292887029294,0.0,0.0,0.0,aucun,aucun,0.0,0.49965962312617884,0.8811730552781585,0.22184100418410044,truck,nominal,0,0,0,0,0,0,0,0,0,0
106,2034,10,13.919062761506277,76.59598326359833,124.31322632493207,11.333116683400423,13.919062761506277,0.0,0.0,0.36662333668008457,tempete / inondation,desorganisation logistique,6.197759999999999,0.6192473770980605,0.9010774390322651,0.28900475290367045,truck,tendu,0,0,1,0,0,0,0,0,0,0
107,2034,11,7.424920502092048,81.62108786610878,138.02433273561866,12.844767031631623,7.424920502092048,0.0,0.0,0.6689534063263245,tempete / inondation,desorganisation logistique + maintenance corrective + capacite d'appoint + recalage qualite,8.258598193262365,0.9778919277847429,0.9489289171240423,0.34459571355714846,truck,crise,0,0,1,1,0,0,1,1,0,0
108,2034,12,3.6370672403420494,75.66025403784438,83.3886260061224,5.300000000000001,3.6370672403420494,0.0,0.0,0.0,aucun,maintenance corrective + capacite d'appoint + recalage qualite,0.0,0.9503676987241788,0.953802667835285,0.22535564853556486,truck,tendu,0,0,0,1,0,0,1,1,0,0
109,2035,1,1.9037656903765692,77.0,94.65247584249853,5.152627944162883,1.9037656903765692,0.0,0.0,0.0,aucun,aucun,0.0,0.6090354412560745,0.9257386034957433,0.2265271966527197,truck,nominal,0,0,0,0,0,0,0,0,0,0
