role,supplier,component_count,mass_kg,kg_km_context,families,status_examples,example_components
T2,ETS Gattefin - internal machining/forming process,7,9.2695,80016.7,aluminium=6;steel=1,baseline_primary_assumed_internalized_process=7,16:35NC6 (nickel-chrome) | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium
T1,JAMCO Aircraft Interiors - Niigata,12,9.078,251437.6,polymer_plastic=6;textile_leather=3;adhesive_composite=1;aluminium=1;titanium_carbon=1,baseline_primary_assumed_program_supplier=6;baseline_primary=6,"75:copolymere lexan fst simapro: extrusion et thermoformage | 110:NIDA - GLO (moulage par injection plastique) | 128:Résine BR623 - composite | 159:Moulage plastique | 161:65% aluminium | 162:16 % Tissu, mousse, polyéthylène | 163:11% Moulage plastique | 164:8% autre (silicium, cuirs synthétique) | 165:16 % Tissu, mousse | 166:titane fibre de carbone | 172:Moulage plastique | 173:Moulage plastique"
T2,SCHROTH Safety Products,20,8.1213,126927.7,steel=20,baseline_primary=20,15:acier | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 52:acier | 53:acier | 56:acier | 57:acier | 58:acier | 59:acier | 60:acier | 61:acier | 62:acier | 63:acier
T1,Thales,8,6.448,42006.6,electronics_cots=7;general=1,baseline_primary_assumed_program_supplier=5;baseline_primary_inferred_after_review=3,"7:lightning | 10:System IFE boitier ref FJKL1-3K1100-01ATAB | 73:Clavier | 78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 130:télécommande | 153:Display, liquid crystal, 17 pouces"
T3,Thales - COTS electronics subassembly/PCB package,6,5.578,36192.6,electronics_cots=6,baseline_primary_non_switchable_cots_placeholder=6,"10:System IFE boitier ref FJKL1-3K1100-01ATAB | 73:Clavier | 78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
T4,Thales - COTS electronics component market basket,6,5.578,36192.6,electronics_cots=6,baseline_primary_non_switchable_cots_placeholder=6,"10:System IFE boitier ref FJKL1-3K1100-01ATAB | 73:Clavier | 78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
T1,MGA Villeneuve St Lot,13,4.4389,40019.9,textile_leather=4;steel=3;aluminium=3;adhesive_composite=1;rubber_silicone=1;polymer_plastic=1,baseline_primary=7;baseline_primary_lca_exact_supplier=5;baseline_primary_inferred_after_review=1,"2:15CDV6 (chrome, molibdene, vanadium) | 4:FILM DECOR AERFILM - Ep0.33 714g-m2 | 6:cuir | 9:Silicone | 18:A2017 - Aluminium | 20:A2017 - Aluminium | 26:A2024 - Aluminium | 76:cuir | 77:cuir | 91:FRMC55 (C55 = % de carbone) et FMR = ? | 116:35NC6 (nickel-chrome) | 124:caoutchouc | 151:Z10CNT18"
T4,BASF - PU chemistry source candidate,8,4.036,8963.3,textile_leather=8,baseline_primary_assumed_material_source_requires_grade_certificate=8,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ? | 91:FRMC55 (C55 = % de carbone) et FMR = ? | 92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
T1,FRANKLIN,5,3.942,8856.9,textile_leather=5,baseline_primary_lca_exact_supplier=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
T2,FRANKLIN - internal cutting/gluing process,5,3.942,8856.9,textile_leather=5,baseline_primary_assumed_internalized_process=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
T3,FRANKLIN - FRMC55 certified foam/fabric sourcing package,5,3.942,8856.9,textile_leather=5,baseline_primary_assumed_material_package_requires_bom=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
T2,Krohne,4,3.878,12014.0,electronics_cots=4,baseline_primary=4,"78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
T2,MGA Villeneuve St Lot - internal machining/forming process,6,3.8092,34575.9,steel=3;aluminium=3,baseline_primary_assumed_internalized_process=6,"2:15CDV6 (chrome, molibdene, vanadium) | 18:A2017 - Aluminium | 20:A2017 - Aluminium | 26:A2024 - Aluminium | 116:35NC6 (nickel-chrome) | 151:Z10CNT18"
T4,"Shandong Loyal Chemical Co., Ltd.",7,3.651,45687.5,polymer_plastic=7,baseline_primary=7,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex
T1,TE Connectivity,1,3.365,203.9,general=1,baseline_primary_lca_or_program_supplier=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
T2,TE Connectivity - electronics routing/EMS package,1,3.365,203.9,general=1,baseline_primary_assumed_internalized_process=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
T3,TE Connectivity - COTS electronics subassembly/PCB package,1,3.365,203.9,general=1,baseline_primary_non_switchable_cots_placeholder=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
T4,TE Connectivity - COTS electronics component market basket,1,3.365,203.9,general=1,baseline_primary_non_switchable_cots_placeholder=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
T4,DuPont de Nemours - fiber/polymer source assumption,19,2.576,77695.6,textile_leather=19,baseline_primary_assumed_material_source=19,"11:tissu | 32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 144:velours | 145:velours | 146:velours | 147:velours"
T3,"Zhejiang Yuxin Textile Co.,Ltd.",23,2.547,78025.0,textile_leather=23,baseline_primary=21;baseline_primary_inferred_after_review=2,"11:tissu | 12:FRMC55:EU28 polyuréthane flexible traité UL | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 149:velcro | 152:FRMC55:EU28 polyuréthane flexible traité UL | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique)"
T2,DuPont de Nemours,21,2.469,76545.4,textile_leather=21,baseline_primary=21,"11:tissu | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 149:velcro | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 162:16 % Tissu, mousse, polyéthylène | 164:8% autre (silicium, cuirs synthétique)"
T1,AmSafe,10,1.5031,41474.7,textile_leather=10,baseline_primary=10,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon
T2,3M,1,1.5,21768.3,electronics_cots=1,baseline_primary_inferred_after_review=1,10:System IFE boitier ref FJKL1-3K1100-01ATAB
T3,thyssenkrupp Materials France,3,1.2297,565.8,steel=3,baseline_primary_assumed_steel_stockist_requires_certificate=3,50:de: aluminium cast part machining + tth compris dans le steel tinplated | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending
T4,ArcelorMittal,3,1.2297,565.8,steel=3,baseline_primary_assumed_steel_source_requires_certificate=3,50:de: aluminium cast part machining + tth compris dans le steel tinplated | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending
T4,BASF,15,1.039,19044.0,textile_leather=12;adhesive_composite=2;polymer_plastic=1,baseline_primary=14;baseline_primary_assumed_material_source=1,"4:FILM DECOR AERFILM - Ep0.33 714g-m2 | 12:FRMC55:EU28 polyuréthane flexible traité UL | 97:GLO: moulage par injection plastique | 128:Résine BR623 - composite | 137:ULTRA LEATHER SMOKE | 152:FRMC55:EU28 polyuréthane flexible traité UL | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 162:16 % Tissu, mousse, polyéthylène | 164:8% autre (silicium, cuirs synthétique) | 165:16 % Tissu, mousse | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)"
T2,e2ip technologies,2,1.0,7464.8,electronics_cots=2,baseline_primary_inferred_after_review=1;baseline_primary=1,7:lightning | 73:Clavier
T1,Celso SAS,2,0.95,23157.5,general=1;textile_leather=1,baseline_primary=2,8:AIRVOLT LAMINAT | 137:ULTRA LEATHER SMOKE
T2,Glatfelter,1,0.95,23157.5,general=1,baseline_primary_inferred_after_review=1,8:AIRVOLT LAMINAT
T3,Kronotex GmbH & Co,1,0.95,23157.5,general=1,baseline_primary=1,8:AIRVOLT LAMINAT
T4,Klabin S.A.,1,0.95,23157.5,general=1,baseline_primary=1,8:AIRVOLT LAMINAT
T3,COTS electronics PCB/subassembly package,2,0.87,5814.0,electronics_cots=1;general=1,baseline_primary_assumed_non_switchable_cots=2,7:lightning | 130:télécommande
T4,COTS electronics component market basket,1,0.8,5054.6,electronics_cots=1,baseline_primary_assumed_non_switchable_cots=1,7:lightning
T1,Liebherr Aerospace,1,0.75,451.3,electronics_cots=1,baseline_primary_lca_or_program_supplier=1,74:Commande actionnement ECU
T2,Liebherr Aerospace - electronics routing/EMS package,1,0.75,451.3,electronics_cots=1,baseline_primary_assumed_internalized_process=1,74:Commande actionnement ECU
T3,Liebherr Aerospace - COTS electronics subassembly/PCB package,1,0.75,451.3,electronics_cots=1,baseline_primary_non_switchable_cots_placeholder=1,74:Commande actionnement ECU
T4,Liebherr Aerospace - COTS electronics component market basket,1,0.75,451.3,electronics_cots=1,baseline_primary_non_switchable_cots_placeholder=1,74:Commande actionnement ECU
T3,Henkel,1,0.488,9562.3,adhesive_composite=1,baseline_primary=1,128:Résine BR623 - composite
T1,Groupe Segnere / SEGNERE Ade,1,0.404,3813.9,aluminium=1,baseline_primary=1,44:A6060 - Aluminium
T2,Groupe Segnere / SEGNERE Ade - internal machining/forming process,1,0.404,3813.9,aluminium=1,baseline_primary_assumed_internalized_process=1,44:A6060 - Aluminium
T2,Sika,1,0.392,4975.2,adhesive_composite=1,baseline_primary_inferred_after_business_review=1,4:FILM DECOR AERFILM - Ep0.33 714g-m2
T3,EPODEX,1,0.392,4975.2,adhesive_composite=1,baseline_primary=1,4:FILM DECOR AERFILM - Ep0.33 714g-m2
T2,Maison Fichet,3,0.211,376.3,textile_leather=3,baseline_primary=3,6:cuir | 76:cuir | 77:cuir
T3,Gruppo Mastrotto,3,0.211,376.3,textile_leather=3,baseline_primary_inferred_after_review=3,6:cuir | 76:cuir | 77:cuir
T4,Gruppo Mastrotto - hide/raw leather source assumption,3,0.211,376.3,textile_leather=3,baseline_primary_assumed_material_source=3,6:cuir | 76:cuir | 77:cuir
T2,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,1,0.151,2727.6,polymer_plastic=1,baseline_primary_assumed_internalized_process=1,75:copolymere lexan fst simapro: extrusion et thermoformage
T3,SABIC LEXAN FST sheet production,1,0.151,2727.6,polymer_plastic=1,baseline_primary_assumed_material_processor=1,75:copolymere lexan fst simapro: extrusion et thermoformage
T4,SABIC,1,0.151,2727.6,polymer_plastic=1,baseline_primary=1,75:copolymere lexan fst simapro: extrusion et thermoformage
T1,ACH,7,0.102,2223.1,textile_leather=7,baseline_primary=7,12:FRMC55:EU28 polyuréthane flexible traité UL | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 149:velcro | 152:FRMC55:EU28 polyuréthane flexible traité UL
T2,FRANKLIN,6,0.099,976.7,textile_leather=6,baseline_primary=6,144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 150:velours
T3,SOMANI,6,0.099,976.7,textile_leather=6,baseline_primary_inferred_after_review=6,144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 150:velours
T1,MGR Foamtex Ltd,2,0.078,85.4,textile_leather=2,baseline_primary_lca_exact_supplier=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
T2,MGR Foamtex Ltd,3,0.078,1479.6,textile_leather=3,baseline_primary=3,12:FRMC55:EU28 polyuréthane flexible traité UL | 137:ULTRA LEATHER SMOKE | 152:FRMC55:EU28 polyuréthane flexible traité UL
T2,MGR Foamtex Ltd - internal foam/upholstery process,2,0.078,85.4,textile_leather=2,baseline_primary_assumed_internalized_process=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
T3,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,2,0.078,85.4,textile_leather=2,baseline_primary_assumed_material_package_requires_bom=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
T3,Krupp,1,0.0478,488.2,steel=1,baseline_primary=1,151:Z10CNT18
T4,China Baowu / Baosteel,1,0.0478,488.2,steel=1,baseline_primary=1,151:Z10CNT18
T2,MGA Villeneuve St Lot - internal FRMC55 integration process,1,0.016,21.0,textile_leather=1,baseline_primary_assumed_internalized_process=1,91:FRMC55 (C55 = % de carbone) et FMR = ?
T3,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,1,0.016,21.0,textile_leather=1,baseline_primary_assumed_material_package_requires_bom=1,91:FRMC55 (C55 = % de carbone) et FMR = ?
T3,Ensinger - material intermediate sourcing,2,0.015,113.9,polymer_plastic=2,baseline_primary_assumed_material_processor=2,124:caoutchouc | 125:Polychloroprene
T4,Halcyon Hevecam,1,0.01,63.4,polymer_plastic=1,baseline_primary=1,124:caoutchouc
T2,Lelièvre Paris,1,0.008,173.6,textile_leather=1,baseline_primary=1,"32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres"
T3,Yamazaki Velvet Co.,1,0.008,173.6,textile_leather=1,baseline_primary_assumed_textile_processor=1,"32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres"
T3,Aurubis,1,0.006,2.8,copper=1,baseline_primary=1,5:alliage Cu
T4,Aurubis - copper source assumption,1,0.006,2.8,copper=1,baseline_primary_assumed_material_source=1,5:alliage Cu
T2,Silicone Engineering,2,0.0014,16.0,rubber_silicone=2,baseline_primary_inferred_after_review=2,9:Silicone | 129:Silicone50 shore
T3,Saint-Gobain,2,0.0014,16.0,rubber_silicone=2,baseline_primary=2,9:Silicone | 129:Silicone50 shore
T4,Shin-Etsu Silicones,2,0.0014,16.0,rubber_silicone=2,baseline_primary_assumed_material_source=2,9:Silicone | 129:Silicone50 shore
T1,COLLINS,6,0.0,0.0,textile_leather=6,baseline_primary=6,"158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)"
T2,JAMCO Aircraft Interiors - Niigata - internal machining/forming process,1,0.0,0.0,aluminium=1,baseline_primary_assumed_internalized_process=1,161:65% aluminium
T2,Toray Industries,1,0.0,0.0,titanium_carbon=1,baseline_primary=1,166:titane fibre de carbone
T3,Ultrafabrics,1,0.0,0.0,textile_leather=1,baseline_primary=1,137:ULTRA LEATHER SMOKE
T4,Toray Industries - carbon fiber upstream source assumption,1,0.0,0.0,titanium_carbon=1,baseline_primary_assumed_material_source=1,166:titane fibre de carbone
