record_index,system,component,mass_kg,mass_share_of_non_packaging_bom,has_lca_mass,mass_method,match_level,confidence,simulation_use_class,equipment_match,material_match,raw_materials_status,markers
11,Coussin ottoman,tissu,0.339,0.002923261,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,"COUSSIN OTTOMAN STD PITCH 38"" QTU",textile (2 BOM material rows),provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_provided
12,Manchette acc. Mobile,FRMC55:EU28 polyuréthane flexible traité UL,0.039,0.000336304,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE ACC MOBILE,frmc55,provided,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_provided
13,Accoudoir allée,30NCD6 (nickel-chrome- molibdene),0.027,0.000232826,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,30ncd16,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
14,Ens. Palette optimisée,35NC6 (nickel-chrome),0.660743,0.005697712,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENSEMBLE PALETTE OPTIMISEE,steel (3 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
15,Ens. Equipements latéraux,acier,0.0996449,0.000859257,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE EQUIPEMENTS LATERALES,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
16,Stowage assemblé avec porte,35NC6 (nickel-chrome),0.008,6.8986e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,STOWAGE ASSEMBLE AVEC PORTE,35nc6,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
17,Accoudoir allée,A2017 - Aluminium,2.43,0.020954349,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
18,Ens. Stowage latéral,A2017 - Aluminium,0.1033805,0.00089147,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STOWAGE LATERAL,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
19,Ens. Palette optimisée,A2017 - Aluminium,12.333,0.106349788,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PALETTE OPTIMISEE,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
20,Ens. Tablette cocktail,A2017 - Aluminium,3.523,0.030379494,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE COCKTAIL,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
21,Ens. Tablette repas,A2017 - Aluminium,2.125,0.018324276,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE REPAS,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
22,Ens. Têtière,A2017 - Aluminium,0.4425,0.003815761,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE TETIERE,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
23,Stowage assemblé avec porte,A2017 - Aluminium,3.956,0.034113335,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,STOWAGE ASSEMBLE AVEC PORTE,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
24,Support écran,A2017 - Aluminium,1.45,0.012503624,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT ECRAN ASSEMBLE,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
25,Accoudoir allée,A2024 - Aluminium,0.18,0.001552174,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,a2024,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
26,Ens. Tablette cocktail,A2024 - Aluminium,0.084,0.000724348,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE COCKTAIL,a2024,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
27,Ens. Tablette repas,A2024 - Aluminium,1.259,0.010856595,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE REPAS,a2024,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
28,Ens. Têtière,A2024 - Aluminium,0.029,0.000250072,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE TETIERE,a2024,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
29,Accoudoir allée,A5086 - Aluminium,0.316,0.002724928,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
30,Bumper version porte,A5086 - Aluminium,0.024,0.000206957,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,BUMPER VERSION PORTE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
31,Ens. Stowage latéral,A5086 - Aluminium,0.216,0.001862609,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STOWAGE LATERAL,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
32,ens. equipements lateraux,"velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres",0.008,6.8986e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE EQUIPEMENTS LATERALES,velour,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
33,Ens. Structure fauteuil,4140 (acier),0.002,1.7246e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STRUCTURE FAUTEUIL,4140 uns g41400,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
34,Habillage sous fauteuil,A5086 - Aluminium,1.03,0.008881884,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,HABILLAGE SOUS FAUTEUIL,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
35,Manchette acc. Mobile,A5086 - Aluminium,0.105,0.000905435,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE ACC MOBILE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
36,Manchette équipée,A5086 - Aluminium,0.17,0.001465942,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE EQUIPEE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
37,Renfort tubulaire,A5086 - Aluminium,0.931,0.008028189,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,RENFORT TUBULAIRE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
38,Stowage assemblé avec porte,A5086 - Aluminium,2.457,0.021187175,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,STOWAGE ASSEMBLE AVEC PORTE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
39,Structure ottoman horizontale,A5086 - Aluminium,1.928,0.016625508,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,Structure Ottoman (horizontale),a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
40,Support écran,A5086 - Aluminium,0.506,0.004363334,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT ECRAN ASSEMBLE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
41,Support équipé,A5086 - Aluminium,0.099,0.000853696,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT EQUIPE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
42,Support manchette équipée,A5086 - Aluminium,0.117,0.001008913,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT MANCHETTE EQUIPEE,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
43,Support NFC,A5086 - Aluminium,0.01,8.6232e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT NFC,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
44,Renfort tubulaire,A6060 - Aluminium,0.404,0.003483768,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,RENFORT TUBULAIRE,a6060,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
45,Ceinture de sécurité,acier,0.72,0.006208696,True,bom_mixed_material_share,equipment_material_split,medium_high,usable_for_baseline,CEINTURE DE SECURITE,steel share of 80%INOX 20%Nylon,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_split;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
46,Support clamps,acier,1.284,0.011072174,True,bom_mixed_material_share,equipment_material_split,medium_high,usable_for_baseline,SUPPORT + CLAMPS,steel share of 50% INOX 50% PA66,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_split;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
47,Accoudoir allée,acier,0.7096766,0.006119675,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ACCOUDOIR ALLEE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
48,Bumper version porte,acier,0.024,0.000206957,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,BUMPER VERSION PORTE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
49,Ens. Stowage latéral,acier,0.0151984,0.000131059,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STOWAGE LATERAL,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
50,ens. coque,de: aluminium cast part machining + tth compris dans le steel tinplated,0.496,0.004277102,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE COQUE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
51,Ens. Structure fauteuil,35NC6 (nickel-chrome),1.417,0.012219059,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STRUCTURE FAUTEUIL,35nc6,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
52,Ens. Palette optimisée,acier,0.58,0.00500145,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PALETTE OPTIMISEE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
53,Ensemble porte,acier,0.0430761,0.000371453,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENSEMBLE PORTE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
54,Ens. Structure fauteuil,A2017 - Aluminium,12.7611,0.110041375,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STRUCTURE FAUTEUIL,a2017,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
55,Ens. Structure fauteuil,A2024 - Aluminium,5.659,0.048798626,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STRUCTURE FAUTEUIL,a2024,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
56,Ens. Tablette cocktail,acier,1.133,0.009770073,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE COCKTAIL,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
57,Ens. Tablette repas,acier,0.1165,0.001004601,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS TABLETTE REPAS,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
58,Habillage sous fauteuil,acier,0.0270916,0.000233616,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,HABILLAGE SOUS FAUTEUIL,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
59,Manchette équipée,acier,0.0191495,0.00016513,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,MANCHETTE EQUIPEE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
60,Renfort tubulaire,acier,0.003,2.587e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,RENFORT TUBULAIRE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
61,Stowage assemblé avec porte,acier,0.0943581,0.000813668,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,STOWAGE ASSEMBLE AVEC PORTE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
62,Structure ottoman horizontale,acier,0.0666443,0.000574686,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,Structure Ottoman (horizontale),acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
63,Support écran,acier,0.05736,0.000494626,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT ECRAN ASSEMBLE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
64,Support équipé,acier,0.003,2.587e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT EQUIPE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
65,Support manchette équipée,acier,0.006,5.1739e-05,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SUPPORT MANCHETTE EQUIPEE,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
66,Accoudoir allée,Alu,3.0435071,0.026244736,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ACCOUDOIR ALLEE,aluminium (4 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
67,Ens. Palette optimisée,Alu,12.5475707,0.108200071,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,ENSEMBLE PALETTE OPTIMISEE,aluminium (2 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
68,Ensemble porte,Alu,6.872,0.059258554,True,bom_system_material_family_sum,equipment_material_family,medium,usable_with_review,ENSEMBLE PORTE,aluminium (1 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
69,Ens. Structure fauteuil,A5086 - Aluminium,0.458,0.00394942,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STRUCTURE FAUTEUIL,a5086,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
70,Manchette acc. Mobile,Alu,0.106,0.000914058,True,bom_system_material_family_sum,equipment_material_family,medium_high,usable_for_baseline,MANCHETTE ACC MOBILE,aluminium (2 BOM material rows),inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_equipment_material_family;LCA_CONFIDENCE_medium_high;LCA_ESTIMATED_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
71,Brackets set,cables FJKL1-3K1J01-01ATAB_BRACKETS-SET,3.365,0.02901703,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,BRACKETS-SET (cables),cable model,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
72,Ens. Structure fauteuil,acier,1.687,0.01454732,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,ENS STRUCTURE FAUTEUIL,acier,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
73,SFCU (Seat Function Control Unit),Clavier,0.2,0.001724638,True,bom_exact_system_material,exact_equipment_material,high,quantitative_ready,SFCU,keyboard glo market for apos u,inferred_from_component_label,LCA_SOURCE_quantity_material_xlsx;LCA_MATCH_exact_equipment_material;LCA_CONFIDENCE_high;LCA_EXACT_BOM_MASS;RAW_MATERIALS_inferred_from_component_label
