edge,from_name,to_name,distance_km,modes,component_count,mass_kg,kg_km,families,example_components
T3->T2,"Zhejiang Yuxin Textile Co.,Ltd.",DuPont de Nemours,12231.1,ship|truck,21,2.469,30198.6,textile_leather=21,"11:tissu | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 149:velcro | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique)"
T2->T1,DuPont de Nemours,ETS Gattefin,6353.7,ship|truck,7,2.445,15534.8,textile_leather=7,11:tissu | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu | 136:tissu
T3->T2,Aubert & Duval,Senior Aerospace Thailand - internal machining/forming process,9583.9,ship|truck,12,1.5878,15217.7,steel=12,33:4140 (acier) | 51:35NC6 (nickel-chrome) | 81:inox | 94:inox | 95:inox | 96:inox | 98:inox | 99:inox | 100:inox | 101:inox | 102:inox | 138:inox
T2->T1,Ensinger,AmSafe,9187.6,ship|truck,10,1.5031,13810.1,textile_leather=10,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon
T3->T2,AMAG Austria Metall,ESPACE - internal machining/forming process,1113.4,truck,15,12.003,13364.1,aluminium=15,1:A5086 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium
T3->T2,AMAG Austria Metall,SUMPAR - internal machining/forming process,874.8,truck,4,15.123,13229.6,aluminium=4,17:A2017 - Aluminium | 19:A2017 - Aluminium | 25:A2024 - Aluminium | 167:A2024 - Aluminium
T1->OEM,AmSafe,Safran Seats / Safran internal group,8786.7,ship|truck,10,1.5031,13207.5,textile_leather=10,111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon
T1->OEM,ESPACE,Safran Seats / Safran internal group,490.2,truck,44,23.7835,11658.7,steel=20;aluminium=15;polymer_plastic=8;textile_leather=1,"1:A5086 - Aluminium | 3:Ertalon par moulage par injection plastique | 15:acier | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium"
T4->T3,Klabin S.A.,Kronotex GmbH & Co,11064.8,ship|truck,1,0.95,10511.6,general=1,8:AIRVOLT LAMINAT
T3->T2,Thales - COTS electronics subassembly/PCB package,3M,6963.5,ship|truck,1,1.5,10445.2,electronics_cots=1,10:System IFE boitier ref FJKL1-3K1100-01ATAB
T2->T1,3M,Thales,6963.5,ship|truck,1,1.5,10445.2,electronics_cots=1,10:System IFE boitier ref FJKL1-3K1100-01ATAB
T3->T2,AMAG Austria Metall,ETS Gattefin - internal machining/forming process,816.6,truck,6,9.2615,7562.9,aluminium=6,21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium
T4->T3,"Shandong Loyal Chemical Co., Ltd.",Toray Industries,1797.1,rail|truck,7,3.651,6561.2,polymer_plastic=7,103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex
T3->T2,Kronotex GmbH & Co,Glatfelter,6530.7,ship|truck,1,0.95,6204.2,general=1,8:AIRVOLT LAMINAT
T2->T1,Glatfelter,Celso SAS,6236.5,ship|truck,1,0.95,5924.7,general=1,8:AIRVOLT LAMINAT
T2->T1,e2ip technologies,Thales,5733.0,ship|truck,2,1.0,5733.0,electronics_cots=2,7:lightning | 73:Clavier
T1->OEM,FRANKLIN,Safran Seats / Safran internal group,1356.7,rail|truck,5,3.942,5348.1,textile_leather=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
T4->T3,Saarstahl,Aubert & Duval,501.0,truck,36,9.7952,4907.4,steel=36,"2:15CDV6 (chrome, molibdene, vanadium) | 13:30NCD6 (nickel-chrome- molibdene) | 15:acier | 16:35NC6 (nickel-chrome) | 33:4140 (acier) | 45:acier | 46:acier | 47:acier | 48:acier | 49:acier | 51:35NC6 (nickel-chrome) | 52:acier | 53:acier | 56:acier"
T3->T2,Thales - COTS electronics subassembly/PCB package,Krohne,1256.4,rail|truck,4,3.878,4872.3,electronics_cots=4,"78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
T2->T1,Krohne,Thales,1256.4,rail|truck,4,3.878,4872.3,electronics_cots=4,"78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
T3->T2,AMAG Austria Metall,MGA Villeneuve St Lot - internal machining/forming process,1035.0,truck,3,3.7104,3840.2,aluminium=3,18:A2017 - Aluminium | 20:A2017 - Aluminium | 26:A2024 - Aluminium
T1->OEM,Thales,Safran Seats / Safran internal group,585.2,truck,8,6.448,3773.4,electronics_cots=7;general=1,"7:lightning | 10:System IFE boitier ref FJKL1-3K1100-01ATAB | 73:Clavier | 78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 130:télécommande | 153:Display, liquid crystal, 17 pouces"
T1->OEM,SUMPAR,Safran Seats / Safran internal group,83.8,truck,22,43.2038,3620.5,aluminium=9;polymer_plastic=7;steel=5;copper=1,5:alliage Cu | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 17:A2017 - Aluminium | 19:A2017 - Aluminium | 25:A2024 - Aluminium | 50:de: aluminium cast part machining + tth compris dans le steel tinplated | 66:Alu | 67:Alu | 68:Alu | 70:Alu | 79:Ertalon | 80:Ertalon | 82:Ertalon
T4->T3,BASF - PU chemistry source candidate,FRANKLIN - FRMC55 certified foam/fabric sourcing package,890.1,truck,5,3.942,3508.8,textile_leather=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
T2->T1,Ensinger,ESPACE,832.1,truck,8,3.6512,3038.1,polymer_plastic=8,3:Ertalon par moulage par injection plastique | 103:kydex | 104:kydex | 105:kydex | 106:kydex | 107:kydex | 108:kydex | 109:kydex
T3->T2,Euralliage Ile de France,SUMPAR - internal machining/forming process,100.7,truck,6,26.7708,2695.8,aluminium=5;steel=1,14:35NC6 (nickel-chrome) | 66:Alu | 67:Alu | 68:Alu | 70:Alu | 123:Alu
T2->T1,Sika,MGA Villeneuve St Lot,5911.3,ship|truck,1,0.392,2317.2,adhesive_composite=1,4:FILM DECOR AERFILM - Ep0.33 714g-m2
T3->T2,EPODEX,Sika,5831.2,ship|truck,1,0.392,2285.8,adhesive_composite=1,4:FILM DECOR AERFILM - Ep0.33 714g-m2
T4->T3,Mitsubishi Chemical,Toray Industries,223.5,truck,15,9.9421,2223.1,textile_leather=10;polymer_plastic=5,110:NIDA - GLO (moulage par injection plastique) | 111:nylon | 112:nylon | 113:nylon | 114:nylon | 115:nylon | 117:nylon | 118:nylon | 119:nylon | 120:nylon | 139:nylon | 159:Moulage plastique | 163:11% Moulage plastique | 172:Moulage plastique
T1->OEM,MGA Villeneuve St Lot,Safran Seats / Safran internal group,499.6,truck,13,4.4389,2217.7,textile_leather=4;steel=3;aluminium=3;adhesive_composite=1;rubber_silicone=1;polymer_plastic=1,"2:15CDV6 (chrome, molibdene, vanadium) | 4:FILM DECOR AERFILM - Ep0.33 714g-m2 | 6:cuir | 9:Silicone | 18:A2017 - Aluminium | 20:A2017 - Aluminium | 26:A2024 - Aluminium | 76:cuir | 77:cuir | 91:FRMC55 (C55 = % de carbone) et FMR = ? | 116:35NC6 (nickel-chrome) | 124:caoutchouc | 151:Z10CNT18"
T1->OEM,ETS Gattefin,Safran Seats / Safran internal group,186.9,truck,21,11.8142,2208.1,textile_leather=13;aluminium=6;steel=1;rubber_silicone=1,11:tissu | 16:35NC6 (nickel-chrome) | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium | 129:Silicone50 shore | 131:tissu | 132:tissu | 133:tissu | 134:tissu | 135:tissu
T3->T2,SABIC LEXAN FST sheet production,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,8573.7,ship|truck,1,0.151,1294.6,polymer_plastic=1,75:copolymere lexan fst simapro: extrusion et thermoformage
T3->T2,Thales - COTS electronics subassembly/PCB package,e2ip technologies,5733.0,ship|truck,1,0.2,1146.6,electronics_cots=1,73:Clavier
T4->T3,BASF,Toray Industries,9329.2,ship|truck,1,0.081,755.7,polymer_plastic=1,97:GLO: moulage par injection plastique
T2->T1,Ensinger,Senior Aerospace Thailand,9080.6,ship|truck,1,0.081,735.5,polymer_plastic=1,97:GLO: moulage par injection plastique
T3->T2,"Zhejiang Yuxin Textile Co.,Ltd.",MGR Foamtex Ltd,9235.0,ship|truck,2,0.078,720.3,textile_leather=2,12:FRMC55:EU28 polyuréthane flexible traité UL | 152:FRMC55:EU28 polyuréthane flexible traité UL
T4->T3,BASF,"Zhejiang Yuxin Textile Co.,Ltd.",8876.9,ship|truck,11,0.078,692.4,textile_leather=11,"12:FRMC55:EU28 polyuréthane flexible traité UL | 152:FRMC55:EU28 polyuréthane flexible traité UL | 158:Tissu, mousse, polyéthylène | 160:autre (silicium, cuirs synthétique) | 162:16 % Tissu, mousse, polyéthylène | 164:8% autre (silicium, cuirs synthétique) | 165:16 % Tissu, mousse | 168:Tissu, mousse, polyéthylène | 169:Tissu, mousse, polyéthylène | 170:autre (silicium, cuirs synthétique) | 171:autre (silicium, cuirs synthétique)"
T4->T3,Mitsubishi Chemical,COTS electronics PCB/subassembly package,9470.9,ship|truck,1,0.07,663.0,general=1,130:télécommande
T4->T3,DuPont de Nemours - fiber/polymer source assumption,SOMANI,5790.5,ship|truck,6,0.099,573.3,textile_leather=6,144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 150:velours
T1->OEM,Celso SAS,Safran Seats / Safran internal group,544.3,truck,2,0.95,517.1,general=1;textile_leather=1,8:AIRVOLT LAMINAT | 137:ULTRA LEATHER SMOKE
T3->T2,AMAG Austria Metall,Groupe Segnere / SEGNERE Ade - internal machining/forming process,1157.9,truck,1,0.404,467.8,aluminium=1,44:A6060 - Aluminium
T1->OEM,Liebherr Aerospace,Safran Seats / Safran internal group,601.7,truck,1,0.75,451.3,electronics_cots=1,74:Commande actionnement ECU
T4->T3,China Baowu / Baosteel,Krupp,8782.6,ship|truck,1,0.0478,420.1,steel=1,151:Z10CNT18
T4->T3,Mitsubishi Chemical,Toray Industries,9421.3,ship|truck,7,0.0424,399.9,polymer_plastic=7,3:Ertalon par moulage par injection plastique | 79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon
T4->T3,ArcelorMittal,thyssenkrupp Materials France,288.9,truck,3,1.2297,355.3,steel=3,50:de: aluminium cast part machining + tth compris dans le steel tinplated | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending
T1->OEM,Groupe Segnere / SEGNERE Ade,Safran Seats / Safran internal group,646.9,truck,1,0.404,261.3,aluminium=1,44:A6060 - Aluminium
T3->T2,SOMANI,FRANKLIN,2472.9,rail|truck,6,0.099,244.8,textile_leather=6,144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 150:velours
T4->T3,Saarstahl,Euralliage Ile de France,345.8,truck,1,0.6607,228.5,steel=1,14:35NC6 (nickel-chrome)
T3->T2,Henkel,Ensinger,454.7,truck,1,0.488,221.9,adhesive_composite=1,128:Résine BR623 - composite
T4->T3,BASF,Henkel,419.6,truck,1,0.488,204.8,adhesive_composite=1,128:Résine BR623 - composite
T1->OEM,TE Connectivity,Safran Seats / Safran internal group,60.6,truck,1,3.365,203.9,general=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
T4->T3,BASF,EPODEX,449.7,truck,1,0.392,176.3,adhesive_composite=1,4:FILM DECOR AERFILM - Ep0.33 714g-m2
T3->T2,Gruppo Mastrotto,Maison Fichet,771.1,truck,3,0.211,162.7,textile_leather=3,6:cuir | 76:cuir | 77:cuir
T2->T1,DuPont de Nemours,ACH,6242.0,ship|truck,5,0.024,149.8,textile_leather=5,140:velcro | 141:velcro | 142:velcro | 143:velcro | 149:velcro
T2->T1,FRANKLIN,ETS Gattefin,1415.2,rail|truck,6,0.099,140.1,textile_leather=6,144:velours | 145:velours | 146:velours | 147:velours | 148:velours | 150:velours
T2->T1,Maison Fichet,MGA Villeneuve St Lot,512.7,truck,3,0.211,108.2,textile_leather=3,6:cuir | 76:cuir | 77:cuir
T3->T2,thyssenkrupp Materials France,SUMPAR - internal machining/forming process,87.4,truck,3,1.2297,107.5,steel=3,50:de: aluminium cast part machining + tth compris dans le steel tinplated | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending
T4->T3,DuPont de Nemours - fiber/polymer source assumption,Yamazaki Velvet Co.,11155.1,ship|truck,1,0.008,89.2,textile_leather=1,"32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres"
T3->T2,Yamazaki Velvet Co.,Lelièvre Paris,9545.8,ship|truck,1,0.008,76.4,textile_leather=1,"32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres"
T2->T1,Ensinger,Thales,793.7,truck,1,0.07,55.6,general=1,130:télécommande
T4->T3,BASF - PU chemistry source candidate,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,708.7,truck,2,0.078,55.3,textile_leather=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
T4->T3,Halcyon Hevecam,Ensinger - material intermediate sourcing,5067.2,ship|truck,1,0.01,50.7,polymer_plastic=1,124:caoutchouc
T4->T3,Mitsubishi Chemical,Ensinger - material intermediate sourcing,9482.8,ship|truck,1,0.005,47.3,polymer_plastic=1,125:Polychloroprene
T2->T1,MGR Foamtex Ltd,ACH,581.5,truck,2,0.078,45.4,textile_leather=2,12:FRMC55:EU28 polyuréthane flexible traité UL | 152:FRMC55:EU28 polyuréthane flexible traité UL
T3->T2,Krupp,MGA Villeneuve St Lot - internal machining/forming process,924.1,truck,1,0.0478,44.2,steel=1,151:Z10CNT18
T1->OEM,MGR Foamtex Ltd,Safran Seats / Safran internal group,385.8,truck,2,0.078,30.1,textile_leather=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
T1->OEM,ACH,Safran Seats / Safran internal group,275.9,truck,7,0.102,28.1,textile_leather=7,12:FRMC55:EU28 polyuréthane flexible traité UL | 140:velcro | 141:velcro | 142:velcro | 143:velcro | 149:velcro | 152:FRMC55:EU28 polyuréthane flexible traité UL
T2->T1,Ensinger,SUMPAR,564.3,truck,7,0.0473,26.7,polymer_plastic=7,79:Ertalon | 80:Ertalon | 82:Ertalon | 83:Ertalon | 84:Ertalon | 85:Ertalon | 125:Polychloroprene
T4->T3,Shin-Etsu Silicones,Saint-Gobain,9507.7,ship|truck,2,0.0014,13.3,rubber_silicone=2,9:Silicone | 129:Silicone50 shore
T4->T3,BASF - PU chemistry source candidate,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,812.6,truck,1,0.016,13.0,textile_leather=1,91:FRMC55 (C55 = % de carbone) et FMR = ?
T3->T2,Aubert & Duval,MGA Villeneuve St Lot - internal machining/forming process,237.0,truck,2,0.051,12.1,steel=2,"2:15CDV6 (chrome, molibdene, vanadium) | 116:35NC6 (nickel-chrome)"
T3->T2,Aubert & Duval,SUMPAR - internal machining/forming process,404.3,truck,1,0.027,10.9,steel=1,13:30NCD6 (nickel-chrome- molibdene)
T2->T1,Ensinger,MGA Villeneuve St Lot,768.9,truck,1,0.01,7.7,polymer_plastic=1,124:caoutchouc
T2->T1,Lelièvre Paris,ESPACE,508.2,truck,1,0.008,4.1,textile_leather=1,"32:velours eu28: polyurethane flexible foam, with flame retardant eu28: pa6.6 fibres"
T3->T2,Aurubis,SUMPAR - internal machining/forming process,389.5,truck,1,0.006,2.3,copper=1,5:alliage Cu
T3->T2,Aubert & Duval,ETS Gattefin - internal machining/forming process,143.2,truck,1,0.008,1.1,steel=1,16:35NC6 (nickel-chrome)
T3->T2,Saint-Gobain,Silicone Engineering,612.1,truck,2,0.0014,0.9,rubber_silicone=2,9:Silicone | 129:Silicone50 shore
T2->T1,Silicone Engineering,MGA Villeneuve St Lot,1065.8,truck,1,0.0007,0.7,rubber_silicone=1,9:Silicone
T2->T1,Silicone Engineering,ETS Gattefin,806.3,truck,1,0.0007,0.6,rubber_silicone=1,129:Silicone50 shore
T2->T1,ESPACE - internal machining/forming process,ESPACE,0.0,internal,15,12.003,0.0,aluminium=15,1:A5086 - Aluminium | 29:A5086 - Aluminium | 30:A5086 - Aluminium | 31:A5086 - Aluminium | 34:A5086 - Aluminium | 35:A5086 - Aluminium | 36:A5086 - Aluminium | 37:A5086 - Aluminium | 38:A5086 - Aluminium | 39:A5086 - Aluminium | 40:A5086 - Aluminium | 41:A5086 - Aluminium | 42:A5086 - Aluminium | 43:A5086 - Aluminium
T2->T1,MGA Villeneuve St Lot - internal machining/forming process,MGA Villeneuve St Lot,0.0,internal,6,3.8092,0.0,steel=3;aluminium=3,"2:15CDV6 (chrome, molibdene, vanadium) | 18:A2017 - Aluminium | 20:A2017 - Aluminium | 26:A2024 - Aluminium | 116:35NC6 (nickel-chrome) | 151:Z10CNT18"
T4->T3,Aurubis - copper source assumption,Aurubis,0.0,internal,1,0.006,0.0,copper=1,5:alliage Cu
T2->T1,SUMPAR - internal machining/forming process,SUMPAR,0.0,internal,15,43.1565,0.0,aluminium=9;steel=5;copper=1,5:alliage Cu | 13:30NCD6 (nickel-chrome- molibdene) | 14:35NC6 (nickel-chrome) | 17:A2017 - Aluminium | 19:A2017 - Aluminium | 25:A2024 - Aluminium | 50:de: aluminium cast part machining + tth compris dans le steel tinplated | 66:Alu | 67:Alu | 68:Alu | 70:Alu | 123:Alu | 154:de: aluminium cast part machining glo: steel sheet stamping and bending | 155:de: aluminium cast part machining glo: steel sheet stamping and bending
T4->T3,Gruppo Mastrotto - hide/raw leather source assumption,Gruppo Mastrotto,0.0,internal,3,0.211,0.0,textile_leather=3,6:cuir | 76:cuir | 77:cuir
T4->T3,COTS electronics component market basket,COTS electronics PCB/subassembly package,0.0,internal,1,0.8,0.0,electronics_cots=1,7:lightning
T3->T2,COTS electronics PCB/subassembly package,e2ip technologies,0.0,internal,1,0.8,0.0,electronics_cots=1,7:lightning
T4->T3,Thales - COTS electronics component market basket,Thales - COTS electronics subassembly/PCB package,0.0,internal,6,5.578,0.0,electronics_cots=6,"10:System IFE boitier ref FJKL1-3K1100-01ATAB | 73:Clavier | 78:Display, liquid crystal, 17 pouces | 121:Display, liquid crystal, 17 pouces | 126:powerbox | 153:Display, liquid crystal, 17 pouces"
T2->T1,ETS Gattefin - internal machining/forming process,ETS Gattefin,0.0,internal,7,9.2695,0.0,aluminium=6;steel=1,16:35NC6 (nickel-chrome) | 21:A2017 - Aluminium | 22:A2017 - Aluminium | 23:A2017 - Aluminium | 24:A2017 - Aluminium | 27:A2024 - Aluminium | 28:A2024 - Aluminium
T2->T1,Senior Aerospace Thailand - internal machining/forming process,Senior Aerospace Thailand,0.0,internal,14,20.0079,0.0,steel=12;aluminium=2,33:4140 (acier) | 51:35NC6 (nickel-chrome) | 54:A2017 - Aluminium | 55:A2024 - Aluminium | 81:inox | 94:inox | 95:inox | 96:inox | 98:inox | 99:inox | 100:inox | 101:inox | 102:inox | 138:inox
T2->T1,Groupe Segnere / SEGNERE Ade - internal machining/forming process,Groupe Segnere / SEGNERE Ade,0.0,internal,1,0.404,0.0,aluminium=1,44:A6060 - Aluminium
T4->T3,TE Connectivity - COTS electronics component market basket,TE Connectivity - COTS electronics subassembly/PCB package,0.0,internal,1,3.365,0.0,general=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
T3->T2,TE Connectivity - COTS electronics subassembly/PCB package,TE Connectivity - electronics routing/EMS package,0.0,internal,1,3.365,0.0,general=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
T2->T1,TE Connectivity - electronics routing/EMS package,TE Connectivity,0.0,internal,1,3.365,0.0,general=1,71:cables FJKL1-3K1J01-01ATAB_BRACKETS-SET
T4->T3,Liebherr Aerospace - COTS electronics component market basket,Liebherr Aerospace - COTS electronics subassembly/PCB package,0.0,internal,1,0.75,0.0,electronics_cots=1,74:Commande actionnement ECU
T3->T2,Liebherr Aerospace - COTS electronics subassembly/PCB package,Liebherr Aerospace - electronics routing/EMS package,0.0,internal,1,0.75,0.0,electronics_cots=1,74:Commande actionnement ECU
T2->T1,Liebherr Aerospace - electronics routing/EMS package,Liebherr Aerospace,0.0,internal,1,0.75,0.0,electronics_cots=1,74:Commande actionnement ECU
T4->T3,SABIC,SABIC LEXAN FST sheet production,0.0,internal,1,0.151,0.0,polymer_plastic=1,75:copolymere lexan fst simapro: extrusion et thermoformage
T2->T1,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,JAMCO Aircraft Interiors - Niigata,0.0,internal,1,0.151,0.0,polymer_plastic=1,75:copolymere lexan fst simapro: extrusion et thermoformage
T3->T2,FRANKLIN - FRMC55 certified foam/fabric sourcing package,FRANKLIN - internal cutting/gluing process,0.0,internal,5,3.942,0.0,textile_leather=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
T2->T1,FRANKLIN - internal cutting/gluing process,FRANKLIN,0.0,internal,5,3.942,0.0,textile_leather=5,86:FRMC55 (C55 = % de carbone) et FMR = ? | 87:FRMC55 (C55 = % de carbone) et FMR = ? | 88:FRMC55 (C55 = % de carbone) et FMR = ? | 89:FRMC55 (C55 = % de carbone) et FMR = ? | 90:FRMC55 (C55 = % de carbone) et FMR = ?
T3->T2,MGA Villeneuve St Lot - FRMC55 certified foam/fabric sourcing package,MGA Villeneuve St Lot - internal FRMC55 integration process,0.0,internal,1,0.016,0.0,textile_leather=1,91:FRMC55 (C55 = % de carbone) et FMR = ?
T2->T1,MGA Villeneuve St Lot - internal FRMC55 integration process,MGA Villeneuve St Lot,0.0,internal,1,0.016,0.0,textile_leather=1,91:FRMC55 (C55 = % de carbone) et FMR = ?
T3->T2,MGR Foamtex Ltd - FRMC55 certified foam/fabric sourcing package,MGR Foamtex Ltd - internal foam/upholstery process,0.0,internal,2,0.078,0.0,textile_leather=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
T2->T1,MGR Foamtex Ltd - internal foam/upholstery process,MGR Foamtex Ltd,0.0,internal,2,0.078,0.0,textile_leather=2,92:FRMC55 (C55 = % de carbone) et FMR = ? | 93:FRMC55 (C55 = % de carbone) et FMR = ?
