record_index,tier,supplier_or_node,status,confidence,action,lat,lon,note
32,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
32,T3,Yamazaki Velvet Co.,baseline_primary_assumed_textile_processor,medium_low,replace_unpositioned_textile_t3,35.88946,136.17723,Replaces unpositioned/generic textile node for complete baseline; validate fabric mill/order evidence.
33,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
34,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
35,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
36,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
37,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
38,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
39,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
40,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
41,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
42,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
43,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
44,T2,Groupe Segnere / SEGNERE Ade - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,43.1576,-0.0191,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
50,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
51,T4,Saarstahl,baseline_primary_assumed_material_certificate,medium,add_assumed_steel_mill,49.3593951,7.1714727,Plausible steel mill for complete baseline; validate by EN/AMS material certificate before factual use.
51,T3,Aubert & Duval,baseline_primary_assumed_material_processor,medium,add_assumed_steel_processor,45.9235016,2.8415731,Plausible aerospace steel processor/forge for complete baseline; validate routing/certificate.
51,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
66,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
67,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
68,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
69,T2,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.7776436,-0.6475364,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
70,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
71,T2,TE Connectivity - electronics routing/EMS package,baseline_primary_assumed_electronics_process,low,add_virtual_electronics_t2,49.0253,1.1858,Virtual COTS/EMS node for continuity; replace with BOM/EMS/ODM routing when known.
73,T1,Thales,baseline_primary_assumed_program_supplier,medium_low,add_assumed_electronics_t1,43.5638842,1.3821146,Plausible cabin/IFE electronics T1 for complete baseline; validate PN/program supplier before factual use.
73,T3,COTS electronics PCB/subassembly package,baseline_primary_assumed_non_switchable_cots,low,add_virtual_cots_t3,45.455,-73.735,Non-switchable placeholder; do not use for supplier-switch tests without BOM/AVL.
73,T4,COTS electronics component market basket,baseline_primary_assumed_non_switchable_cots,low,add_virtual_cots_t4,45.455,-73.735,Non-switchable placeholder for semiconductor/component upstream; requires BOM/PN for factual model.
74,T2,Liebherr Aerospace - electronics routing/EMS package,baseline_primary_assumed_electronics_process,low,add_virtual_electronics_t2,47.5963892,9.8653206,Virtual COTS/EMS node for continuity; replace with BOM/EMS/ODM routing when known.
75,T1,JAMCO Aircraft Interiors - Niigata,baseline_primary_assumed_program_supplier,medium_low,add_assumed_polymer_or_composite_t1,38.0218,139.4275,"Plausible direct supplier/integrator for complete baseline; validate drawing, PN and programme allocation."
75,T3,SABIC LEXAN FST sheet production,baseline_primary_assumed_material_processor,medium_low,add_assumed_polymer_t3,24.7136,46.6753,Plausible polymer sheet/intermediate processor for baseline completeness; validate grade/routing.
75,T2,JAMCO Aircraft Interiors - Niigata - thermoforming/finishing process,baseline_primary_assumed_internalized_process,medium,add_virtual_polymer_t2,38.0218,139.4275,Virtual T2 for thermoforming/finishing; validate actual converter/routing.
76,T4,Gruppo Mastrotto - hide/raw leather source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,45.556,11.341,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
77,T4,Gruppo Mastrotto - hide/raw leather source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,45.556,11.341,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
78,T1,Thales,baseline_primary_assumed_program_supplier,medium_low,add_assumed_electronics_t1,43.5638842,1.3821146,Plausible cabin/IFE electronics T1 for complete baseline; validate PN/program supplier before factual use.
81,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
94,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
95,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
96,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
98,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
99,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
100,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
101,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
102,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
110,T1,JAMCO Aircraft Interiors - Niigata,baseline_primary_assumed_program_supplier,medium_low,add_assumed_polymer_or_composite_t1,38.0218,139.4275,"Plausible direct supplier/integrator for complete baseline; validate drawing, PN and programme allocation."
116,T4,Saarstahl,baseline_primary_assumed_material_certificate,medium,add_assumed_steel_mill,49.3593951,7.1714727,Plausible steel mill for complete baseline; validate by EN/AMS material certificate before factual use.
116,T3,Aubert & Duval,baseline_primary_assumed_material_processor,medium,add_assumed_steel_processor,45.9235016,2.8415731,Plausible aerospace steel processor/forge for complete baseline; validate routing/certificate.
116,T2,MGA Villeneuve St Lot - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,44.3974711,0.7316929,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
121,T1,Thales,baseline_primary_assumed_program_supplier,medium_low,add_assumed_electronics_t1,43.5638842,1.3821146,Plausible cabin/IFE electronics T1 for complete baseline; validate PN/program supplier before factual use.
123,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
124,T3,Ensinger - material intermediate sourcing,baseline_primary_assumed_material_processor,low,add_virtual_rubber_t3,48.5010122,8.8201999,Virtual T3 to replace unpositioned generic node; validate actual compounder/stockist.
125,T3,Ensinger - material intermediate sourcing,baseline_primary_assumed_material_processor,low,add_virtual_rubber_t3,48.5010122,8.8201999,Virtual T3 to replace unpositioned generic node; validate actual compounder/stockist.
126,T1,Thales,baseline_primary_assumed_program_supplier,medium_low,add_assumed_electronics_t1,43.5638842,1.3821146,Plausible cabin/IFE electronics T1 for complete baseline; validate PN/program supplier before factual use.
128,T1,JAMCO Aircraft Interiors - Niigata,baseline_primary_assumed_program_supplier,medium_low,add_assumed_polymer_or_composite_t1,38.0218,139.4275,"Plausible direct supplier/integrator for complete baseline; validate drawing, PN and programme allocation."
129,T4,Shin-Etsu Silicones,baseline_primary_assumed_material_source,medium_low,add_assumed_rubber_silicone_t4,36.2983921,138.8497966,Plausible chemistry source for complete baseline; validate SDS/grade before factual use.
130,T3,COTS electronics PCB/subassembly package,baseline_primary_assumed_non_switchable_cots,low,add_virtual_cots_t3,48.5010122,8.8201999,Non-switchable placeholder; do not use for supplier-switch tests without BOM/AVL.
131,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
132,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
133,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
134,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
135,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
136,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
138,T2,Senior Aerospace Thailand - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,13.0914,101.0108,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
140,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
141,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
142,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
143,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
144,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
145,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
146,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
147,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
148,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
149,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
150,T4,DuPont de Nemours - fiber/polymer source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_textile_leather_t4,37.4520437,-77.4335412,Plausible upstream fiber/hide source for baseline completeness; validate actual grade and origin.
153,T1,Thales,baseline_primary_assumed_program_supplier,medium_low,add_assumed_electronics_t1,43.5638842,1.3821146,Plausible cabin/IFE electronics T1 for complete baseline; validate PN/program supplier before factual use.
154,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
155,T2,SUMPAR - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,49.3892868,1.2085766,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
161,T2,JAMCO Aircraft Interiors - Niigata - internal machining/forming process,baseline_primary_assumed_internalized_process,medium_high,add_virtual_internal_t2,38.0218,139.4275,Explicit virtual T2 so the primary chain is complete; process assumed internal to T1 pending routing validation.
163,T1,JAMCO Aircraft Interiors - Niigata,baseline_primary_assumed_program_supplier,medium_low,add_assumed_polymer_or_composite_t1,38.0218,139.4275,"Plausible direct supplier/integrator for complete baseline; validate drawing, PN and programme allocation."
165,T1,JAMCO Aircraft Interiors - Niigata,baseline_primary_assumed_program_supplier,medium_low,add_assumed_textile_t1,38.0218,139.4275,Seat-level textile/foam aggregate line completed with existing seat integrator; validate programme supplier.
166,T1,JAMCO Aircraft Interiors - Niigata,baseline_primary_assumed_program_supplier,medium_low,add_assumed_polymer_or_composite_t1,38.0218,139.4275,"Plausible direct supplier/integrator for complete baseline; validate drawing, PN and programme allocation."
166,T4,Toray Industries - carbon fiber upstream source assumption,baseline_primary_assumed_material_source,medium_low,add_assumed_composite_t4,35.08880103081,136.90424935333,Carbon-fiber upstream source assumption using Toray footprint; titanium source still requires certificate.
